Kansas, Precipitation, May
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189505,2.69,-1.16
189605,4.46,0.61
189705,2.2,-1.65
189805,6.43,2.58
189905,3.33,-0.52
190005,2.95,-0.90
190105,1.67,-2.18
190205,6.28,2.43
190305,7.78,3.93
190405,5.09,1.24
190505,3.9,0.05
190605,2.42,-1.43
190705,2.26,-1.59
190805,4.87,1.02
190905,3.38,-0.47
191005,4.51,0.66
191105,2.65,-1.20
191205,2.75,-1.10
191305,2.89,-0.96
191405,3.37,-0.48
191505,6.71,2.86
191605,3.28,-0.57
191705,3.28,-0.57
191805,4.1,0.25
191905,2.94,-0.91
192005,3.25,-0.60
192105,2.47,-1.38
192205,3.94,0.09
192305,5.82,1.97
192405,2.08,-1.77
192505,2.16,-1.69
192605,2.18,-1.67
192705,1.7,-2.15
192805,3.56,-0.29
192905,4.61,0.76
193005,4.36,0.51
193105,2.78,-1.07
193205,2.16,-1.69
193305,3.63,-0.22
193405,2.59,-1.26
193505,7.35,3.50
193605,4.84,0.99
193705,2.97,-0.88
193805,7.22,3.37
193905,2.33,-1.52
194005,3.57,-0.28
194105,3.49,-0.36
194205,2.2,-1.65
194305,4.55,0.70
194405,3.93,0.08
194505,3.16,-0.69
194605,3.32,-0.53
194705,4.48,0.63
194805,2.59,-1.26
194905,5.31,1.46
195005,3.58,-0.27
195105,6.37,2.52
195205,2.43,-1.42
195305,2.55,-1.30
195405,4.25,0.40
195505,4.71,0.86
195605,2.46,-1.39
195705,6.52,2.67
195805,3.85,0.00
195905,4.72,0.87
196005,3.09,-0.76
196105,6.12,2.27
196205,3.17,-0.68
196305,2.43,-1.42
196405,3.75,-0.10
196505,3.32,-0.53
196605,.94,-2.91
196705,3.11,-0.74
196805,3.69,-0.16
196905,3.95,0.10
197005,3.07,-0.78
197105,4.12,0.27
197205,4.3,0.45
197305,2.99,-0.86
197405,2.8,-1.05
197505,4.82,0.97
197605,3.23,-0.62
197705,6.17,2.32
197805,5.13,1.28
197905,3.4,-0.45
198005,2.65,-1.20
198105,6.43,2.58
198205,6.63,2.78
198305,3.92,0.07
198405,2.6,-1.25
198505,3.49,-0.36
198605,3.66,-0.19
198705,5.49,1.64
198805,2.58,-1.27
198905,4.09,0.24
199005,5.51,1.66
199105,4.05,0.20
199205,2.4,-1.45
199305,6.05,2.20
199405,1.5,-2.35
199505,8.79,4.94
199605,4.98,1.13
199705,3.31,-0.54
199805,2.06,-1.79
199905,4.42,0.57
200005,2.67,-1.18
200105,5.26,1.41
200205,3.9,0.05
200305,3.47,-0.38
200405,2.47,-1.38
200505,3.18,-0.67
200605,2.76,-1.09
200705,5.98,2.13
200805,5.13,1.28
200905,2.74,-1.11
201005,4.06,0.21
201105,3.44,-0.41
201205,1.47,-2.38
201305,3.96,0.11
201405,1.98,-1.87
201505,8.28,4.43
