Indiana, Precipitation, November
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189511,5.15,2.13
189611,3.44,0.42
189711,6.35,3.33
189811,2.88,-0.14
189911,2.52,-0.50
190011,4.07,1.05
190111,1.32,-1.70
190211,3.72,0.70
190311,1.8,-1.22
190411,.36,-2.66
190511,2.61,-0.41
190611,4.12,1.10
190711,2.78,-0.24
190811,2.07,-0.95
190911,3.22,0.20
191011,1.8,-1.22
191111,3.4,0.38
191211,1.97,-1.05
191311,3.64,0.62
191411,1.03,-1.99
191511,2.75,-0.27
191611,1.83,-1.19
191711,.52,-2.50
191811,2.28,-0.74
191911,3.65,0.63
192011,2.12,-0.90
192111,5.73,2.71
192211,2.17,-0.85
192311,2.25,-0.77
192411,1.36,-1.66
192511,4.35,1.33
192611,2.04,-0.98
192711,5.58,2.56
192811,3.08,0.06
192911,2.65,-0.37
193011,1.97,-1.05
193111,3.79,0.77
193211,2.49,-0.53
193311,1.05,-1.97
193411,2.96,-0.06
193511,3.53,0.51
193611,3.5,0.48
193711,1.73,-1.29
193811,2.91,-0.11
193911,1.41,-1.61
194011,3.5,0.48
194111,2.9,-0.12
194211,4.71,1.69
194311,2.03,-0.99
194411,2.48,-0.54
194511,3.35,0.33
194611,3.69,0.67
194711,1.98,-1.04
194811,5.27,2.25
194911,1.11,-1.91
195011,5.11,2.09
195111,4,0.98
195211,2.72,-0.30
195311,1.35,-1.67
195411,1.42,-1.60
195511,4.19,1.17
195611,2.28,-0.74
195711,4.35,1.33
195811,3.99,0.97
195911,2.88,-0.14
196011,2.39,-0.63
196111,3.05,0.03
196211,1.46,-1.56
196311,2.03,-0.99
196411,2.31,-0.71
196511,1.35,-1.67
196611,4.66,1.64
196711,2.97,-0.05
196811,4.51,1.49
196911,3.46,0.44
197011,2.38,-0.64
197111,1.36,-1.66
197211,5.25,2.23
197311,4.57,1.55
197411,3.29,0.27
197511,3.24,0.22
197611,.97,-2.05
197711,2.83,-0.19
197811,3.19,0.17
197911,5.26,2.24
198011,1.46,-1.56
198111,1.82,-1.20
198211,4.96,1.94
198311,4.55,1.53
198411,4.52,1.50
198511,8.2,5.18
198611,2.43,-0.59
198711,2.75,-0.27
198811,5.33,2.31
198911,2.76,-0.26
199011,3.38,0.36
199111,3.16,0.14
199211,5.8,2.78
199311,5.43,2.41
199411,4.51,1.49
199511,2.69,-0.33
199611,4.14,1.12
199711,2.61,-0.41
199811,2.2,-0.82
199911,1.06,-1.96
200011,2.98,-0.04
200111,3.34,0.32
200211,2.35,-0.67
200311,4.26,1.24
200411,4.74,1.72
200511,3.91,0.89
200611,3.25,0.23
200711,2.77,-0.25
200811,2.11,-0.91
200911,1.46,-1.56
201011,5.01,1.99
201111,6.21,3.19
201211,.98,-2.04
201311,3.04,0.02
201411,2.66,-0.36
201511,3.57,0.55
