Illinois, Precipitation, February
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189502,.57,-1.29
189602,1.87,0.01
189702,1.91,0.05
189802,1.91,0.05
189902,2.07,0.21
190002,3.87,2.01
190102,1.59,-0.27
190202,1.29,-0.57
190302,2.76,0.90
190402,1.49,-0.37
190502,1.57,-0.29
190602,2.16,0.30
190702,.52,-1.34
190802,4.32,2.46
190902,4.13,2.27
191002,1.9,0.04
191102,2.31,0.45
191202,1.81,-0.05
191302,1.58,-0.28
191402,2.32,0.46
191502,2.19,0.33
191602,.94,-0.92
191702,.5,-1.36
191802,1.58,-0.28
191902,1.92,0.06
192002,.64,-1.22
192102,.82,-1.04
192202,1.37,-0.49
192302,1.4,-0.46
192402,1.57,-0.29
192502,1.81,-0.05
192602,2.48,0.62
192702,1.43,-0.43
192802,2.18,0.32
192902,1.11,-0.75
193002,1.93,0.07
193102,1.27,-0.59
193202,1.34,-0.52
193302,1.38,-0.48
193402,.84,-1.02
193502,1.48,-0.38
193602,1.87,0.01
193702,1.49,-0.37
193802,2.41,0.55
193902,3.27,1.41
194002,1.55,-0.31
194102,.78,-1.08
194202,3.26,1.40
194302,1.04,-0.82
194402,2.42,0.56
194502,2.45,0.59
194602,2.04,0.18
194702,.19,-1.67
194802,2.12,0.26
194902,2.53,0.67
195002,3.59,1.73
195102,3.92,2.06
195202,1.58,-0.28
195302,1.52,-0.34
195402,1.83,-0.03
195502,2.55,0.69
195602,2.88,1.02
195702,2.13,0.27
195802,.69,-1.17
195902,2.49,0.63
196002,2.19,0.33
196102,1.82,-0.04
196202,2.29,0.43
196302,.58,-1.28
196402,1.29,-0.57
196502,1.92,0.06
196602,2.17,0.31
196702,1.27,-0.59
196802,1.17,-0.69
196902,1.08,-0.78
197002,.96,-0.90
197102,2.94,1.08
197202,1.18,-0.68
197302,1.13,-0.73
197402,2.22,0.36
197502,3,1.14
197602,2.09,0.23
197702,1.42,-0.44
197802,.67,-1.19
197902,1.79,-0.07
198002,1.29,-0.57
198102,2.26,0.40
198202,1.26,-0.60
198302,1.14,-0.72
198402,2.2,0.34
198502,3.4,1.54
198602,2.66,0.80
198702,.8,-1.06
198802,1.94,0.08
198902,2.01,0.15
199002,4.02,2.16
199102,.96,-0.90
199202,1.46,-0.40
199302,1.78,-0.08
199402,1.7,-0.16
199502,1,-0.86
199602,.81,-1.05
199702,3.9,2.04
199802,2.53,0.67
199902,2.42,0.56
200002,2.53,0.67
200102,3.19,1.33
200202,1.83,-0.03
200302,1.83,-0.03
200402,.76,-1.10
200502,1.88,0.02
200602,.88,-0.98
200702,2.31,0.45
200802,4.4,2.54
200902,2.43,0.57
201002,1.53,-0.33
201102,3.24,1.38
201202,1.48,-0.38
201302,2.65,0.79
201402,2.22,0.36
201502,1.44,-0.42
