New Jersey, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,4.36,0.86
189601,1.61,-1.89
189701,2.65,-0.85
189801,4.1,0.60
189901,3.75,0.25
190001,3.57,0.07
190101,2.46,-1.04
190201,3.24,-0.26
190301,3.94,0.44
190401,2.94,-0.56
190501,4.42,0.92
190601,2.8,-0.70
190701,3.52,0.02
190801,3.72,0.22
190901,3.22,-0.28
191001,4.89,1.39
191101,3.64,0.14
191201,3.01,-0.49
191301,3.63,0.13
191401,3.71,0.21
191501,6.3,2.80
191601,1.53,-1.97
191701,3.23,-0.27
191801,4.33,0.83
191901,3.6,0.10
192001,2.61,-0.89
192101,2.53,-0.97
192201,2.85,-0.65
192301,5.08,1.58
192401,4.42,0.92
192501,4.29,0.79
192601,2.69,-0.81
192701,2.25,-1.25
192801,2.27,-1.23
192901,3.39,-0.11
193001,2.97,-0.53
193101,2.04,-1.46
193201,4.49,0.99
193301,2.42,-1.08
193401,2.82,-0.68
193501,4.19,0.69
193601,6.55,3.05
193701,6.55,3.05
193801,3.46,-0.04
193901,4.12,0.62
194001,1.84,-1.66
194101,3.41,-0.09
194201,2.91,-0.59
194301,2.87,-0.63
194401,3.6,0.10
194501,2.95,-0.55
194601,1.78,-1.72
194701,3.71,0.21
194801,4.95,1.45
194901,5.87,2.37
195001,2.35,-1.15
195101,3.22,-0.28
195201,5.09,1.59
195301,5.21,1.71
195401,1.99,-1.51
195501,.63,-2.87
195601,2.4,-1.10
195701,1.92,-1.58
195801,4.77,1.27
195901,2.27,-1.23
196001,3.29,-0.21
196101,3.12,-0.38
196201,2.96,-0.54
196301,2.46,-1.04
196401,4.52,1.02
196501,3.06,-0.44
196601,3.21,-0.29
196701,1.33,-2.17
196801,2.6,-0.90
196901,2.02,-1.48
197001,.95,-2.55
197101,2.56,-0.94
197201,2.65,-0.85
197301,4.2,0.70
197401,3.57,0.07
197501,5.23,1.73
197601,5.18,1.68
197701,2.29,-1.21
197801,7.56,4.06
197901,9.12,5.62
198001,2.25,-1.25
198101,.54,-2.96
198201,4.45,0.95
198301,3.32,-0.18
198401,2.02,-1.48
198501,1.4,-2.10
198601,4.06,0.56
198701,5.24,1.74
198801,2.9,-0.60
198901,2.12,-1.38
199001,4.42,0.92
199101,4.33,0.83
199201,1.76,-1.74
199301,2.59,-0.91
199401,5.42,1.92
199501,3.19,-0.31
199601,5.73,2.23
199701,3.18,-0.32
199801,4.57,1.07
199901,7.19,3.69
200001,3.1,-0.40
200101,3.03,-0.47
200201,2.21,-1.29
200301,2.54,-0.96
200401,1.98,-1.52
200501,4.35,0.85
200601,5.17,1.67
200701,3.6,0.10
200801,2.06,-1.44
200901,2.93,-0.57
201001,2.64,-0.86
201101,3.33,-0.17
201201,2.78,-0.72
201301,3,-0.50
201401,3.12,-0.38
201501,4.44,0.94
