Wisconsin, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,1.5,0.35
189601,1.06,-0.09
189701,1.92,0.77
189801,.9,-0.25
189901,.93,-0.22
190001,1.01,-0.14
190101,.7,-0.45
190201,.81,-0.34
190301,.49,-0.66
190401,.47,-0.68
190501,.96,-0.19
190601,2.13,0.98
190701,1.76,0.61
190801,.78,-0.37
190901,1.15,0.00
191001,1.21,0.06
191101,.89,-0.26
191201,.66,-0.49
191301,.87,-0.28
191401,1.2,0.05
191501,1.35,0.20
191601,2.39,1.24
191701,1.47,0.32
191801,1.68,0.53
191901,.57,-0.58
192001,1.36,0.21
192101,.51,-0.64
192201,.83,-0.32
192301,1.42,0.27
192401,.82,-0.33
192501,.44,-0.71
192601,.8,-0.35
192701,.8,-0.35
192801,.47,-0.68
192901,2.55,1.40
193001,1.1,-0.05
193101,.63,-0.52
193201,1.96,0.81
193301,1.14,-0.01
193401,.8,-0.35
193501,1.93,0.78
193601,1.22,0.07
193701,2.2,1.05
193801,1.8,0.65
193901,1.78,0.63
194001,.83,-0.32
194101,1.33,0.18
194201,.61,-0.54
194301,1.57,0.42
194401,.93,-0.22
194501,.7,-0.45
194601,1.97,0.82
194701,1.11,-0.04
194801,.49,-0.66
194901,1.84,0.69
195001,2.41,1.26
195101,.83,-0.32
195201,1.74,0.59
195301,.9,-0.25
195401,.7,-0.45
195501,.58,-0.57
195601,.48,-0.67
195701,.37,-0.78
195801,.52,-0.63
195901,.74,-0.41
196001,1.34,0.19
196101,.18,-0.97
196201,.85,-0.30
196301,.53,-0.62
196401,.72,-0.43
196501,.9,-0.25
196601,1.06,-0.09
196701,2.62,1.47
196801,.88,-0.27
196901,2.7,1.55
197001,.67,-0.48
197101,1.79,0.64
197201,.92,-0.23
197301,1.18,0.03
197401,1.01,-0.14
197501,1.65,0.50
197601,1.34,0.19
197701,.57,-0.58
197801,.89,-0.26
197901,1.54,0.39
198001,1.69,0.54
198101,.13,-1.02
198201,1.8,0.65
198301,1.03,-0.12
198401,.51,-0.64
198501,.71,-0.44
198601,.67,-0.48
198701,.67,-0.48
198801,1.31,0.16
198901,.71,-0.44
199001,.94,-0.21
199101,.65,-0.50
199201,.79,-0.36
199301,1.42,0.27
199401,1.27,0.12
199501,.74,-0.41
199601,2.64,1.49
199701,1.98,0.83
199801,1.79,0.64
199901,2.13,0.98
200001,1.17,0.02
200101,1.17,0.02
200201,.5,-0.65
200301,.36,-0.79
200401,.81,-0.34
200501,1.66,0.51
200601,1.4,0.25
200701,.92,-0.23
200801,1.32,0.17
200901,.63,-0.52
201001,.89,-0.26
201101,.91,-0.24
201201,1.02,-0.13
201301,1.69,0.54
201401,1.13,-0.02
201501,.53,-0.62
