Michigan, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,2.53,0.72
189601,1.5,-0.31
189701,4.11,2.30
189801,2.69,0.88
189901,1.69,-0.12
190001,1.21,-0.60
190101,1.57,-0.24
190201,.84,-0.97
190301,1.63,-0.18
190401,1.63,-0.18
190501,1.77,-0.04
190601,2.67,0.86
190701,3.24,1.43
190801,1.57,-0.24
190901,1.9,0.09
191001,1.66,-0.15
191101,1.62,-0.19
191201,1.73,-0.08
191301,1.87,0.06
191401,2.42,0.61
191501,1.41,-0.40
191601,2.91,1.10
191701,1.12,-0.69
191801,1.39,-0.42
191901,.74,-1.07
192001,1.33,-0.48
192101,.72,-1.09
192201,1.23,-0.58
192301,1.67,-0.14
192401,1.96,0.15
192501,.88,-0.93
192601,1.36,-0.45
192701,1.2,-0.61
192801,1.63,-0.18
192901,2.97,1.16
193001,1.93,0.12
193101,1.25,-0.56
193201,3.04,1.23
193301,1.34,-0.47
193401,1.24,-0.57
193501,2.02,0.21
193601,1.73,-0.08
193701,2.3,0.49
193801,2.61,0.80
193901,2.23,0.42
194001,1.93,0.12
194101,1.6,-0.21
194201,1.6,-0.21
194301,1.9,0.09
194401,1.09,-0.72
194501,.94,-0.87
194601,2.14,0.33
194701,2.1,0.29
194801,1.46,-0.35
194901,2.67,0.86
195001,3.75,1.94
195101,1.97,0.16
195201,2.44,0.63
195301,1.8,-0.01
195401,1.58,-0.23
195501,1.35,-0.46
195601,.72,-1.09
195701,1.36,-0.45
195801,1.22,-0.59
195901,1.86,0.05
196001,2.26,0.45
196101,.6,-1.21
196201,2.15,0.34
196301,1.06,-0.75
196401,1.41,-0.40
196501,2.5,0.69
196601,1.29,-0.52
196701,2.59,0.78
196801,1.47,-0.34
196901,2.62,0.81
197001,1.4,-0.41
197101,1.87,0.06
197201,1.46,-0.35
197301,1.41,-0.40
197401,2.5,0.69
197501,2.86,1.05
197601,2.01,0.20
197701,1.24,-0.57
197801,2.51,0.70
197901,2.43,0.62
198001,1.74,-0.07
198101,.83,-0.98
198201,2.77,0.96
198301,1.27,-0.54
198401,.98,-0.83
198501,2.13,0.32
198601,1.17,-0.64
198701,1.24,-0.57
198801,1.7,-0.11
198901,1.41,-0.40
199001,2.04,0.23
199101,1.27,-0.54
199201,1.54,-0.27
199301,2.45,0.64
199401,2.05,0.24
199501,2.14,0.33
199601,2.14,0.33
199701,3.04,1.23
199801,2.82,1.01
199901,3.31,1.50
200001,1.68,-0.13
200101,1.23,-0.58
200201,1.12,-0.69
200301,.86,-0.95
200401,2.03,0.22
200501,2.93,1.12
200601,3,1.19
200701,2.19,0.38
200801,3.19,1.38
200901,1.32,-0.49
201001,.95,-0.86
201101,1.43,-0.38
201201,2.22,0.41
201301,3.3,1.49
201401,2.21,0.40
201501,1.28,-0.53
