New Hampshire, Precipitation, February
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189502,1.13,-1.75
189602,4.96,2.08
189702,2.56,-0.32
189802,4.61,1.73
189902,3.09,0.21
190002,7.61,4.73
190102,.79,-2.09
190202,2.69,-0.19
190302,4.04,1.16
190402,1.99,-0.89
190502,1.53,-1.35
190602,2.62,-0.26
190702,1.57,-1.31
190802,4.43,1.55
190902,4.68,1.80
191002,4.57,1.69
191102,2.69,-0.19
191202,2.22,-0.66
191302,2.31,-0.57
191402,2.08,-0.80
191502,4.24,1.36
191602,3.81,0.93
191702,1.82,-1.06
191802,2.77,-0.11
191902,2.07,-0.81
192002,4.39,1.51
192102,2.32,-0.56
192202,3.21,0.33
192302,1.69,-1.19
192402,2.31,-0.57
192502,3.23,0.35
192602,3.49,0.61
192702,3.68,0.80
192802,2.79,-0.09
192902,3.5,0.62
193002,1.63,-1.25
193102,1.89,-0.99
193202,2.18,-0.70
193302,3.43,0.55
193402,2.49,-0.39
193502,2.7,-0.18
193602,2.43,-0.45
193702,3.35,0.47
193802,2.64,-0.24
193902,3.17,0.29
194002,2.84,-0.04
194102,2.3,-0.58
194202,2.69,-0.19
194302,1.93,-0.95
194402,2.7,-0.18
194502,3.35,0.47
194602,2.87,-0.01
194702,2.55,-0.33
194802,1.99,-0.89
194902,2.62,-0.26
195002,2.74,-0.14
195102,4.95,2.07
195202,3.47,0.59
195302,2.86,-0.02
195402,3.52,0.64
195502,4.17,1.29
195602,3.09,0.21
195702,1.4,-1.48
195802,2.74,-0.14
195902,2.8,-0.08
196002,4.49,1.61
196102,3.05,0.17
196202,3.25,0.37
196302,2.66,-0.22
196402,1.94,-0.94
196502,3.44,0.56
196602,2.61,-0.27
196702,3.18,0.30
196802,1.31,-1.57
196902,5.33,2.45
197002,4.53,1.65
197102,4.07,1.19
197202,3.94,1.06
197302,2.26,-0.62
197402,2.55,-0.33
197502,2.75,-0.13
197602,3.6,0.72
197702,2.54,-0.34
197802,1.22,-1.66
197902,2.2,-0.68
198002,.95,-1.93
198102,8.1,5.22
198202,3.12,0.24
198302,2.84,-0.04
198402,4.9,2.02
198502,2.87,-0.01
198602,2.39,-0.49
198702,.36,-2.52
198802,3.11,0.23
198902,2.38,-0.50
199002,3.26,0.38
199102,1.66,-1.22
199202,2.2,-0.68
199302,3.05,0.17
199402,1.5,-1.38
199502,2.66,-0.22
199602,3.33,0.45
199702,2.44,-0.44
199802,3.33,0.45
199902,1.99,-0.89
200002,3.56,0.68
200102,3.22,0.34
200202,3.06,0.18
200302,2.74,-0.14
200402,1.34,-1.54
200502,2.8,-0.08
200602,2.4,-0.48
200702,2.08,-0.80
200802,7.85,4.97
200902,2.37,-0.51
201002,4.1,1.22
201102,3.44,0.56
201202,1.14,-1.74
201302,3.09,0.21
201402,3.69,0.81
201502,2.42,-0.46
