Pennsylvania, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,4.18,1.13
189601,1.49,-1.56
189701,2.05,-1.00
189801,4.47,1.42
189901,3.18,0.13
190001,2.81,-0.24
190101,2.31,-0.74
190201,2.79,-0.26
190301,3.49,0.44
190401,3.55,0.50
190501,3.75,0.70
190601,2.45,-0.60
190701,4.64,1.59
190801,2.82,-0.23
190901,3.08,0.03
191001,5.73,2.68
191101,3.6,0.55
191201,1.92,-1.13
191301,4.99,1.94
191401,3.26,0.21
191501,5.45,2.40
191601,2.43,-0.62
191701,3.5,0.45
191801,3.58,0.53
191901,2.34,-0.71
192001,2.55,-0.50
192101,2.52,-0.53
192201,2.27,-0.78
192301,4.23,1.18
192401,4.38,1.33
192501,3.45,0.40
192601,2.71,-0.34
192701,2.78,-0.27
192801,2.08,-0.97
192901,3.42,0.37
193001,2.4,-0.65
193101,1.51,-1.54
193201,4.81,1.76
193301,1.93,-1.12
193401,2.54,-0.51
193501,3.09,0.04
193601,4.05,1.00
193701,6.44,3.39
193801,2.56,-0.49
193901,3.17,0.12
194001,1.39,-1.66
194101,2.64,-0.41
194201,1.79,-1.26
194301,2.64,-0.41
194401,2.1,-0.95
194501,2.68,-0.37
194601,1.35,-1.70
194701,3.71,0.66
194801,3,-0.05
194901,4.32,1.27
195001,4.46,1.41
195101,3.65,0.60
195201,4.65,1.60
195301,4.2,1.15
195401,2.17,-0.88
195501,1.11,-1.94
195601,1.7,-1.35
195701,2.14,-0.91
195801,3.72,0.67
195901,3.54,0.49
196001,2.88,-0.17
196101,2.16,-0.89
196201,2.8,-0.25
196301,1.83,-1.22
196401,3.59,0.54
196501,3.52,0.47
196601,3.45,0.40
196701,1.23,-1.82
196801,2.43,-0.62
196901,1.86,-1.19
197001,1.18,-1.87
197101,2.66,-0.39
197201,2.5,-0.55
197301,2.73,-0.32
197401,3.51,0.46
197501,3.78,0.73
197601,4.02,0.97
197701,1.5,-1.55
197801,6.51,3.46
197901,6.47,3.42
198001,1.25,-1.80
198101,.72,-2.33
198201,3.49,0.44
198301,1.79,-1.26
198401,1.51,-1.54
198501,1.37,-1.68
198601,2.45,-0.60
198701,3,-0.05
198801,1.78,-1.27
198901,2.04,-1.01
199001,3.63,0.58
199101,2.75,-0.30
199201,1.95,-1.10
199301,2.52,-0.53
199401,4.52,1.47
199501,3.43,0.38
199601,5.83,2.78
199701,2.33,-0.72
199801,4.32,1.27
199901,5.84,2.79
200001,2.36,-0.69
200101,1.88,-1.17
200201,2.13,-0.92
200301,2.41,-0.64
200401,3.29,0.24
200501,5.58,2.53
200601,4.25,1.20
200701,3.79,0.74
200801,2.03,-1.02
200901,2.68,-0.37
201001,3.08,0.03
201101,1.9,-1.15
201201,3.36,0.31
201301,2.97,-0.08
201401,2.32,-0.73
201501,2.44,-0.61
