Connecticut, Precipitation, March
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189503,2.52,-1.67
189603,5.79,1.60
189703,3.42,-0.77
189803,2.87,-1.32
189903,7.79,3.60
190003,5.97,1.78
190103,6.92,2.73
190203,6.28,2.09
190303,6.95,2.76
190403,3.42,-0.77
190503,3.61,-0.58
190603,5.48,1.29
190703,1.97,-2.22
190803,3.56,-0.63
190903,4.1,-0.09
191003,1.64,-2.55
191103,3.97,-0.22
191203,7.91,3.72
191303,6.02,1.83
191403,4.58,0.39
191503,.28,-3.91
191603,3.65,-0.54
191703,5.13,0.94
191803,2.29,-1.90
191903,6.7,2.51
192003,4.28,0.09
192103,3.81,-0.38
192203,5.57,1.38
192303,3.72,-0.47
192403,1.56,-2.63
192503,4.76,0.57
192603,3.33,-0.86
192703,2,-2.19
192803,2.94,-1.25
192903,3.92,-0.27
193003,3.61,-0.58
193103,4.83,0.64
193203,5,0.81
193303,5.35,1.16
193403,3.47,-0.72
193503,2.39,-1.80
193603,8.27,4.08
193703,3.77,-0.42
193803,2.14,-2.05
193903,4.9,0.71
194003,5.62,1.43
194103,2.37,-1.82
194203,7.28,3.09
194303,3.78,-0.41
194403,5.25,1.06
194503,2.42,-1.77
194603,1.94,-2.25
194703,3.14,-1.05
194803,4.37,0.18
194903,2.73,-1.46
195003,3.17,-1.02
195103,6.09,1.90
195203,4.07,-0.12
195303,10.54,6.35
195403,4.07,-0.12
195503,4.63,0.44
195603,5.14,0.95
195703,2.29,-1.90
195803,3.61,-0.58
195903,4.95,0.76
196003,3.05,-1.14
196103,3.61,-0.58
196203,1.99,-2.20
196303,3.57,-0.62
196403,2.76,-1.43
196503,1.76,-2.43
196603,2.91,-1.28
196703,5.18,0.99
196803,5.36,1.17
196903,2.91,-1.28
197003,3.7,-0.49
197103,3.11,-1.08
197203,6.01,1.82
197303,3.77,-0.42
197403,5.04,0.85
197503,3.83,-0.36
197603,2.89,-1.30
197703,7.15,2.96
197803,3.66,-0.53
197903,4.33,0.14
198003,8.58,4.39
198103,.68,-3.51
198203,2.66,-1.53
198303,7.7,3.51
198403,5.03,0.84
198503,2.44,-1.75
198603,3.17,-1.02
198703,4.29,0.10
198803,2.89,-1.30
198903,3.42,-0.77
199003,2.73,-1.46
199103,5.07,0.88
199203,4.32,0.13
199303,6.6,2.41
199403,5.89,1.70
199503,2.4,-1.79
199603,2.91,-1.28
199703,4.11,-0.08
199803,6.1,1.91
199903,5.42,1.23
200003,4.11,-0.08
200103,7.68,3.49
200203,4.12,-0.07
200303,4.3,0.11
200403,2.97,-1.22
200503,4.01,-0.18
200603,.72,-3.47
200703,5.24,1.05
200803,5.51,1.32
200903,2.35,-1.84
201003,9.95,5.76
201103,4.74,0.55
201203,1.3,-2.89
201303,2.35,-1.84
201403,4.22,0.03
201503,2.97,-1.22
