Alabama, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,5.79,1.51
189606,5.44,1.16
189706,1.97,-2.31
189806,3.86,-0.42
189906,2.91,-1.37
190006,10.38,6.10
190106,3.25,-1.03
190206,1.35,-2.93
190306,4.75,0.47
190406,3.22,-1.06
190506,5.01,0.73
190606,3.74,-0.54
190706,3.13,-1.15
190806,3.34,-0.94
190906,7.92,3.64
191006,7.16,2.88
191106,3.93,-0.35
191206,5.03,0.75
191306,3.72,-0.56
191406,2.76,-1.52
191506,3.8,-0.48
191606,3.49,-0.79
191706,3.3,-0.98
191806,4.11,-0.17
191906,4.36,0.08
192006,4.54,0.26
192106,2.02,-2.26
192206,3.88,-0.40
192306,3.95,-0.33
192406,4.99,0.71
192506,2.36,-1.92
192606,4.78,0.50
192706,5.4,1.12
192806,10.52,6.24
192906,4.76,0.48
193006,1.76,-2.52
193106,1.66,-2.62
193206,4.82,0.54
193306,3.19,-1.09
193406,5.15,0.87
193506,3.78,-0.50
193606,1.85,-2.43
193706,3.62,-0.66
193806,4.47,0.19
193906,6.7,2.42
194006,6.5,2.22
194106,4.14,-0.14
194206,5.49,1.21
194306,3.68,-0.60
194406,2.83,-1.45
194506,3.35,-0.93
194606,5.51,1.23
194706,4.71,0.43
194806,3.52,-0.76
194906,5.56,1.28
195006,3.35,-0.93
195106,4.68,0.40
195206,2.07,-2.21
195306,3.71,-0.57
195406,2.24,-2.04
195506,3.12,-1.16
195606,4.26,-0.02
195706,5.85,1.57
195806,4.86,0.58
195906,4.23,-0.05
196006,2.99,-1.29
196106,6.72,2.44
196206,4.88,0.60
196306,5.92,1.64
196406,3.42,-0.86
196506,5.6,1.32
196606,2.41,-1.87
196706,4.4,0.12
196806,1.85,-2.43
196906,2.43,-1.85
197006,5.91,1.63
197106,3.74,-0.54
197206,4.57,0.29
197306,5.56,1.28
197406,4.07,-0.21
197506,5.25,0.97
197606,4.36,0.08
197706,2.63,-1.65
197806,5.06,0.78
197906,2.63,-1.65
198006,3.26,-1.02
198106,3.46,-0.82
198206,5.01,0.73
198306,5.94,1.66
198406,2.31,-1.97
198506,3.87,-0.41
198606,2.68,-1.60
198706,5.89,1.61
198806,1.23,-3.05
198906,10.94,6.66
199006,2.93,-1.35
199106,4.95,0.67
199206,5.44,1.16
199306,3.39,-0.89
199406,7,2.72
199506,3.36,-0.92
199606,3.38,-0.90
199706,7.91,3.63
199806,3.22,-1.06
199906,8.31,4.03
200006,3.71,-0.57
200106,7.15,2.87
200206,3.77,-0.51
200306,8.17,3.89
200406,7.53,3.25
200506,6.37,2.09
200606,2.01,-2.27
200706,2.78,-1.50
200806,2.69,-1.59
200906,2.71,-1.57
201006,3.26,-1.02
201106,3.55,-0.73
201206,4,-0.28
201306,5.81,1.53
201406,5.23,0.95
201506,3.27,-1.01
