Missouri, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,1.65,-0.44
189601,1.27,-0.82
189701,5.55,3.46
189801,4.27,2.18
189901,1.88,-0.21
190001,1.25,-0.84
190101,1.35,-0.74
190201,1.43,-0.66
190301,1.46,-0.63
190401,3.03,0.94
190501,2.11,0.02
190601,3.38,1.29
190701,5.09,3.00
190801,1.71,-0.38
190901,2.42,0.33
191001,1.98,-0.11
191101,.88,-1.21
191201,1.17,-0.92
191301,3.99,1.90
191401,1.44,-0.65
191501,2.81,0.72
191601,7.33,5.24
191701,1.66,-0.43
191801,1.85,-0.24
191901,.48,-1.61
192001,1.73,-0.36
192101,1.96,-0.13
192201,1.3,-0.79
192301,2.5,0.41
192401,1.6,-0.49
192501,1.04,-1.05
192601,1.87,-0.22
192701,2.87,0.78
192801,.92,-1.17
192901,3.43,1.34
193001,4.4,2.31
193101,.67,-1.42
193201,3.35,1.26
193301,2.47,0.38
193401,1.29,-0.80
193501,2.45,0.36
193601,1.04,-1.05
193701,5.92,3.83
193801,2.91,0.82
193901,2.64,0.55
194001,1.36,-0.73
194101,3.45,1.36
194201,1.61,-0.48
194301,.37,-1.72
194401,.64,-1.45
194501,1.03,-1.06
194601,3.11,1.02
194701,1.24,-0.85
194801,2.12,0.03
194901,6.13,4.04
195001,4.95,2.86
195101,2.21,0.12
195201,1.29,-0.80
195301,1.49,-0.60
195401,1.58,-0.51
195501,1.22,-0.87
195601,.85,-1.24
195701,2.02,-0.07
195801,1.54,-0.55
195901,1.93,-0.16
196001,1.79,-0.30
196101,.42,-1.67
196201,2.8,0.71
196301,.6,-1.49
196401,.86,-1.23
196501,3.13,1.04
196601,1.83,-0.26
196701,1.78,-0.31
196801,1.49,-0.60
196901,4.09,2.00
197001,.42,-1.67
197101,1.81,-0.28
197201,.97,-1.12
197301,3.26,1.17
197401,2.67,0.58
197501,3.23,1.14
197601,.85,-1.24
197701,1.38,-0.71
197801,1.12,-0.97
197901,2.82,0.73
198001,1.13,-0.96
198101,.48,-1.61
198201,4.43,2.34
198301,.64,-1.45
198401,.59,-1.50
198501,2.1,0.01
198601,.1,-1.99
198701,1.41,-0.68
198801,1.31,-0.78
198901,1.97,-0.12
199001,2.79,0.70
199101,2.02,-0.07
199201,.98,-1.11
199301,3.26,1.17
199401,1.54,-0.55
199501,3.13,1.04
199601,2.48,0.39
199701,1.86,-0.23
199801,2.49,0.40
199901,3.28,1.19
200001,1.37,-0.72
200101,1.98,-0.11
200201,2.64,0.55
200301,.59,-1.50
200401,2.16,0.07
200501,4.94,2.85
200601,2.09,0.00
200701,2.86,0.77
200801,1.52,-0.57
200901,.89,-1.20
201001,2.12,0.03
201101,1.02,-1.07
201201,1.3,-0.79
201301,3.33,1.24
201401,1.09,-1.00
201501,1.19,-0.90
