South Carolina, Precipitation, September
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189509,1.55,-2.69
189609,3.19,-1.05
189709,2.93,-1.31
189809,4.03,-0.21
189909,2.75,-1.49
190009,2.83,-1.41
190109,4.7,0.46
190209,3.97,-0.27
190309,3.68,-0.56
190409,2.65,-1.59
190509,1.95,-2.29
190609,4.66,0.42
190709,5.73,1.49
190809,3.12,-1.12
190909,4.03,-0.21
191009,3.43,-0.81
191109,3.76,-0.48
191209,6.25,2.01
191309,5.09,0.85
191409,3.83,-0.41
191509,2.57,-1.67
191609,2.38,-1.86
191709,5.97,1.73
191809,3.95,-0.29
191909,.95,-3.29
192009,5.4,1.16
192109,2.84,-1.40
192209,1.3,-2.94
192309,3.03,-1.21
192409,13.16,8.92
192509,1.9,-2.34
192609,2.43,-1.81
192709,1.64,-2.60
192809,12.7,8.46
192909,6.7,2.46
193009,5.04,0.80
193109,.91,-3.33
193209,3.58,-0.66
193309,4.7,0.46
193409,3.5,-0.74
193509,5.95,1.71
193609,4.22,-0.02
193709,3.21,-1.03
193809,5.11,0.87
193909,2.21,-2.03
194009,1.45,-2.79
194109,1.5,-2.74
194209,3.35,-0.89
194309,3.11,-1.13
194409,3.64,-0.60
194509,12.06,7.82
194609,2.51,-1.73
194709,5.09,0.85
194809,5.92,1.68
194909,3.6,-0.64
195009,5.36,1.12
195109,4.51,0.27
195209,3.63,-0.61
195309,6.35,2.11
195409,1.65,-2.59
195509,4.92,0.68
195609,5.86,1.62
195709,6.66,2.42
195809,2,-2.24
195909,8.85,4.61
196009,5.18,0.94
196109,1.94,-2.30
196209,4.93,0.69
196309,5.17,0.93
196409,3.4,-0.84
196509,2.85,-1.39
196609,3.95,-0.29
196709,2.47,-1.77
196809,1.73,-2.51
196909,4.84,0.60
197009,2.76,-1.48
197109,2.86,-1.38
197209,2.57,-1.67
197309,4.06,-0.18
197409,4.18,-0.06
197509,6.13,1.89
197609,4.99,0.75
197709,4.07,-0.17
197809,2.44,-1.80
197909,8.94,4.70
198009,6.06,1.82
198109,1.47,-2.77
198209,3.3,-0.94
198309,3.85,-0.39
198409,2.1,-2.14
198509,.87,-3.37
198609,1.79,-2.45
198709,7.53,3.29
198809,6.28,2.04
198909,6.59,2.35
199009,1.82,-2.42
199109,1.8,-2.44
199209,3.92,-0.32
199309,4.23,-0.01
199409,4.27,0.03
199509,3.58,-0.66
199609,5.6,1.36
199709,5.63,1.39
199809,5.62,1.38
199909,6.83,2.59
200009,7.63,3.39
200109,3.72,-0.52
200209,5.4,1.16
200309,2.98,-1.26
200409,8.26,4.02
200509,.65,-3.59
200609,4.55,0.31
200709,2.25,-1.99
200809,4.03,-0.21
200909,2.91,-1.33
201009,4.91,0.67
201109,4.27,0.03
201209,2.54,-1.70
201309,2.04,-2.20
201409,5.47,1.23
201509,4.35,0.11
