Georgia, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,3.59,-0.90
189606,4.18,-0.31
189706,3.34,-1.15
189806,3.76,-0.73
189906,2.56,-1.93
190006,8.41,3.92
190106,5.77,1.28
190206,4.04,-0.45
190306,5.68,1.19
190406,3.35,-1.14
190506,3.43,-1.06
190606,6.26,1.77
190706,4.51,0.02
190806,3.47,-1.02
190906,5.26,0.77
191006,7.79,3.30
191106,2.84,-1.65
191206,6.42,1.93
191306,4.95,0.46
191406,3.78,-0.71
191506,3.78,-0.71
191606,4.69,0.20
191706,3.09,-1.40
191806,4.22,-0.27
191906,5.89,1.40
192006,3.49,-1.00
192106,2.98,-1.51
192206,5.43,0.94
192306,5.6,1.11
192406,4.73,0.24
192506,3.4,-1.09
192606,4.36,-0.13
192706,5.98,1.49
192806,6.2,1.71
192906,5.87,1.38
193006,4.33,-0.16
193106,1.83,-2.66
193206,6.74,2.25
193306,3.12,-1.37
193406,5.19,0.70
193506,2.87,-1.62
193606,3.19,-1.30
193706,4.52,0.03
193806,5.66,1.17
193906,4.82,0.33
194006,4.8,0.31
194106,6.46,1.97
194206,5.47,0.98
194306,4.46,-0.03
194406,2.88,-1.61
194506,3.22,-1.27
194606,4.36,-0.13
194706,5.15,0.66
194806,3,-1.49
194906,5.08,0.59
195006,3.24,-1.25
195106,4.55,0.06
195206,2.96,-1.53
195306,4.44,-0.05
195406,2.57,-1.92
195506,3,-1.49
195606,3.84,-0.65
195706,5.14,0.65
195806,4.78,0.29
195906,3.6,-0.89
196006,3.86,-0.63
196106,4.96,0.47
196206,5.58,1.09
196306,7.66,3.17
196406,3.62,-0.87
196506,6.88,2.39
196606,3.75,-0.74
196706,5.44,0.95
196806,3.33,-1.16
196906,3.55,-0.94
197006,3.55,-0.94
197106,4.33,-0.16
197206,6.97,2.48
197306,6.26,1.77
197406,4.29,-0.20
197506,4.72,0.23
197606,5.03,0.54
197706,2.7,-1.79
197806,3.15,-1.34
197906,3.06,-1.43
198006,3.54,-0.95
198106,3.76,-0.73
198206,4.95,0.46
198306,4.74,0.25
198406,2.96,-1.53
198506,3.92,-0.57
198606,2.7,-1.79
198706,6.03,1.54
198806,1.92,-2.57
198906,8.68,4.19
199006,1.68,-2.81
199106,5.55,1.06
199206,5.96,1.47
199306,3.25,-1.24
199406,7.64,3.15
199506,6.16,1.67
199606,3.15,-1.34
199706,4.84,0.35
199806,2.66,-1.83
199906,6.14,1.65
200006,3.89,-0.60
200106,7.38,2.89
200206,3.51,-0.98
200306,7.22,2.73
200406,7.32,2.83
200506,7.62,3.13
200606,3.58,-0.91
200706,4.49,0.00
200806,2.52,-1.97
200906,2.81,-1.68
201006,4.27,-0.22
201106,3.63,-0.86
201206,4.73,0.24
201306,7.56,3.07
201406,3.64,-0.85
201506,4.24,-0.25
