Indiana, Precipitation, September
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189509,2.34,-0.89
189609,5.03,1.80
189709,.56,-2.67
189809,4.43,1.20
189909,1.84,-1.39
190009,2.01,-1.22
190109,1.56,-1.67
190209,4.88,1.65
190309,1.78,-1.45
190409,3.67,0.44
190509,3.6,0.37
190609,4.1,0.87
190709,2.86,-0.37
190809,.96,-2.27
190909,2.63,-0.60
191009,5,1.77
191109,6.05,2.82
191209,3.36,0.13
191309,2.64,-0.59
191409,2.54,-0.69
191509,3.71,0.48
191609,2.91,-0.32
191709,1.78,-1.45
191809,4.25,1.02
191909,2.43,-0.80
192009,2.67,-0.56
192109,5.43,2.20
192209,1.8,-1.43
192309,3.32,0.09
192409,3.57,0.34
192509,5.37,2.14
192609,8.21,4.98
192709,4.77,1.54
192809,1.32,-1.91
192909,2.98,-0.25
193009,3.6,0.37
193109,4.8,1.57
193209,5.79,2.56
193309,5.05,1.82
193409,5.64,2.41
193509,2.66,-0.57
193609,4.83,1.60
193709,3.18,-0.05
193809,2.95,-0.28
193909,.82,-2.41
194009,1.21,-2.02
194109,2.14,-1.09
194209,2.79,-0.44
194309,3.12,-0.11
194409,2.36,-0.87
194509,6.34,3.11
194609,1.32,-1.91
194709,4,0.77
194809,2.68,-0.55
194909,2.54,-0.69
195009,5.28,2.05
195109,2.63,-0.60
195209,3.36,0.13
195309,1.17,-2.06
195409,1.72,-1.51
195509,4.21,0.98
195609,1.5,-1.73
195709,2.55,-0.68
195809,3.54,0.31
195909,3.47,0.24
196009,1.59,-1.64
196109,3.62,0.39
196209,2.49,-0.74
196309,.81,-2.42
196409,2.07,-1.16
196509,5.63,2.40
196609,3.76,0.53
196709,1.7,-1.53
196809,2.77,-0.46
196909,3.38,0.15
197009,4.25,1.02
197109,4.68,1.45
197209,6.41,3.18
197309,1.74,-1.49
197409,4.34,1.11
197509,2.7,-0.53
197609,2.81,-0.42
197709,3.83,0.60
197809,1.39,-1.84
197909,1.64,-1.59
198009,3.11,-0.12
198109,3.3,0.07
198209,2.57,-0.66
198309,1.72,-1.51
198409,4.01,0.78
198509,1.93,-1.30
198609,4.67,1.44
198709,1.91,-1.32
198809,2.74,-0.49
198909,4.95,1.72
199009,2.59,-0.64
199109,2.34,-0.89
199209,4.62,1.39
199309,6.24,3.01
199409,2.38,-0.85
199509,1.07,-2.16
199609,4.94,1.71
199709,2.26,-0.97
199809,1.06,-2.17
199909,1.36,-1.87
200009,4.61,1.38
200109,3.76,0.53
200209,3.75,0.52
200309,6.2,2.97
200409,.72,-2.51
200509,4.1,0.87
200609,4.56,1.33
200709,2.53,-0.70
200809,3.86,0.63
200909,2.87,-0.36
201009,1.35,-1.88
201109,5.31,2.08
201209,5.18,1.95
201309,2.99,-0.24
201409,3.48,0.25
201509,2.39,-0.84
