Oklahoma, Precipitation, December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189512,3.67,1.95
189612,.94,-0.78
189712,1.1,-0.62
189812,2.5,0.78
189912,1.76,0.04
190012,.48,-1.24
190112,1.09,-0.63
190212,1.92,0.20
190312,.67,-1.05
190412,.76,-0.96
190512,1.53,-0.19
190612,1.28,-0.44
190712,2.34,0.62
190812,.12,-1.60
190912,1.4,-0.32
191012,.59,-1.13
191112,3.98,2.26
191212,.8,-0.92
191312,4.03,2.31
191412,2.41,0.69
191512,.91,-0.81
191612,.78,-0.94
191712,.16,-1.56
191812,3.8,2.08
191912,.37,-1.35
192012,1.95,0.23
192112,.83,-0.89
192212,.76,-0.96
192312,2.91,1.19
192412,1.65,-0.07
192512,.35,-1.37
192612,2.81,1.09
192712,1.98,0.26
192812,2.06,0.34
192912,1,-0.72
193012,1.87,0.15
193112,1.31,-0.41
193212,4.77,3.05
193312,1.47,-0.25
193412,.74,-0.98
193512,1.9,0.18
193612,1.79,0.07
193712,1.63,-0.09
193812,.69,-1.03
193912,1.07,-0.65
194012,1.85,0.13
194112,1.43,-0.29
194212,2.55,0.83
194312,3.11,1.39
194412,2.52,0.80
194512,.36,-1.36
194612,2.85,1.13
194712,2.41,0.69
194812,1.01,-0.71
194912,1.68,-0.04
195012,.09,-1.63
195112,.39,-1.33
195212,1.22,-0.50
195312,1.39,-0.33
195412,2.08,0.36
195512,.26,-1.46
195612,1.74,0.02
195712,1.04,-0.68
195812,.88,-0.84
195912,3.16,1.44
196012,3.23,1.51
196112,1.56,-0.16
196212,1.21,-0.51
196312,.99,-0.73
196412,1.01,-0.71
196512,1.84,0.12
196612,1.09,-0.63
196712,1.75,0.03
196812,1.94,0.22
196912,1.98,0.26
197012,.71,-1.01
197112,4.19,2.47
197212,1.18,-0.54
197312,1.74,0.02
197412,1.8,0.08
197512,1.43,-0.29
197612,.78,-0.94
197712,.53,-1.19
197812,.86,-0.86
197912,1.29,-0.43
198012,1.73,0.01
198112,.28,-1.44
198212,2.94,1.22
198312,.97,-0.75
198412,4.87,3.15
198512,1.11,-0.61
198612,1.14,-0.58
198712,4.56,2.84
198812,1.43,-0.29
198912,.42,-1.30
199012,1.85,0.13
199112,4.83,3.11
199212,3.83,2.11
199312,2,0.28
199412,1.43,-0.29
199512,1.9,0.18
199612,.59,-1.13
199712,3.98,2.26
199812,1.9,0.18
199912,3.1,1.38
200012,1.97,0.25
200112,2.05,0.33
200212,3,1.28
200312,1.19,-0.53
200412,.82,-0.90
200512,.27,-1.45
200612,3.55,1.83
200712,2.63,0.91
200812,.93,-0.79
200912,1.39,-0.33
201012,.86,-0.86
201112,2.48,0.76
201212,1.02,-0.70
201312,1.67,-0.05
201412,1.44,-0.28
201512,5.33,3.61
