Massachusetts, Precipitation, September
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189509,2.94,-0.85
189609,7.13,3.34
189709,2.13,-1.66
189809,2.88,-0.91
189909,5.33,1.54
190009,3.31,-0.48
190109,3.38,-0.41
190209,4.3,0.51
190309,1.58,-2.21
190409,4.8,1.01
190509,6.06,2.27
190609,2.58,-1.21
190709,8.84,5.05
190809,1.07,-2.72
190909,4.56,0.77
191009,2.84,-0.95
191109,3.42,-0.37
191209,2.33,-1.46
191309,3.17,-0.62
191409,.5,-3.29
191509,1.71,-2.08
191609,3.59,-0.20
191709,1.63,-2.16
191809,7.2,3.41
191909,5.16,1.37
192009,4.76,0.97
192109,2.3,-1.49
192209,2.82,-0.97
192309,1.98,-1.81
192409,5.45,1.66
192509,3.53,-0.26
192609,1.68,-2.11
192709,2.99,-0.80
192809,3.98,0.19
192909,2.89,-0.90
193009,1.34,-2.45
193109,2.13,-1.66
193209,5.5,1.71
193309,9.65,5.86
193409,7.37,3.58
193509,4.39,0.60
193609,3.98,0.19
193709,4.42,0.63
193809,9.83,6.04
193909,2.61,-1.18
194009,3.07,-0.72
194109,1.19,-2.60
194209,3.28,-0.51
194309,1.52,-2.27
194409,6.46,2.67
194509,2.26,-1.53
194609,3.78,-0.01
194709,3.16,-0.63
194809,1.01,-2.78
194909,4.42,0.63
195009,2.17,-1.62
195109,2.56,-1.23
195209,3.23,-0.56
195309,2.29,-1.50
195409,8.19,4.40
195509,2.92,-0.87
195609,4.79,1.00
195709,1.61,-2.18
195809,5.27,1.48
195909,1.54,-2.25
196009,6.99,3.20
196109,5.15,1.36
196209,3.68,-0.11
196309,3.86,0.07
196409,2.13,-1.66
196509,2.92,-0.87
196609,5.12,1.33
196709,2.96,-0.83
196809,2.19,-1.60
196909,4.32,0.53
197009,2.83,-0.96
197109,2.65,-1.14
197209,4.54,0.75
197309,3.25,-0.54
197409,7.27,3.48
197509,7.16,3.37
197609,2.36,-1.43
197709,6.27,2.48
197809,1.69,-2.10
197909,4.39,0.60
198009,1.76,-2.03
198109,3.94,0.15
198209,2.98,-0.81
198309,1.97,-1.82
198409,1.62,-2.17
198509,3.78,-0.01
198609,1.56,-2.23
198709,6.64,2.85
198809,1.99,-1.80
198909,4.78,0.99
199009,1.91,-1.88
199109,6.79,3.00
199209,3.34,-0.45
199309,4.94,1.15
199409,4.5,0.71
199509,3.13,-0.66
199609,7.5,3.71
199709,1.75,-2.04
199809,2.34,-1.45
199909,9.03,5.24
200009,3.57,-0.22
200109,3.54,-0.25
200209,4.19,0.40
200309,5.34,1.55
200409,7.42,3.63
200509,2.74,-1.05
200609,2.84,-0.95
200709,2.54,-1.25
200809,8.24,4.45
200909,2.11,-1.68
201009,2.43,-1.36
201109,7.26,3.47
201209,5.34,1.55
201309,3.45,-0.34
201409,1.43,-2.36
201509,4.19,0.40
