Washington, Precipitation, February
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189502,2.54,-2.20
189602,4.65,-0.09
189702,5.84,1.10
189802,6.25,1.51
189902,7.45,2.71
190002,4.51,-0.23
190102,6.11,1.37
190202,9.02,4.28
190302,2.04,-2.70
190402,8.36,3.62
190502,2.69,-2.05
190602,4.57,-0.17
190702,5.24,0.50
190802,4.41,-0.33
190902,5.96,1.22
191002,5.71,0.97
191102,2.63,-2.11
191202,4.44,-0.30
191302,2.04,-2.70
191402,3.54,-1.20
191502,3.55,-1.19
191602,7.28,2.54
191702,3.16,-1.58
191802,5.59,0.85
191902,5.9,1.16
192002,.72,-4.02
192102,5.82,1.08
192202,2.97,-1.77
192302,2.33,-2.41
192402,5.83,1.09
192502,5.73,0.99
192602,5.91,1.17
192702,6.2,1.46
192802,1.28,-3.46
192902,1.54,-3.20
193002,6.35,1.61
193102,3.36,-1.38
193202,5.78,1.04
193302,3.92,-0.82
193402,1.76,-2.98
193502,2.7,-2.04
193602,5.13,0.39
193702,6.24,1.50
193802,3.93,-0.81
193902,5.06,0.32
194002,8.61,3.87
194102,2.3,-2.44
194202,3.32,-1.42
194302,3.77,-0.97
194402,3.54,-1.20
194502,5.67,0.93
194602,5.51,0.77
194702,3.8,-0.94
194802,6.65,1.91
194902,8.75,4.01
195002,6.96,2.22
195102,6.87,2.13
195202,3.36,-1.38
195302,3.81,-0.93
195402,5.72,0.98
195502,4.19,-0.55
195602,4.2,-0.54
195702,5.3,0.56
195802,6.15,1.41
195902,3.7,-1.04
196002,5.12,0.38
196102,10.06,5.32
196202,2.62,-2.12
196302,5.14,0.40
196402,2.09,-2.65
196502,4.64,-0.10
196602,2.87,-1.87
196702,3.75,-0.99
196802,6,1.26
196902,3.51,-1.23
197002,3.24,-1.50
197102,4.18,-0.56
197202,7.3,2.56
197302,1.88,-2.86
197402,5.59,0.85
197502,5.49,0.75
197602,5.54,0.80
197702,2.93,-1.81
197802,3.66,-1.08
197902,7.22,2.48
198002,5.83,1.09
198102,6.05,1.31
198202,7.19,2.45
198302,6.39,1.65
198402,4.37,-0.37
198502,3.44,-1.30
198602,5.97,1.23
198702,3.15,-1.59
198802,2.43,-2.31
198902,2.99,-1.75
199002,5.92,1.18
199102,5.15,0.41
199202,3.76,-0.98
199302,.84,-3.90
199402,5.28,0.54
199502,4.77,0.03
199602,7.71,2.97
199702,3.71,-1.03
199802,4.64,-0.10
199902,9.93,5.19
200002,4.28,-0.46
200102,2.08,-2.66
200202,4.23,-0.51
200302,2.49,-2.25
200402,3.2,-1.54
200502,1.11,-3.63
200602,3.57,-1.17
200702,4.61,-0.13
200802,3.65,-1.09
200902,1.98,-2.76
201002,3.38,-1.36
201102,4.09,-0.65
201202,4.76,0.02
201302,2.76,-1.98
201402,6.28,1.54
201502,4.3,-0.44
