Idaho, Precipitation, March
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189503,1.95,-0.37
189603,2.87,0.55
189703,3.31,0.99
189803,1.65,-0.67
189903,2.5,0.18
190003,1.57,-0.75
190103,2.03,-0.29
190203,1.8,-0.52
190303,3.14,0.82
190403,5.75,3.43
190503,2.94,0.62
190603,3.27,0.95
190703,4.35,2.03
190803,1.77,-0.55
190903,1.54,-0.78
191003,1.45,-0.87
191103,.93,-1.39
191203,2.13,-0.19
191303,2.67,0.35
191403,1.03,-1.29
191503,1.44,-0.88
191603,3.13,0.81
191703,2.43,0.11
191803,2.29,-0.03
191903,2.2,-0.12
192003,2.95,0.63
192103,2.36,0.04
192203,2.67,0.35
192303,1.54,-0.78
192403,1.36,-0.96
192503,2.12,-0.20
192603,1.07,-1.25
192703,1.69,-0.63
192803,3.51,1.19
192903,2.1,-0.22
193003,1.85,-0.47
193103,2.96,0.64
193203,3.82,1.50
193303,1.5,-0.82
193403,2.41,0.09
193503,2.35,0.03
193603,1.82,-0.50
193703,1.87,-0.45
193803,4.7,2.38
193903,1.71,-0.61
194003,3.13,0.81
194103,1.07,-1.25
194203,.97,-1.35
194303,2.43,0.11
194403,1.52,-0.80
194503,2.82,0.50
194603,3.14,0.82
194703,2.21,-0.11
194803,2.18,-0.14
194903,1.46,-0.86
195003,3.74,1.42
195103,2.17,-0.15
195203,2.16,-0.16
195303,1.77,-0.55
195403,2.24,-0.08
195503,2.04,-0.28
195603,1.73,-0.59
195703,2.97,0.65
195803,2.04,-0.28
195903,1.77,-0.55
196003,2.99,0.67
196103,2.52,0.20
196203,2.42,0.10
196303,1.96,-0.36
196403,2.73,0.41
196503,.66,-1.66
196603,2.26,-0.06
196703,2.7,0.38
196803,1.61,-0.71
196903,.9,-1.42
197003,2.45,0.13
197103,3.01,0.69
197203,2.64,0.32
197303,1.87,-0.45
197403,4.31,1.99
197503,2.86,0.54
197603,2.04,-0.28
197703,1.92,-0.40
197803,1.57,-0.75
197903,1.68,-0.64
198003,2.35,0.03
198103,2.06,-0.26
198203,3.32,1.00
198303,3.85,1.53
198403,2.76,0.44
198503,2.08,-0.24
198603,2.3,-0.02
198703,2.35,0.03
198803,2.26,-0.06
198903,4.23,1.91
199003,1.54,-0.78
199103,2.85,0.53
199203,.87,-1.45
199303,2.95,0.63
199403,.87,-1.45
199503,4.07,1.75
199603,2.07,-0.25
199703,2.64,0.32
199803,2.17,-0.15
199903,1.61,-0.71
200003,1.92,-0.40
200103,1.58,-0.74
200203,2.39,0.07
200303,3.31,0.99
200403,1.1,-1.22
200503,2.44,0.12
200603,2.69,0.37
200703,1.45,-0.87
200803,2.28,-0.04
200903,3.17,0.85
201003,1.86,-0.46
201103,3.88,1.56
201203,4.26,1.94
201303,1.47,-0.85
201403,3.92,1.60
201503,1.51,-0.81
