South Carolina, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,3.31,-1.37
189606,5.74,1.06
189706,5.21,0.53
189806,4.29,-0.39
189906,3.77,-0.91
190006,7.82,3.14
190106,6.74,2.06
190206,4.31,-0.37
190306,8.08,3.40
190406,3.35,-1.33
190506,1.96,-2.72
190606,8.3,3.62
190706,5.98,1.30
190806,5.08,0.40
190906,6.77,2.09
191006,7.64,2.96
191106,3.24,-1.44
191206,5.75,1.07
191306,5.68,1.00
191406,3.8,-0.88
191506,4.67,-0.01
191606,5.5,0.82
191706,4.73,0.05
191806,3.33,-1.35
191906,5.92,1.24
192006,3.41,-1.27
192106,2.98,-1.70
192206,6.01,1.33
192306,2.27,-2.41
192406,5.27,0.59
192506,3.46,-1.22
192606,4.94,0.26
192706,6.34,1.66
192806,5.39,0.71
192906,6.02,1.34
193006,4.62,-0.06
193106,2.36,-2.32
193206,6.49,1.81
193306,3.12,-1.56
193406,4.7,0.02
193506,2.27,-2.41
193606,3.7,-0.98
193706,5.03,0.35
193806,4.77,0.09
193906,4.18,-0.50
194006,3.62,-1.06
194106,9.36,4.68
194206,5.43,0.75
194306,4.33,-0.35
194406,2.76,-1.92
194506,3.93,-0.75
194606,2.66,-2.02
194706,4.72,0.04
194806,2.83,-1.85
194906,4.53,-0.15
195006,3.18,-1.50
195106,4.59,-0.09
195206,3.23,-1.45
195306,4.11,-0.57
195406,1.74,-2.94
195506,3.48,-1.20
195606,3.26,-1.42
195706,4.74,0.06
195806,4.85,0.17
195906,3.19,-1.49
196006,4.35,-0.33
196106,6.11,1.43
196206,6.83,2.15
196306,6.2,1.52
196406,5.05,0.37
196506,7.76,3.08
196606,4.1,-0.58
196706,4.41,-0.27
196806,6.12,1.44
196906,4.94,0.26
197006,2.4,-2.28
197106,4.87,0.19
197206,5.85,1.17
197306,9.5,4.82
197406,3.84,-0.84
197506,4,-0.68
197606,6.97,2.29
197706,3.76,-0.92
197806,3.4,-1.28
197906,4.28,-0.40
198006,3.37,-1.31
198106,4.12,-0.56
198206,6.82,2.14
198306,3.44,-1.24
198406,3.1,-1.58
198506,4.73,0.05
198606,2.42,-2.26
198706,5.62,0.94
198806,2.75,-1.93
198906,6.37,1.69
199006,1.94,-2.74
199106,4.05,-0.63
199206,6.5,1.82
199306,2.37,-2.31
199406,8.02,3.34
199506,8.16,3.48
199606,3.09,-1.59
199706,5.92,1.24
199806,3.36,-1.32
199906,4.84,0.16
200006,3.79,-0.89
200106,5.4,0.72
200206,3.01,-1.67
200306,6.39,1.71
200406,6.35,1.67
200506,6.83,2.15
200606,6.8,2.12
200706,4.72,0.04
200806,2.35,-2.33
200906,4.04,-0.64
201006,4.51,-0.17
201106,2.62,-2.06
201206,4.17,-0.51
201306,7.7,3.02
201406,3.43,-1.25
201506,4.12,-0.56
