Kansas, Precipitation, December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189512,1.49,0.64
189612,.45,-0.40
189712,.75,-0.10
189812,1.61,0.76
189912,1.08,0.23
190012,.32,-0.53
190112,.5,-0.35
190212,1.04,0.19
190312,.31,-0.54
190412,.62,-0.23
190512,.11,-0.74
190612,.61,-0.24
190712,1.45,0.60
190812,.13,-0.72
190912,1.26,0.41
191012,.45,-0.40
191112,2.12,1.27
191212,.3,-0.55
191312,3.15,2.30
191412,.72,-0.13
191512,.5,-0.35
191612,.59,-0.26
191712,.22,-0.63
191812,2.61,1.76
191912,.22,-0.63
192012,.91,0.06
192112,.46,-0.39
192212,.07,-0.78
192312,.63,-0.22
192412,1.46,0.61
192512,.25,-0.60
192612,.85,0.00
192712,.55,-0.30
192812,.84,-0.01
192912,.15,-0.70
193012,.36,-0.49
193112,.61,-0.24
193212,1.04,0.19
193312,1.23,0.38
193412,.4,-0.45
193512,.26,-0.59
193612,1.06,0.21
193712,.47,-0.38
193812,.18,-0.67
193912,.78,-0.07
194012,1,0.15
194112,1.04,0.19
194212,1.77,0.92
194312,1.5,0.65
194412,1.93,1.08
194512,.77,-0.08
194612,.51,-0.34
194712,1.98,1.13
194812,.42,-0.43
194912,.87,0.02
195012,.06,-0.79
195112,.27,-0.58
195212,.85,0.00
195312,1.29,0.44
195412,.51,-0.34
195512,.22,-0.63
195612,.46,-0.39
195712,.53,-0.32
195812,.49,-0.36
195912,.87,0.02
196012,1.19,0.34
196112,.77,-0.08
196212,.45,-0.40
196312,.34,-0.51
196412,.76,-0.09
196512,1.68,0.83
196612,.81,-0.04
196712,.96,0.11
196812,1.18,0.33
196912,.77,-0.08
197012,.41,-0.44
197112,1.14,0.29
197212,1.1,0.25
197312,2.12,1.27
197412,.96,0.11
197512,.53,-0.32
197612,.05,-0.80
197712,.26,-0.59
197812,.46,-0.39
197912,.63,-0.22
198012,1.38,0.53
198112,.4,-0.45
198212,1.89,1.04
198312,.84,-0.01
198412,2.63,1.78
198512,.65,-0.20
198612,.95,0.10
198712,1.3,0.45
198812,.41,-0.44
198912,.31,-0.54
199012,.6,-0.25
199112,1.81,0.96
199212,1.7,0.85
199312,.75,-0.10
199412,.98,0.13
199512,.65,-0.20
199612,.16,-0.69
199712,2.09,1.24
199812,.58,-0.27
199912,1.21,0.36
200012,.49,-0.36
200112,.27,-0.58
200212,.47,-0.38
200312,1.15,0.30
200412,.3,-0.55
200512,.42,-0.43
200612,2.67,1.82
200712,2.48,1.63
200812,.65,-0.20
200912,.98,0.13
201012,.2,-0.65
201112,2.26,1.41
201212,.55,-0.30
201312,.39,-0.46
201412,1.34,0.49
201512,2.36,1.51
