Louisiana, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,7.13,2.57
189606,4.49,-0.07
189706,3.32,-1.24
189806,8.04,3.48
189906,5.19,0.63
190006,9.05,4.49
190106,2.33,-2.23
190206,1.78,-2.78
190306,3.95,-0.61
190406,3.8,-0.76
190506,7.02,2.46
190606,3.28,-1.28
190706,1.82,-2.74
190806,4.35,-0.21
190906,6.4,1.84
191006,6.53,1.97
191106,4.2,-0.36
191206,5,0.44
191306,3.37,-1.19
191406,2.42,-2.14
191506,2.97,-1.59
191606,4,-0.56
191706,1.33,-3.23
191806,4.17,-0.39
191906,7.12,2.56
192006,4.72,0.16
192106,5.23,0.67
192206,5.76,1.20
192306,6.38,1.82
192406,2.68,-1.88
192506,3.43,-1.13
192606,3.58,-0.98
192706,5.59,1.03
192806,9.05,4.49
192906,3.43,-1.13
193006,.63,-3.93
193106,1.81,-2.75
193206,2.83,-1.73
193306,1.93,-2.63
193406,4.43,-0.13
193506,4.55,-0.01
193606,.5,-4.06
193706,5.01,0.45
193806,4.77,0.21
193906,4.35,-0.21
194006,9.49,4.93
194106,6.61,2.05
194206,8.25,3.69
194306,3.74,-0.82
194406,2.13,-2.43
194506,5.18,0.62
194606,6.98,2.42
194706,4.28,-0.28
194806,2.01,-2.55
194906,4.99,0.43
195006,7.21,2.65
195106,4.21,-0.35
195206,1.41,-3.15
195306,3.6,-0.96
195406,1.94,-2.62
195506,3.69,-0.87
195606,4.73,0.17
195706,9.3,4.74
195806,5.58,1.02
195906,5.51,0.95
196006,2.98,-1.58
196106,8,3.44
196206,6.42,1.86
196306,5.35,0.79
196406,2.48,-2.08
196506,2.95,-1.61
196606,2.38,-2.18
196706,2.85,-1.71
196806,4.24,-0.32
196906,1.54,-3.02
197006,3.95,-0.61
197106,3.32,-1.24
197206,2.77,-1.79
197306,4.17,-0.39
197406,3.86,-0.70
197506,7.78,3.22
197606,5.2,0.64
197706,2.75,-1.81
197806,4.91,0.35
197906,2,-2.56
198006,2.66,-1.90
198106,7.24,2.68
198206,5.39,0.83
198306,6.44,1.88
198406,5.31,0.75
198506,3.26,-1.30
198606,6.71,2.15
198706,7.08,2.52
198806,2.87,-1.69
198906,13.39,8.83
199006,3.82,-0.74
199106,5.55,0.99
199206,7.61,3.05
199306,7.1,2.54
199406,5.21,0.65
199506,2.51,-2.05
199606,6.21,1.65
199706,5.45,0.89
199806,2.6,-1.96
199906,6.83,2.27
200006,5.07,0.51
200106,12.5,7.94
200206,4.83,0.27
200306,8.43,3.87
200406,11.61,7.05
200506,2.97,-1.59
200606,2.44,-2.12
200706,5.05,0.49
200806,3.61,-0.95
200906,1.47,-3.09
201006,4.31,-0.25
201106,3.3,-1.26
201206,4.25,-0.31
201306,4.58,0.02
201406,6.23,1.67
201506,5.42,0.86
