Montana, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,3.13,0.27
189606,1.99,-0.87
189706,4.15,1.29
189806,3.24,0.38
189906,2.34,-0.52
190006,1.08,-1.78
190106,3.46,0.60
190206,2.61,-0.25
190306,1.93,-0.93
190406,1.64,-1.22
190506,3.9,1.04
190606,3.73,0.87
190706,4.12,1.26
190806,3.41,0.55
190906,3.44,0.58
191006,1.59,-1.27
191106,3.15,0.29
191206,1.5,-1.36
191306,3.39,0.53
191406,4.16,1.30
191506,4.21,1.35
191606,4.11,1.25
191706,1.75,-1.11
191806,1.23,-1.63
191906,.83,-2.03
192006,2.52,-0.34
192106,2.97,0.11
192206,2.45,-0.41
192306,4.64,1.78
192406,3.16,0.30
192506,3.29,0.43
192606,2.33,-0.53
192706,2.19,-0.67
192806,3.6,0.74
192906,2.32,-0.54
193006,1.75,-1.11
193106,1.45,-1.41
193206,3.48,0.62
193306,1.73,-1.13
193406,3.22,0.36
193506,1.64,-1.22
193606,1.85,-1.01
193706,2.9,0.04
193806,3.34,0.48
193906,4.05,1.19
194006,2.48,-0.38
194106,3.78,0.92
194206,3.62,0.76
194306,4.62,1.76
194406,6.38,3.52
194506,3.3,0.44
194606,2.59,-0.27
194706,4.29,1.43
194806,4.54,1.68
194906,1.79,-1.07
195006,3.35,0.49
195106,2.48,-0.38
195206,2.29,-0.57
195306,3.61,0.75
195406,3.06,0.20
195506,2.21,-0.65
195606,1.92,-0.94
195706,3.35,0.49
195806,3.78,0.92
195906,2.61,-0.25
196006,1.45,-1.41
196106,1.02,-1.84
196206,2.59,-0.27
196306,4.27,1.41
196406,4.55,1.69
196506,3.83,0.97
196606,2.58,-0.28
196706,3.74,0.88
196806,3.56,0.70
196906,4.34,1.48
197006,2.79,-0.07
197106,2.38,-0.48
197206,2.29,-0.57
197306,2.77,-0.09
197406,1.39,-1.47
197506,3.66,0.80
197606,3.84,0.98
197706,1.66,-1.20
197806,2.06,-0.80
197906,1.48,-1.38
198006,2.96,0.10
198106,2.91,0.05
198206,2.91,0.05
198306,2.13,-0.73
198406,2.74,-0.12
198506,1.12,-1.74
198606,2.3,-0.56
198706,1.54,-1.32
198806,1.54,-1.32
198906,1.96,-0.90
199006,1.73,-1.13
199106,4.29,1.43
199206,3.51,0.65
199306,3.72,0.86
199406,2.39,-0.47
199506,3.74,0.88
199606,1.78,-1.08
199706,3,0.14
199806,4.02,1.16
199906,2.56,-0.30
200006,2.09,-0.77
200106,3.83,0.97
200206,3.37,0.51
200306,2.18,-0.68
200406,2.03,-0.83
200506,4.8,1.94
200606,2.35,-0.51
200706,2.09,-0.77
200806,2.85,-0.01
200906,2.15,-0.71
201006,3.66,0.80
201106,3.36,0.50
201206,2.01,-0.85
201306,3.12,0.26
201406,3.2,0.34
201506,1.76,-1.10
