Delaware, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,5.43,1.95
189604,1.35,-2.13
189704,3.07,-0.41
189804,3.14,-0.34
189904,1.56,-1.92
190004,2,-1.48
190104,5.01,1.53
190204,3.95,0.47
190304,3.68,0.20
190404,2.45,-1.03
190504,3.12,-0.36
190604,2.25,-1.23
190704,3.7,0.22
190804,2.66,-0.82
190904,4.18,0.70
191004,4.32,0.84
191104,3.92,0.44
191204,2.81,-0.67
191304,5.19,1.71
191404,2.69,-0.79
191504,2.11,-1.37
191604,2.75,-0.73
191704,2.69,-0.79
191804,5.25,1.77
191904,4.33,0.85
192004,4.3,0.82
192104,3.41,-0.07
192204,2.18,-1.30
192304,4.37,0.89
192404,5.92,2.44
192504,2.85,-0.63
192604,1.98,-1.50
192704,3.26,-0.22
192804,5.65,2.17
192904,6.13,2.65
193004,1.91,-1.57
193104,2.9,-0.58
193204,2.52,-0.96
193304,5.07,1.59
193404,2.82,-0.66
193504,3.81,0.33
193604,2.88,-0.60
193704,5.31,1.83
193804,2.01,-1.47
193904,5.75,2.27
194004,5.51,2.03
194104,3.36,-0.12
194204,.94,-2.54
194304,3.32,-0.16
194404,5.07,1.59
194504,3.61,0.13
194604,2.58,-0.90
194704,3.67,0.19
194804,3.17,-0.31
194904,2.67,-0.81
195004,1.94,-1.54
195104,2.73,-0.75
195204,5.89,2.41
195304,4.24,0.76
195404,3.92,0.44
195504,2.8,-0.68
195604,2.37,-1.11
195704,2.4,-1.08
195804,4.66,1.18
195904,3.4,-0.08
196004,2.6,-0.88
196104,3.82,0.34
196204,3.84,0.36
196304,1.09,-2.39
196404,5.19,1.71
196504,2.26,-1.22
196604,3.95,0.47
196704,2.14,-1.34
196804,1.72,-1.76
196904,3.26,-0.22
197004,4.83,1.35
197104,2.64,-0.84
197204,4.13,0.65
197304,4.69,1.21
197404,2.15,-1.33
197504,3.74,0.26
197604,1.3,-2.18
197704,2.7,-0.78
197804,2.51,-0.97
197904,3.38,-0.10
198004,4.96,1.48
198104,4.29,0.81
198204,4.63,1.15
198304,7.23,3.75
198404,4.44,0.96
198504,.58,-2.90
198604,2.25,-1.23
198704,3,-0.48
198804,2.95,-0.53
198904,4.96,1.48
199004,3.84,0.36
199104,3.17,-0.31
199204,1.65,-1.83
199304,4.52,1.04
199404,3.11,-0.37
199504,2.33,-1.15
199604,4.62,1.14
199704,3.36,-0.12
199804,3.14,-0.34
199904,2.88,-0.60
200004,3.82,0.34
200104,1.84,-1.64
200204,4.03,0.55
200304,3.45,-0.03
200404,5.5,2.02
200504,3.89,0.41
200604,3.16,-0.32
200704,5.92,2.44
200804,3.34,-0.14
200904,5.29,1.81
201004,1.91,-1.57
201104,3.31,-0.17
201204,2.71,-0.77
201304,3.67,0.19
201404,4.42,0.94
201504,3.13,-0.35
