Utah, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,.26,-0.47
189606,.14,-0.59
189706,.23,-0.50
189806,.68,-0.05
189906,.71,-0.02
190006,.28,-0.45
190106,.34,-0.39
190206,.21,-0.52
190306,.62,-0.11
190406,.53,-0.20
190506,.19,-0.54
190606,.43,-0.30
190706,1.09,0.36
190806,.98,0.25
190906,.15,-0.58
191006,.42,-0.31
191106,.94,0.21
191206,.59,-0.14
191306,1.45,0.72
191406,1.67,0.94
191506,.68,-0.05
191606,.16,-0.57
191706,.12,-0.61
191806,1.02,0.29
191906,.03,-0.70
192006,.53,-0.20
192106,.47,-0.26
192206,.33,-0.40
192306,.42,-0.31
192406,.07,-0.66
192506,1.82,1.09
192606,.29,-0.44
192706,1.31,0.58
192806,.49,-0.24
192906,.45,-0.28
193006,.46,-0.27
193106,.34,-0.39
193206,.95,0.22
193306,.05,-0.68
193406,.43,-0.30
193506,.03,-0.70
193606,1.18,0.45
193706,.45,-0.28
193806,.77,0.04
193906,.42,-0.31
194006,.43,-0.30
194106,1.46,0.73
194206,.14,-0.59
194306,1.52,0.79
194406,1.42,0.69
194506,1.5,0.77
194606,.08,-0.65
194706,1.75,1.02
194806,1.42,0.69
194906,1.47,0.74
195006,.2,-0.53
195106,.39,-0.34
195206,1.09,0.36
195306,.36,-0.37
195406,.75,0.02
195506,.72,-0.01
195606,.28,-0.45
195706,1.08,0.35
195806,.14,-0.59
195906,.61,-0.12
196006,.29,-0.44
196106,.14,-0.59
196206,.59,-0.14
196306,1.25,0.52
196406,1.42,0.69
196506,1.41,0.68
196606,.28,-0.45
196706,2.11,1.38
196806,1,0.27
196906,2.13,1.40
197006,1.49,0.76
197106,.44,-0.29
197206,1.19,0.46
197306,.97,0.24
197406,.11,-0.62
197506,1.14,0.41
197606,.36,-0.37
197706,.36,-0.37
197806,.15,-0.58
197906,.22,-0.51
198006,.4,-0.33
198106,.41,-0.32
198206,.49,-0.24
198306,.95,0.22
198406,1.62,0.89
198506,.63,-0.10
198606,.41,-0.32
198706,.44,-0.29
198806,.6,-0.13
198906,.47,-0.26
199006,.92,0.19
199106,.65,-0.08
199206,.54,-0.19
199306,.95,0.22
199406,.12,-0.61
199506,1.63,0.90
199606,.37,-0.36
199706,1.27,0.54
199806,1.83,1.10
199906,1.13,0.40
200006,.49,-0.24
200106,.37,-0.36
200206,.15,-0.58
200306,.56,-0.17
200406,.66,-0.07
200506,1.43,0.70
200606,.42,-0.31
200706,.39,-0.34
200806,.65,-0.08
200906,1.74,1.01
201006,.79,0.06
201106,.54,-0.19
201206,.03,-0.70
201306,.02,-0.71
201406,.24,-0.49
201506,.97,0.24
