Montana, Precipitation, May
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189505,1.37,-1.05
189605,3.85,1.43
189705,1.2,-1.22
189805,3.6,1.18
189905,3.2,0.78
190005,2.22,-0.20
190105,3.2,0.78
190205,3.74,1.32
190305,2.49,0.07
190405,1.62,-0.80
190505,2.56,0.14
190605,4.47,2.05
190705,2.6,0.18
190805,5.03,2.61
190905,2.73,0.31
191005,2.04,-0.38
191105,2.92,0.50
191205,3.42,1.00
191305,2.18,-0.24
191405,2,-0.42
191505,3.08,0.66
191605,2.45,0.03
191705,2.47,0.05
191805,1.45,-0.97
191905,1.56,-0.86
192005,2.25,-0.17
192105,2.35,-0.07
192205,2.95,0.53
192305,2.32,-0.10
192405,1.03,-1.39
192505,1.58,-0.84
192605,1.88,-0.54
192705,5.75,3.33
192805,.75,-1.67
192905,1.97,-0.45
193005,1.34,-1.08
193105,.99,-1.43
193205,1.95,-0.47
193305,2.78,0.36
193405,.72,-1.70
193505,1.99,-0.43
193605,1.09,-1.33
193705,.7,-1.72
193805,3.48,1.06
193905,2.18,-0.24
194005,1.31,-1.11
194105,2.43,0.01
194205,4.3,1.88
194305,1.73,-0.69
194405,2.25,-0.17
194505,2.2,-0.22
194605,2.34,-0.08
194705,1.07,-1.35
194805,2.9,0.48
194905,2.27,-0.15
195005,1.18,-1.24
195105,1.86,-0.56
195205,2.5,0.08
195305,4.11,1.69
195405,1.42,-1.00
195505,3.29,0.87
195605,2.23,-0.19
195705,2.79,0.37
195805,.96,-1.46
195905,2.44,0.02
196005,1.91,-0.51
196105,2.45,0.03
196205,4.06,1.64
196305,1.94,-0.48
196405,3.11,0.69
196505,2.53,0.11
196605,1.55,-0.87
196705,1.95,-0.47
196805,2.3,-0.12
196905,1.54,-0.88
197005,3.03,0.61
197105,2.11,-0.31
197205,2.34,-0.08
197305,1.27,-1.15
197405,3.33,0.91
197505,3.29,0.87
197605,1.49,-0.93
197705,2.62,0.20
197805,4.75,2.33
197905,1.57,-0.85
198005,3.34,0.92
198105,4.76,2.34
198205,3.45,1.03
198305,2.03,-0.39
198405,1.69,-0.73
198505,2.03,-0.39
198605,2.99,0.57
198705,3.15,0.73
198805,2.25,-0.17
198905,2.6,0.18
199005,2.78,0.36
199105,3.09,0.67
199205,1.44,-0.98
199305,1.91,-0.51
199405,1.93,-0.49
199505,2.79,0.37
199605,3.6,1.18
199705,2.43,0.01
199805,2.13,-0.29
199905,2.36,-0.06
200005,2.09,-0.33
200105,.83,-1.59
200205,2.04,-0.38
200305,2.33,-0.09
200405,3,0.58
200505,2.72,0.30
200605,1.8,-0.62
200705,4.05,1.63
200805,4.05,1.63
200905,1.34,-1.08
201005,3.93,1.51
201105,5.7,3.28
201205,2.42,0.00
201305,4.15,1.73
201405,1.92,-0.50
201505,2.43,0.01
