Florida, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,4.06,1.10
189601,3.48,0.52
189701,1.57,-1.39
189801,.95,-2.01
189901,4.84,1.88
190001,3.24,0.28
190101,2.66,-0.30
190201,.77,-2.19
190301,4.8,1.84
190401,4.55,1.59
190501,1.73,-1.23
190601,4.25,1.29
190701,.76,-2.20
190801,3.12,0.16
190901,1.48,-1.48
191001,1.36,-1.60
191101,1.37,-1.59
191201,4.83,1.87
191301,1.94,-1.02
191401,4.12,1.16
191501,5.58,2.62
191601,1.13,-1.83
191701,1.76,-1.20
191801,3.06,0.10
191901,2.41,-0.55
192001,2.7,-0.26
192101,1.27,-1.69
192201,2.36,-0.60
192301,1.91,-1.05
192401,4.25,1.29
192501,4.8,1.84
192601,5.87,2.91
192701,.32,-2.64
192801,.74,-2.22
192901,3.19,0.23
193001,3.63,0.67
193101,3.29,0.33
193201,2.46,-0.50
193301,2.35,-0.61
193401,1.37,-1.59
193501,1.28,-1.68
193601,5.1,2.14
193701,1.86,-1.10
193801,2.06,-0.90
193901,1.53,-1.43
194001,2.63,-0.33
194101,3.48,0.52
194201,3.59,0.63
194301,1.88,-1.08
194401,2.5,-0.46
194501,3.86,0.90
194601,2.73,-0.23
194701,2.64,-0.32
194801,5.11,2.15
194901,.94,-2.02
195001,.38,-2.58
195101,.9,-2.06
195201,1.15,-1.81
195301,3.25,0.29
195401,.96,-2.00
195501,2.74,-0.22
195601,2.36,-0.60
195701,1.11,-1.85
195801,5.37,2.41
195901,3.67,0.71
196001,1.88,-1.08
196101,3.39,0.43
196201,1.89,-1.07
196301,3.29,0.33
196401,5.79,2.83
196501,1.82,-1.14
196601,5.21,2.25
196701,2.89,-0.07
196801,1.16,-1.80
196901,1.97,-0.99
197001,4.05,1.09
197101,1.72,-1.24
197201,3.02,0.06
197301,4.7,1.74
197401,1.66,-1.30
197501,3.32,0.36
197601,2.13,-0.83
197701,3.5,0.54
197801,4.35,1.39
197901,6.59,3.63
198001,3.85,0.89
198101,.87,-2.09
198201,2.71,-0.25
198301,3.98,1.02
198401,1.98,-0.98
198501,1.84,-1.12
198601,4.31,1.35
198701,4.43,1.47
198801,4.04,1.08
198901,1.85,-1.11
199001,2.1,-0.86
199101,8.03,5.07
199201,3.67,0.71
199301,6.27,3.31
199401,5.82,2.86
199501,3.34,0.38
199601,3.43,0.47
199701,3.08,0.12
199801,4.59,1.63
199901,4.06,1.10
200001,2.21,-0.75
200101,1.27,-1.69
200201,3,0.04
200301,1.5,-1.46
200401,2.28,-0.68
200501,1.76,-1.20
200601,1.47,-1.49
200701,2.53,-0.43
200801,2.85,-0.11
200901,1.85,-1.11
201001,4.23,1.27
201101,4.24,1.28
201201,1.13,-1.83
201301,.8,-2.16
201401,3.91,0.95
201501,2.84,-0.12
