Maryland, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,4.24,0.39
189606,3.94,0.09
189706,3.23,-0.62
189806,1.69,-2.16
189906,3.19,-0.66
190006,4.88,1.03
190106,3.12,-0.73
190206,5.16,1.31
190306,4.89,1.04
190406,4.41,0.56
190506,4.45,0.60
190606,5.96,2.11
190706,5.69,1.84
190806,2.39,-1.46
190906,5.27,1.42
191006,5.89,2.04
191106,3.66,-0.19
191206,3.97,0.12
191306,2.22,-1.63
191406,3.87,0.02
191506,5.29,1.44
191606,5.74,1.89
191706,3.95,0.10
191806,2.52,-1.33
191906,3.29,-0.56
192006,5.66,1.81
192106,2.07,-1.78
192206,4.88,1.03
192306,3.14,-0.71
192406,4.94,1.09
192506,2.4,-1.45
192606,2.7,-1.15
192706,3.52,-0.33
192806,5.98,2.13
192906,5.08,1.23
193006,3.15,-0.70
193106,3.59,-0.26
193206,3.59,-0.26
193306,2.64,-1.21
193406,3.07,-0.78
193506,4.58,0.73
193606,3.48,-0.37
193706,5.22,1.37
193806,4.19,0.34
193906,4.93,1.08
194006,2.02,-1.83
194106,4.78,0.93
194206,4.21,0.36
194306,2.57,-1.28
194406,3.05,-0.80
194506,4.59,0.74
194606,4.27,0.42
194706,4.3,0.45
194806,5.07,1.22
194906,2.31,-1.54
195006,3.01,-0.84
195106,7.22,3.37
195206,3.04,-0.81
195306,2.35,-1.50
195406,1.75,-2.10
195506,5.42,1.57
195606,3.61,-0.24
195706,3.68,-0.17
195806,4.11,0.26
195906,2.85,-1.00
196006,2.54,-1.31
196106,4.48,0.63
196206,3.77,-0.08
196306,5.3,1.45
196406,2.43,-1.42
196506,2.44,-1.41
196606,1.86,-1.99
196706,2.58,-1.27
196806,4.21,0.36
196906,2.79,-1.06
197006,4.46,0.61
197106,2.22,-1.63
197206,10.78,6.93
197306,3.69,-0.16
197406,4.49,0.64
197506,5.21,1.36
197606,2.59,-1.26
197706,3.65,-0.20
197806,3.19,-0.66
197906,4.18,0.33
198006,3.02,-0.83
198106,4.7,0.85
198206,5.56,1.71
198306,4.36,0.51
198406,2.59,-1.26
198506,2.78,-1.07
198606,1.85,-2.00
198706,3.13,-0.72
198806,.93,-2.92
198906,6.54,2.69
199006,2.7,-1.15
199106,2.33,-1.52
199206,2.69,-1.16
199306,3.05,-0.80
199406,2.51,-1.34
199506,3.7,-0.15
199606,5.51,1.66
199706,3.02,-0.83
199806,5,1.15
199906,2.19,-1.66
200006,4.99,1.14
200106,4.65,0.80
200206,2.79,-1.06
200306,6.88,3.03
200406,4.39,0.54
200506,3.09,-0.76
200606,9.31,5.46
200706,2.92,-0.93
200806,4.6,0.75
200906,5.43,1.58
201006,2.1,-1.75
201106,2.54,-1.31
201206,2.99,-0.86
201306,7.46,3.61
201406,3.63,-0.22
201506,9.39,5.54
