Minnesota, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,5.18,1.07
189606,3.67,-0.44
189706,5.25,1.14
189806,4.44,0.33
189906,5.55,1.44
190006,1.65,-2.46
190106,5.97,1.86
190206,3.21,-0.90
190306,1.94,-2.17
190406,4.18,0.07
190506,6.83,2.72
190606,4.74,0.63
190706,3.96,-0.15
190806,5.64,1.53
190906,3.22,-0.89
191006,1.5,-2.61
191106,3.76,-0.35
191206,1.76,-2.35
191306,3.17,-0.94
191406,7.32,3.21
191506,6.72,2.61
191606,4.83,0.72
191706,2.88,-1.23
191806,1.9,-2.21
191906,5.25,1.14
192006,5.69,1.58
192106,2.69,-1.42
192206,3,-1.11
192306,4.51,0.40
192406,4.09,-0.02
192506,6.65,2.54
192606,3.33,-0.78
192706,3.4,-0.71
192806,4.2,0.09
192906,2,-2.11
193006,3.73,-0.38
193106,4.17,0.06
193206,2.85,-1.26
193306,2.04,-2.07
193406,4.02,-0.09
193506,4.65,0.54
193606,1.89,-2.22
193706,2.88,-1.23
193806,3.17,-0.94
193906,4.99,0.88
194006,3.35,-0.76
194106,4.92,0.81
194206,3.53,-0.58
194306,5.63,1.52
194406,6.54,2.43
194506,4.29,0.18
194606,5.63,1.52
194706,5.25,1.14
194806,3.83,-0.28
194906,4.1,-0.01
195006,3.04,-1.07
195106,4.61,0.50
195206,4.99,0.88
195306,6.07,1.96
195406,3.79,-0.32
195506,3.46,-0.65
195606,3.5,-0.61
195706,6.67,2.56
195806,3.61,-0.50
195906,3.46,-0.65
196006,3.64,-0.47
196106,1.61,-2.50
196206,3.39,-0.72
196306,3.83,-0.28
196406,4.16,0.05
196506,4.06,-0.05
196606,3.23,-0.88
196706,5.97,1.86
196806,6.16,2.05
196906,3.43,-0.68
197006,3.43,-0.68
197106,4.87,0.76
197206,2.59,-1.52
197306,2.81,-1.30
197406,3.19,-0.92
197506,6.03,1.92
197606,4.43,0.32
197706,3.82,-0.29
197806,3.65,-0.46
197906,4.46,0.35
198006,3.49,-0.62
198106,5.73,1.62
198206,2.41,-1.70
198306,4.97,0.86
198406,6.68,2.57
198506,4.08,-0.03
198606,4.58,0.47
198706,1.78,-2.33
198806,1.82,-2.29
198906,3.5,-0.61
199006,6.02,1.91
199106,4.8,0.69
199206,3.86,-0.25
199306,5.89,1.78
199406,4.94,0.83
199506,2.26,-1.85
199606,3.71,-0.40
199706,4.18,0.07
199806,5.36,1.25
199906,4.3,0.19
200006,4.99,0.88
200106,3.89,-0.22
200206,6.14,2.03
200306,4.73,0.62
200406,2.76,-1.35
200506,5.61,1.50
200606,2.65,-1.46
200706,3.58,-0.53
200806,4.88,0.77
200906,3.35,-0.76
201006,5.21,1.10
201106,4.18,0.07
201206,4.36,0.25
201306,5.22,1.11
201406,8.07,3.96
201506,3.81,-0.30
