Arkansas, Precipitation, September
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189509,2.15,-1.44
189609,3.41,-0.18
189709,.64,-2.95
189809,6.78,3.19
189909,1.31,-2.28
190009,4.13,0.54
190109,3.09,-0.50
190209,5.31,1.72
190309,2.65,-0.94
190409,2.33,-1.26
190509,4.01,0.42
190609,6.33,2.74
190709,2.28,-1.31
190809,4.34,0.75
190909,2.78,-0.81
191009,2.22,-1.37
191109,3.53,-0.06
191209,2.57,-1.02
191309,10.27,6.68
191409,3.16,-0.43
191509,1.54,-2.05
191609,3.66,0.07
191709,1.69,-1.90
191809,4.64,1.05
191909,2.77,-0.82
192009,3.28,-0.31
192109,3.73,0.14
192209,1.23,-2.36
192309,5.42,1.83
192409,3.98,0.39
192509,5.63,2.04
192609,3.69,0.10
192709,3.59,0.00
192809,.54,-3.05
192909,2.51,-1.08
193009,4.01,0.42
193109,.96,-2.63
193209,2.53,-1.06
193309,4.73,1.14
193409,5.28,1.69
193509,3.02,-0.57
193609,4.35,0.76
193709,4.24,0.65
193809,1.45,-2.14
193909,1.72,-1.87
194009,1.85,-1.74
194109,3.31,-0.28
194209,3.27,-0.32
194309,3.17,-0.42
194409,1.89,-1.70
194509,7.58,3.99
194609,1.53,-2.06
194709,3.24,-0.35
194809,1.01,-2.58
194909,2.91,-0.68
195009,5.38,1.79
195109,4.79,1.20
195209,2.04,-1.55
195309,.94,-2.65
195409,2.44,-1.15
195509,3.11,-0.48
195609,1.06,-2.53
195709,4.83,1.24
195809,6.71,3.12
195909,4.31,0.72
196009,3.18,-0.41
196109,2.89,-0.70
196209,5.96,2.37
196309,1.85,-1.74
196409,5.29,1.70
196509,7.76,4.17
196609,2.41,-1.18
196709,4.03,0.44
196809,5.8,2.21
196909,1.67,-1.92
197009,5.12,1.53
197109,1.84,-1.75
197209,5.71,2.12
197309,6.42,2.83
197409,6.64,3.05
197509,3.93,0.34
197609,3.15,-0.44
197709,6.53,2.94
197809,2.62,-0.97
197909,3.9,0.31
198009,6.1,2.51
198109,1.79,-1.80
198209,1.28,-2.31
198309,1.8,-1.79
198409,4.23,0.64
198509,3.32,-0.27
198609,3.24,-0.35
198709,3.32,-0.27
198809,3.55,-0.04
198909,3.49,-0.10
199009,3.99,0.40
199109,3.46,-0.13
199209,4.39,0.80
199309,5.14,1.55
199409,2.2,-1.39
199509,2.64,-0.95
199609,6.09,2.50
199709,2.9,-0.69
199809,4.24,0.65
199909,1.77,-1.82
200009,2.95,-0.64
200109,3.65,0.06
200209,2.98,-0.61
200309,3.6,0.01
200409,.4,-3.19
200509,4.77,1.18
200609,4.33,0.74
200709,4.56,0.97
200809,7.63,4.04
200909,8.64,5.05
201009,3.3,-0.29
201109,2.49,-1.10
201209,5.01,1.42
201309,3.47,-0.12
201409,2.42,-1.17
201509,1.47,-2.12
