Wisconsin, Precipitation, February
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189502,.52,-0.51
189602,.43,-0.60
189702,1.23,0.20
189802,1.53,0.50
189902,1.12,0.09
190002,1.4,0.37
190102,.67,-0.36
190202,1.22,0.19
190302,1.04,0.01
190402,1.1,0.07
190502,1.02,-0.01
190602,.73,-0.30
190702,.55,-0.48
190802,1.54,0.51
190902,1.54,0.51
191002,.77,-0.26
191102,1.66,0.63
191202,.55,-0.48
191302,1.01,-0.02
191402,.62,-0.41
191502,2.16,1.13
191602,.77,-0.26
191702,.75,-0.28
191802,1.11,0.08
191902,1.81,0.78
192002,.53,-0.50
192102,.69,-0.34
192202,3.2,2.17
192302,.67,-0.36
192402,1.02,-0.01
192502,1.07,0.04
192602,1.64,0.61
192702,.61,-0.42
192802,1.48,0.45
192902,1.19,0.16
193002,1.41,0.38
193102,.59,-0.44
193202,1.35,0.32
193302,1.11,0.08
193402,.34,-0.69
193502,.82,-0.21
193602,1.56,0.53
193702,1.93,0.90
193802,1.95,0.92
193902,1.72,0.69
194002,1.05,0.02
194102,.73,-0.30
194202,.53,-0.50
194302,.55,-0.48
194402,1.24,0.21
194502,2.02,0.99
194602,.84,-0.19
194702,.33,-0.70
194802,1.67,0.64
194902,.68,-0.35
195002,.91,-0.12
195102,1.71,0.68
195202,.62,-0.41
195302,2.13,1.10
195402,.78,-0.25
195502,1.02,-0.01
195602,.48,-0.55
195702,.66,-0.37
195802,.11,-0.92
195902,1.21,0.18
196002,.72,-0.31
196102,1.23,0.20
196202,1.77,0.74
196302,.54,-0.49
196402,.22,-0.81
196502,1.2,0.17
196602,1.23,0.20
196702,1.07,0.04
196802,.36,-0.67
196902,.11,-0.92
197002,.26,-0.77
197102,2.56,1.53
197202,.74,-0.29
197302,.94,-0.09
197402,1.05,0.02
197502,1.2,0.17
197602,1.38,0.35
197702,.94,-0.09
197802,.32,-0.71
197902,1.28,0.25
198002,.41,-0.62
198102,2.45,1.42
198202,.26,-0.77
198302,1.2,0.17
198402,1.39,0.36
198502,1.27,0.24
198602,1.3,0.27
198702,.15,-0.88
198802,.32,-0.71
198902,.47,-0.56
199002,.74,-0.29
199102,.64,-0.39
199202,.82,-0.21
199302,.48,-0.55
199402,1.11,0.08
199502,.34,-0.69
199602,.7,-0.33
199702,.88,-0.15
199802,1.59,0.56
199902,1.19,0.16
200002,1.27,0.24
200102,1.65,0.62
200202,1.78,0.75
200302,.64,-0.39
200402,1.66,0.63
200502,1.24,0.21
200602,.75,-0.28
200702,1.11,0.08
200802,1.61,0.58
200902,1.1,0.07
201002,.57,-0.46
201102,1.13,0.10
201202,1.29,0.26
201302,1.63,0.60
201402,1.27,0.24
201502,.42,-0.61
