Idaho, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,.78,-1.02
189606,1.41,-0.39
189706,2.04,0.24
189806,.96,-0.84
189906,.88,-0.92
190006,.66,-1.14
190106,1.22,-0.58
190206,.72,-1.08
190306,1.47,-0.33
190406,1.32,-0.48
190506,2.33,0.53
190606,2.25,0.45
190706,3.22,1.42
190806,3.28,1.48
190906,1.04,-0.76
191006,.4,-1.40
191106,3.05,1.25
191206,1.62,-0.18
191306,3.54,1.74
191406,2.76,0.96
191506,1.36,-0.44
191606,1.6,-0.20
191706,.68,-1.12
191806,1.07,-0.73
191906,.07,-1.73
192006,1.32,-0.48
192106,1.18,-0.62
192206,1.29,-0.51
192306,3.26,1.46
192406,.71,-1.09
192506,2.02,0.22
192606,.86,-0.94
192706,1.28,-0.52
192806,1.34,-0.46
192906,1.75,-0.05
193006,1.02,-0.78
193106,.77,-1.03
193206,1.66,-0.14
193306,.97,-0.83
193406,1.72,-0.08
193506,.56,-1.24
193606,2.58,0.78
193706,1.69,-0.11
193806,1.77,-0.03
193906,1.32,-0.48
194006,.79,-1.01
194106,2.8,1.00
194206,1.61,-0.19
194306,2.27,0.47
194406,3.99,2.19
194506,2.57,0.77
194606,1.24,-0.56
194706,2.83,1.03
194806,2.73,0.93
194906,.9,-0.90
195006,2.08,0.28
195106,1.12,-0.68
195206,2.45,0.65
195306,1.99,0.19
195406,2.74,0.94
195506,1.86,0.06
195606,1.38,-0.42
195706,1.49,-0.31
195806,2.61,0.81
195906,1.4,-0.40
196006,.62,-1.18
196106,.9,-0.90
196206,1.2,-0.60
196306,3.84,2.04
196406,3.89,2.09
196506,2.14,0.34
196606,1.39,-0.41
196706,3.23,1.43
196806,2.14,0.34
196906,2.57,0.77
197006,3.01,1.21
197106,2.74,0.94
197206,1.95,0.15
197306,1.48,-0.32
197406,.85,-0.95
197506,1.75,-0.05
197606,1.56,-0.24
197706,1.52,-0.28
197806,.89,-0.91
197906,.88,-0.92
198006,2.09,0.29
198106,2.42,0.62
198206,1.77,-0.03
198306,2.04,0.24
198406,2.99,1.19
198506,.92,-0.88
198606,1.11,-0.69
198706,1.39,-0.41
198806,1.15,-0.65
198906,1.1,-0.70
199006,1.44,-0.36
199106,1.87,0.07
199206,2.26,0.46
199306,3.33,1.53
199406,1.12,-0.68
199506,3.19,1.39
199606,.76,-1.04
199706,2.13,0.33
199806,2.77,0.97
199906,1.83,0.03
200006,.86,-0.94
200106,1.4,-0.40
200206,1.42,-0.38
200306,.64,-1.16
200406,1.43,-0.37
200506,2.44,0.64
200606,1.74,-0.06
200706,1.23,-0.57
200806,1.43,-0.37
200906,3.51,1.71
201006,3.24,1.44
201106,1.96,0.16
201206,1.6,-0.20
201306,1.35,-0.45
201406,1.32,-0.48
201506,.78,-1.02
