Oklahoma, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,1.4,-2.02
189604,1.87,-1.55
189704,4.71,1.29
189804,1.64,-1.78
189904,3.34,-0.08
190004,4.68,1.26
190104,2.89,-0.53
190204,2.86,-0.56
190304,1.47,-1.95
190404,2.42,-1.00
190504,4.37,0.95
190604,3.8,0.38
190704,3.51,0.09
190804,5.69,2.27
190904,1.73,-1.69
191004,2.74,-0.68
191104,3.54,0.12
191204,4.36,0.94
191304,2.07,-1.35
191404,2.9,-0.52
191504,6.35,2.93
191604,4.17,0.75
191704,3.67,0.25
191804,3.63,0.21
191904,4.02,0.60
192004,2.54,-0.88
192104,3.83,0.41
192204,6.43,3.01
192304,3.8,0.38
192404,4.28,0.86
192504,4.34,0.92
192604,2.7,-0.72
192704,6.17,2.75
192804,4.87,1.45
192904,2.72,-0.70
193004,2.8,-0.62
193104,2.84,-0.58
193204,2.44,-0.98
193304,2.92,-0.50
193404,2.62,-0.80
193504,2.38,-1.04
193604,.97,-2.45
193704,2.31,-1.11
193804,2.97,-0.45
193904,2.63,-0.79
194004,5.01,1.59
194104,5.8,2.38
194204,8.32,4.90
194304,2.31,-1.11
194404,4.03,0.61
194504,5.59,2.17
194604,2.87,-0.55
194704,6.51,3.09
194804,1.59,-1.83
194904,2.09,-1.33
195004,1.78,-1.64
195104,2.11,-1.31
195204,4.27,0.85
195304,4.07,0.65
195404,3.53,0.11
195504,1.91,-1.51
195604,1.53,-1.89
195704,8.04,4.62
195804,2.82,-0.60
195904,2.53,-0.89
196004,1.92,-1.50
196104,1.09,-2.33
196204,2.82,-0.60
196304,2.32,-1.10
196404,2.73,-0.69
196504,2.51,-0.91
196604,4.08,0.66
196704,5.22,1.80
196804,3.14,-0.28
196904,2.77,-0.65
197004,4.52,1.10
197104,1.89,-1.53
197204,3.06,-0.36
197304,4.81,1.39
197404,3.84,0.42
197504,2.01,-1.41
197604,5.34,1.92
197704,3.04,-0.38
197804,2.16,-1.26
197904,2.89,-0.53
198004,2.86,-0.56
198104,2.17,-1.25
198204,1.7,-1.72
198304,2.72,-0.70
198404,2.76,-0.66
198504,4.65,1.23
198604,3.88,0.46
198704,.71,-2.71
198804,3.85,0.43
198904,.55,-2.87
199004,6.03,2.61
199104,3.32,-0.10
199204,3.09,-0.33
199304,4.03,0.61
199404,4.66,1.24
199504,4.35,0.93
199604,2.2,-1.22
199704,5.48,2.06
199804,2.55,-0.87
199904,5.86,2.44
200004,2.57,-0.85
200104,1.37,-2.05
200204,4.14,0.72
200304,1.88,-1.54
200404,3.65,0.23
200504,1.37,-2.05
200604,3.35,-0.07
200704,2.81,-0.61
200804,4.58,1.16
200904,4.82,1.40
201004,2.63,-0.79
201104,3.49,0.07
201204,3.45,0.03
201304,3.81,0.39
201404,1.69,-1.73
201504,4.85,1.43
