Kentucky, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,3.55,-0.70
189606,4.48,0.23
189706,3.71,-0.54
189806,4.15,-0.10
189906,3.11,-1.14
190006,6.13,1.88
190106,4.24,-0.01
190206,5.07,0.82
190306,3.77,-0.48
190406,3.59,-0.66
190506,4.35,0.10
190606,4.28,0.03
190706,5.35,1.10
190806,3.72,-0.53
190906,5.77,1.52
191006,5.55,1.30
191106,4.06,-0.19
191206,3.64,-0.61
191306,2.68,-1.57
191406,2.45,-1.80
191506,4.78,0.53
191606,5.19,0.94
191706,4.32,0.07
191806,3.78,-0.47
191906,4.08,-0.17
192006,3.61,-0.64
192106,2.94,-1.31
192206,3.35,-0.90
192306,4.69,0.44
192406,4.71,0.46
192506,4.09,-0.16
192606,3.6,-0.65
192706,4.31,0.06
192806,11.67,7.42
192906,4.07,-0.18
193006,1.81,-2.44
193106,2.68,-1.57
193206,4.89,0.64
193306,1.62,-2.63
193406,4.58,0.33
193506,7.57,3.32
193606,.81,-3.44
193706,4.56,0.31
193806,4.18,-0.07
193906,6,1.75
194006,3.67,-0.58
194106,4.69,0.44
194206,5.37,1.12
194306,3.87,-0.38
194406,1.83,-2.42
194506,5.37,1.12
194606,3.81,-0.44
194706,4.72,0.47
194806,3.28,-0.97
194906,5.36,1.11
195006,6.41,2.16
195106,5,0.75
195206,2.66,-1.59
195306,3.38,-0.87
195406,2.86,-1.39
195506,4.31,0.06
195606,3.62,-0.63
195706,5.31,1.06
195806,4.26,0.01
195906,2.89,-1.36
196006,7.12,2.87
196106,5.5,1.25
196206,4.76,0.51
196306,3.37,-0.88
196406,2.78,-1.47
196506,3.69,-0.56
196606,1.76,-2.49
196706,3.85,-0.40
196806,2.77,-1.48
196906,5.64,1.39
197006,4.55,0.30
197106,4.39,0.14
197206,2.89,-1.36
197306,5.24,0.99
197406,4.97,0.72
197506,3.62,-0.63
197606,6.19,1.94
197706,5.12,0.87
197806,2.89,-1.36
197906,4.93,0.68
198006,2.76,-1.49
198106,4.97,0.72
198206,4.34,0.09
198306,3.32,-0.93
198406,1.98,-2.27
198506,4.44,0.19
198606,2.81,-1.44
198706,3.79,-0.46
198806,.97,-3.28
198906,6.62,2.37
199006,3.36,-0.89
199106,3.1,-1.15
199206,4.35,0.10
199306,4.95,0.70
199406,3.54,-0.71
199506,4.37,0.12
199606,4.83,0.58
199706,7.11,2.86
199806,8.86,4.61
199906,4.62,0.37
200006,4.41,0.16
200106,3.99,-0.26
200206,3.75,-0.50
200306,6.1,1.85
200406,4.01,-0.24
200506,2.7,-1.55
200606,4,-0.25
200706,3.03,-1.22
200806,3.31,-0.94
200906,5.69,1.44
201006,4.25,0.00
201106,5.36,1.11
201206,1.5,-2.75
201306,6.23,1.98
201406,3.98,-0.27
201506,5.47,1.22
