Minnesota, Precipitation, May
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189505,3.37,0.24
189605,5.53,2.40
189705,1.37,-1.76
189805,3.14,0.01
189905,4.54,1.41
190005,.8,-2.33
190105,1.36,-1.77
190205,5.01,1.88
190305,4.76,1.63
190405,2.28,-0.85
190505,5.05,1.92
190605,4.9,1.77
190705,2.19,-0.94
190805,5.84,2.71
190905,3.18,0.05
191005,1.43,-1.70
191105,3.24,0.11
191205,4.03,0.90
191305,3.57,0.44
191405,2.95,-0.18
191505,4.06,0.93
191605,3.96,0.83
191705,1.47,-1.66
191805,4.3,1.17
191905,2.37,-0.76
192005,3.11,-0.02
192105,3.46,0.33
192205,3.02,-0.11
192305,1.88,-1.25
192405,1.86,-1.27
192505,1.51,-1.62
192605,2.14,-0.99
192705,3.74,0.61
192805,1.28,-1.85
192905,1.99,-1.14
193005,4.22,1.09
193105,2.34,-0.79
193205,3.06,-0.07
193305,3.48,0.35
193405,1.04,-2.09
193505,2.21,-0.92
193605,2.62,-0.51
193705,3.91,0.78
193805,6.03,2.90
193905,2.24,-0.89
194005,1.88,-1.25
194105,3.42,0.29
194205,4.93,1.80
194305,4.34,1.21
194405,5.09,1.96
194505,2.4,-0.73
194605,2.96,-0.17
194705,2.33,-0.80
194805,1.23,-1.90
194905,3.38,0.25
195005,4.5,1.37
195105,2.89,-0.24
195205,1.54,-1.59
195305,4.21,1.08
195405,3.39,0.26
195505,2.21,-0.92
195605,3.1,-0.03
195705,3.38,0.25
195805,1.53,-1.60
195905,5.32,2.19
196005,3.69,0.56
196105,3.07,-0.06
196205,5.98,2.85
196305,3.23,0.10
196405,3.12,-0.01
196505,4.93,1.80
196605,1.7,-1.43
196705,1.34,-1.79
196805,2.69,-0.44
196905,2.96,-0.17
197005,3.57,0.44
197105,2.73,-0.40
197205,3.54,0.41
197305,3.45,0.32
197405,3.92,0.79
197505,2.19,-0.94
197605,.84,-2.29
197705,3.92,0.79
197805,3.2,0.07
197905,3.25,0.12
198005,1.62,-1.51
198105,1.96,-1.17
198205,4.34,1.21
198305,2.54,-0.59
198405,2.18,-0.95
198505,4.5,1.37
198605,2.81,-0.32
198705,3.73,0.60
198805,2.1,-1.03
198905,2.82,-0.31
199005,2.52,-0.61
199105,4.45,1.32
199205,2.03,-1.10
199305,4.37,1.24
199405,1.94,-1.19
199505,2.93,-0.20
199605,3.01,-0.12
199705,2.16,-0.97
199805,3.78,0.65
199905,4.94,1.81
200005,3.65,0.52
200105,4.06,0.93
200205,2.28,-0.85
200305,3.57,0.44
200405,5.63,2.50
200505,4.06,0.93
200605,2.64,-0.49
200705,3.04,-0.09
200805,2.82,-0.31
200905,1.74,-1.39
201005,3.15,0.02
201105,4.14,1.01
201205,5.96,2.83
201305,4.39,1.26
201405,3.51,0.38
201505,5.3,2.17
