Washington, Precipitation, December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189512,9.09,2.62
189612,7.66,1.19
189712,9.65,3.18
189812,4.61,-1.86
189912,5.88,-0.59
190012,7.64,1.17
190112,4.25,-2.22
190212,9.01,2.54
190312,4,-2.47
190412,6.49,0.02
190512,5.47,-1.00
190612,7.42,0.95
190712,7.45,0.98
190812,4.82,-1.65
190912,4.52,-1.95
191012,5.24,-1.23
191112,4.61,-1.86
191212,6.65,0.18
191312,2.76,-3.71
191412,2.14,-4.33
191512,8.36,1.89
191612,4.91,-1.56
191712,14.63,8.16
191812,6.41,-0.06
191912,4.6,-1.87
192012,7.89,1.42
192112,5.48,-0.99
192212,7.81,1.34
192312,6.88,0.41
192412,5.82,-0.65
192512,6.2,-0.27
192612,5.3,-1.17
192712,4.11,-2.36
192812,5.04,-1.43
192912,6.93,0.46
193012,2.38,-4.09
193112,7.55,1.08
193212,6.72,0.25
193312,16.61,10.14
193412,6.91,0.44
193512,4.46,-2.01
193612,7.2,0.73
193712,8.45,1.98
193812,5.63,-0.84
193912,8.85,2.38
194012,5.34,-1.13
194112,7.66,1.19
194212,6.92,0.45
194312,3.75,-2.72
194412,2.44,-4.03
194512,6.7,0.23
194612,6.45,-0.02
194712,5.74,-0.73
194812,8.08,1.61
194912,7.07,0.60
195012,7.22,0.75
195112,5.95,-0.52
195212,6.56,0.09
195312,8.06,1.59
195412,5.24,-1.23
195512,9.08,2.61
195612,6.57,0.10
195712,7.43,0.96
195812,6.69,0.22
195912,4.98,-1.49
196012,3.59,-2.88
196112,6.98,0.51
196212,4.94,-1.53
196312,5.19,-1.28
196412,8.59,2.12
196512,5.71,-0.76
196612,8.51,2.04
196712,6.44,-0.03
196812,8.12,1.65
196912,6.49,0.02
197012,8.21,1.74
197112,7.97,1.50
197212,8.81,2.34
197312,9.71,3.24
197412,7.94,1.47
197512,9.1,2.63
197612,2.75,-3.72
197712,9.61,3.14
197812,3.6,-2.87
197912,9.38,2.91
198012,8.49,2.02
198112,8,1.53
198212,7.59,1.12
198312,4.99,-1.48
198412,5.03,-1.44
198512,1.78,-4.69
198612,3.82,-2.65
198712,8.06,1.59
198812,4.19,-2.28
198912,3.63,-2.84
199012,5.42,-1.05
199112,4.47,-2.00
199212,5.12,-1.35
199312,5.86,-0.61
199412,7.74,1.27
199512,7.05,0.58
199612,11.63,5.16
199712,4.26,-2.21
199812,10.06,3.59
199912,7.13,0.66
200012,3.41,-3.06
200112,7.66,1.19
200212,7.36,0.89
200312,5.51,-0.96
200412,4.96,-1.51
200512,6.72,0.25
200612,6.85,0.38
200712,8.81,2.34
200812,5.71,-0.76
200912,3.39,-3.08
201012,7.71,1.24
201112,3.2,-3.27
201212,8.25,1.78
201312,2.94,-3.53
201412,6.23,-0.24
201512,11.34,4.87
