New York, Precipitation, December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189512,3.86,0.74
189612,1.43,-1.69
189712,4.06,0.94
189812,2.78,-0.34
189912,3.61,0.49
190012,2.51,-0.61
190112,5.37,2.25
190212,4.07,0.95
190312,2.71,-0.41
190412,2.47,-0.65
190512,3.4,0.28
190612,3.1,-0.02
190712,4.15,1.03
190812,2.55,-0.57
190912,2.52,-0.60
191012,2.53,-0.59
191112,2.9,-0.22
191212,2.77,-0.35
191312,2.35,-0.77
191412,2.98,-0.14
191512,4.18,1.06
191612,2.96,-0.16
191712,2.4,-0.72
191812,2.92,-0.20
191912,1.84,-1.28
192012,4.37,1.25
192112,1.96,-1.16
192212,2.59,-0.53
192312,3.54,0.42
192412,2.2,-0.92
192512,2.35,-0.77
192612,2.29,-0.83
192712,4.55,1.43
192812,1.38,-1.74
192912,3.71,0.59
193012,1.79,-1.33
193112,3.1,-0.02
193212,2.08,-1.04
193312,2.97,-0.15
193412,2.87,-0.25
193512,1.98,-1.14
193612,3.25,0.13
193712,2.53,-0.59
193812,2.9,-0.22
193912,2.92,-0.20
194012,4.04,0.92
194112,2.95,-0.17
194212,5.49,2.37
194312,1.15,-1.97
194412,3.47,0.35
194512,2.22,-0.90
194612,3.33,0.21
194712,2.42,-0.70
194812,4.42,1.30
194912,3.02,-0.10
195012,3.55,0.43
195112,4.25,1.13
195212,4.11,0.99
195312,3.3,0.18
195412,4.08,0.96
195512,1.54,-1.58
195612,3.46,0.34
195712,4.33,1.21
195812,1.45,-1.67
195912,4.16,1.04
196012,1.53,-1.59
196112,2.44,-0.68
196212,2.73,-0.39
196312,2.3,-0.82
196412,3.39,0.27
196512,1.98,-1.14
196612,3.15,0.03
196712,3.08,-0.04
196812,4.33,1.21
196912,4.82,1.70
197012,3.76,0.64
197112,3.53,0.41
197212,4.88,1.76
197312,6.18,3.06
197412,3.56,0.44
197512,3.59,0.47
197612,2.21,-0.91
197712,5.01,1.89
197812,3.89,0.77
197912,2.14,-0.98
198012,2.16,-0.96
198112,2.66,-0.46
198212,2.38,-0.74
198312,5.93,2.81
198412,3.81,0.69
198512,2.52,-0.60
198612,3.35,0.23
198712,2.24,-0.88
198812,1.66,-1.46
198912,1.41,-1.71
199012,5.48,2.36
199112,3.17,0.05
199212,3.05,-0.07
199312,3.12,0.00
199412,2.64,-0.48
199512,2.38,-0.74
199612,4.89,1.77
199712,3.09,-0.03
199812,1.69,-1.43
199912,1.98,-1.14
200012,3.48,0.36
200112,2.74,-0.38
200212,3.54,0.42
200312,4.42,1.30
200412,4.19,1.07
200512,2.8,-0.32
200612,3.31,0.19
200712,4.83,1.71
200812,5.29,2.17
200912,3.64,0.52
201012,3.31,0.19
201112,3.44,0.32
201212,5.31,2.19
201312,3.61,0.49
201412,3.49,0.37
201512,4.07,0.95
