Louisiana, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,4.48,-0.66
189601,3.6,-1.54
189701,5.89,0.75
189801,7.2,2.06
189901,7.06,1.92
190001,4.46,-0.68
190101,3.74,-1.40
190201,2,-3.14
190301,5.05,-0.09
190401,2.68,-2.46
190501,5.66,0.52
190601,3.32,-1.82
190701,1.98,-3.16
190801,3.94,-1.20
190901,1.79,-3.35
191001,3.41,-1.73
191101,2.77,-2.37
191201,4.05,-1.09
191301,6.3,1.16
191401,1.09,-4.05
191501,6.55,1.41
191601,7.06,1.92
191701,5.6,0.46
191801,4.27,-0.87
191901,6.3,1.16
192001,6.65,1.51
192101,3.12,-2.02
192201,6.33,1.19
192301,4.16,-0.98
192401,6.39,1.25
192501,8.02,2.88
192601,6.39,1.25
192701,2.45,-2.69
192801,1.03,-4.11
192901,6.09,0.95
193001,7.74,2.60
193101,5.83,0.69
193201,10.82,5.68
193301,3.55,-1.59
193401,6.78,1.64
193501,3.8,-1.34
193601,4.63,-0.51
193701,8.95,3.81
193801,4.98,-0.16
193901,6.24,1.10
194001,2.8,-2.34
194101,3.38,-1.76
194201,2.62,-2.52
194301,3.06,-2.08
194401,7.11,1.97
194501,4.86,-0.28
194601,9.54,4.40
194701,8.85,3.71
194801,5.08,-0.06
194901,6.16,1.02
195001,6.03,0.89
195101,6.8,1.66
195201,2.86,-2.28
195301,3.13,-2.01
195401,3.99,-1.15
195501,5.15,0.01
195601,3.11,-2.03
195701,3.18,-1.96
195801,4.61,-0.53
195901,3.49,-1.65
196001,4.3,-0.84
196101,5.89,0.75
196201,5.59,0.45
196301,3.9,-1.24
196401,5.74,0.60
196501,3.44,-1.70
196601,8.07,2.93
196701,2.59,-2.55
196801,5.18,0.04
196901,1.74,-3.40
197001,2.3,-2.84
197101,1.71,-3.43
197201,7.88,2.74
197301,5.11,-0.03
197401,10.89,5.75
197501,5.16,0.02
197601,2.97,-2.17
197701,5.4,0.26
197801,7.49,2.35
197901,9.52,4.38
198001,5.53,0.39
198101,1.7,-3.44
198201,3.6,-1.54
198301,4.56,-0.58
198401,3.85,-1.29
198501,4.47,-0.67
198601,1.93,-3.21
198701,5.81,0.67
198801,3.12,-2.02
198901,6.09,0.95
199001,10.26,5.12
199101,10.64,5.50
199201,8.45,3.31
199301,7.34,2.20
199401,6.11,0.97
199501,6.14,1.00
199601,3.9,-1.24
199701,5.47,0.33
199801,12.21,7.07
199901,8.55,3.41
200001,2.1,-3.04
200101,5.58,0.44
200201,4.01,-1.13
200301,1.11,-4.03
200401,5.12,-0.02
200501,3.59,-1.55
200601,4.08,-1.06
200701,7.22,2.08
200801,4.93,-0.21
200901,2.47,-2.67
201001,3.5,-1.64
201101,4.75,-0.39
201201,4.7,-0.44
201301,10.93,5.79
201401,2.06,-3.08
201501,5.86,0.72
