Rhode Island, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,2.42,-0.90
189606,3.42,0.10
189706,3.58,0.26
189806,1.61,-1.71
189906,2.85,-0.47
190006,2.17,-1.15
190106,1.62,-1.70
190206,3.7,0.38
190306,6.09,2.77
190406,3.65,0.33
190506,5.49,2.17
190606,3.48,0.16
190706,2.7,-0.62
190806,2.32,-1.00
190906,2.41,-0.91
191006,4.59,1.27
191106,2.37,-0.95
191206,.55,-2.77
191306,1.46,-1.86
191406,1.11,-2.21
191506,1.64,-1.68
191606,4.78,1.46
191706,4.87,1.55
191806,4.01,0.69
191906,2.2,-1.12
192006,7.36,4.04
192106,3.2,-0.12
192206,6.38,3.06
192306,3.63,0.31
192406,1.75,-1.57
192506,3.04,-0.28
192606,1.96,-1.36
192706,3.77,0.45
192806,4.99,1.67
192906,1.35,-1.97
193006,2.3,-1.02
193106,6.12,2.80
193206,2.71,-0.61
193306,2.08,-1.24
193406,3.73,0.41
193506,5.29,1.97
193606,3.6,0.28
193706,4.13,0.81
193806,7.34,4.02
193906,3.28,-0.04
194006,2.19,-1.13
194106,5.13,1.81
194206,3.44,0.12
194306,1.75,-1.57
194406,3.39,0.07
194506,4.13,0.81
194606,3.41,0.09
194706,3.94,0.62
194806,3.25,-0.07
194906,.15,-3.17
195006,2.42,-0.90
195106,2.28,-1.04
195206,3.18,-0.14
195306,.97,-2.35
195406,2.15,-1.17
195506,3.19,-0.13
195606,2.19,-1.13
195706,.82,-2.50
195806,2.45,-0.87
195906,5.7,2.38
196006,1.78,-1.54
196106,2.13,-1.19
196206,4.8,1.48
196306,2.31,-1.01
196406,1.52,-1.80
196506,2.01,-1.31
196606,2.27,-1.05
196706,3.09,-0.23
196806,5.69,2.37
196906,1.41,-1.91
197006,3.77,0.45
197106,1.26,-2.06
197206,8.07,4.75
197306,4.03,0.71
197406,2.94,-0.38
197506,4.3,0.98
197606,1.34,-1.98
197706,4.65,1.33
197806,1.71,-1.61
197906,1.34,-1.98
198006,3.31,-0.01
198106,3.56,0.24
198206,11.71,8.39
198306,2.62,-0.70
198406,5.41,2.09
198506,4.63,1.31
198606,4.56,1.24
198706,1.81,-1.51
198806,1.66,-1.66
198906,5.24,1.92
199006,1.4,-1.92
199106,1.2,-2.12
199206,4.63,1.31
199306,1.68,-1.64
199406,2.22,-1.10
199506,2.74,-0.58
199606,2.24,-1.08
199706,1.65,-1.67
199806,10.87,7.55
199906,.19,-3.13
200006,5.02,1.70
200106,6.34,3.02
200206,4.14,0.82
200306,6.05,2.73
200406,1.75,-1.57
200506,1.25,-2.07
200606,10.56,7.24
200706,3.05,-0.27
200806,2.82,-0.50
200906,4.54,1.22
201006,3.77,0.45
201106,4.41,1.09
201206,4.24,0.92
201306,10.2,6.88
201406,2.32,-1.00
201506,5.35,2.03
