Wisconsin, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,1.2,-1.43
189604,4.85,2.22
189704,2.17,-0.46
189804,1.99,-0.64
189904,2.47,-0.16
190004,2.56,-0.07
190104,.96,-1.67
190204,2.02,-0.61
190304,3.06,0.43
190404,1.83,-0.80
190504,1.43,-1.20
190604,1.55,-1.08
190704,2.16,-0.47
190804,3.36,0.73
190904,4.15,1.52
191004,2.94,0.31
191104,1.66,-0.97
191204,2.27,-0.36
191304,1.97,-0.66
191404,2.96,0.33
191504,.98,-1.65
191604,3.07,0.44
191704,2.55,-0.08
191804,2.02,-0.61
191904,3.44,0.81
192004,2.4,-0.23
192104,4.16,1.53
192204,3.56,0.93
192304,2.17,-0.46
192404,4.09,1.46
192504,2.01,-0.62
192604,1.66,-0.97
192704,2.39,-0.24
192804,2.57,-0.06
192904,3.82,1.19
193004,1.95,-0.68
193104,1.24,-1.39
193204,1.6,-1.03
193304,2.71,0.08
193404,2.08,-0.55
193504,2.42,-0.21
193604,1.23,-1.40
193704,3.21,0.58
193804,3.15,0.52
193904,2.34,-0.29
194004,2.4,-0.23
194104,2.21,-0.42
194204,1.74,-0.89
194304,1.67,-0.96
194404,2.32,-0.31
194504,3.89,1.26
194604,.79,-1.84
194704,3.88,1.25
194804,2.52,-0.11
194904,1.57,-1.06
195004,3.18,0.55
195104,3.96,1.33
195204,1.62,-1.01
195304,3.52,0.89
195404,5.18,2.55
195504,2.91,0.28
195604,2.09,-0.54
195704,2.2,-0.43
195804,2.55,-0.08
195904,2.04,-0.59
196004,3.63,1.00
196104,2.13,-0.50
196204,1.94,-0.69
196304,2.07,-0.56
196404,3.4,0.77
196504,3.62,0.99
196604,1.76,-0.87
196704,3.3,0.67
196804,4.17,1.54
196904,2.22,-0.41
197004,1.82,-0.81
197104,1.45,-1.18
197204,2.25,-0.38
197304,4.19,1.56
197404,3.12,0.49
197504,3.69,1.06
197604,3.11,0.48
197704,3.2,0.57
197804,3.58,0.95
197904,1.91,-0.72
198004,2,-0.63
198104,4.26,1.63
198204,3.17,0.54
198304,2.27,-0.36
198404,3.63,1.00
198504,2.42,-0.21
198604,2.86,0.23
198704,1.93,-0.70
198804,1.95,-0.68
198904,1.43,-1.20
199004,2.71,0.08
199104,3.88,1.25
199204,3.04,0.41
199304,4.32,1.69
199404,3.62,0.99
199504,2.94,0.31
199604,2.42,-0.21
199704,.97,-1.66
199804,2.34,-0.29
199904,4.12,1.49
200004,2.42,-0.21
200104,4.86,2.23
200204,4.21,1.58
200304,2.76,0.13
200404,2.17,-0.46
200504,1.6,-1.03
200604,2.62,-0.01
200704,2.48,-0.15
200804,5.19,2.56
200904,3.08,0.45
201004,2.34,-0.29
201104,3.71,1.08
201204,2.68,0.05
201304,4.85,2.22
201404,5.04,2.41
201504,2.94,0.31
