New York, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,3.15,0.26
189601,1.88,-1.01
189701,2.53,-0.36
189801,4.36,1.47
189901,2.44,-0.45
190001,3.39,0.50
190101,2.15,-0.74
190201,2.1,-0.79
190301,3.09,0.20
190401,3.45,0.56
190501,3.19,0.30
190601,1.87,-1.02
190701,3.02,0.13
190801,2.54,-0.35
190901,3.47,0.58
191001,4.1,1.21
191101,2.38,-0.51
191201,2.12,-0.77
191301,4.5,1.61
191401,2.55,-0.34
191501,4.35,1.46
191601,2.57,-0.32
191701,2.8,-0.09
191801,2.68,-0.21
191901,1.96,-0.93
192001,2.33,-0.56
192101,1.75,-1.14
192201,2.41,-0.48
192301,4.21,1.32
192401,3.84,0.95
192501,3.45,0.56
192601,2.28,-0.61
192701,2.15,-0.74
192801,2.51,-0.38
192901,3.44,0.55
193001,3.17,0.28
193101,2.48,-0.41
193201,4.35,1.46
193301,1.65,-1.24
193401,2.74,-0.15
193501,3.79,0.90
193601,3.49,0.60
193701,4.85,1.96
193801,2.91,0.02
193901,2.72,-0.17
194001,1.68,-1.21
194101,2.09,-0.80
194201,1.91,-0.98
194301,2.16,-0.73
194401,1.6,-1.29
194501,3.27,0.38
194601,1.84,-1.05
194701,4.12,1.23
194801,2.62,-0.27
194901,3.69,0.80
195001,4.12,1.23
195101,2.88,-0.01
195201,3.35,0.46
195301,3.52,0.63
195401,2.84,-0.05
195501,1.16,-1.73
195601,2,-0.89
195701,2.39,-0.50
195801,4.04,1.15
195901,3.89,1.00
196001,2.85,-0.04
196101,1.66,-1.23
196201,3.02,0.13
196301,2.19,-0.70
196401,3.25,0.36
196501,2.82,-0.07
196601,3,0.11
196701,1.6,-1.29
196801,1.99,-0.90
196901,2.38,-0.51
197001,1.24,-1.65
197101,2.05,-0.84
197201,2.13,-0.76
197301,2.76,-0.13
197401,2.78,-0.11
197501,3.23,0.34
197601,4.07,1.18
197701,2.02,-0.87
197801,6.08,3.19
197901,6.31,3.42
198001,1.27,-1.62
198101,.88,-2.01
198201,3.14,0.25
198301,2.47,-0.42
198401,1.61,-1.28
198501,1.86,-1.03
198601,3.06,0.17
198701,3.38,0.49
198801,1.63,-1.26
198901,1.63,-1.26
199001,3.7,0.81
199101,2.52,-0.37
199201,2.08,-0.81
199301,3.02,0.13
199401,3.88,0.99
199501,3.09,0.20
199601,4.55,1.66
199701,2.7,-0.19
199801,5.24,2.35
199901,5.58,2.69
200001,3.3,0.41
200101,1.61,-1.28
200201,2.19,-0.70
200301,2.51,-0.38
200401,2.24,-0.65
200501,3.9,1.01
200601,4.07,1.18
200701,3.97,1.08
200801,2.06,-0.83
200901,2.53,-0.36
201001,2.41,-0.48
201101,2.01,-0.88
201201,3.29,0.40
201301,2.12,-0.77
201401,2.6,-0.29
201501,2.33,-0.56
