South Carolina, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,5.5,2.16
189604,1.38,-1.96
189704,3.33,-0.01
189804,4.84,1.50
189904,2.82,-0.52
190004,5.7,2.36
190104,5.21,1.87
190204,2.23,-1.11
190304,2.7,-0.64
190404,1.24,-2.10
190504,3.95,0.61
190604,1.52,-1.82
190704,4.36,1.02
190804,4.49,1.15
190904,3.06,-0.28
191004,1.8,-1.54
191104,2.99,-0.35
191204,4.34,1.00
191304,1.83,-1.51
191404,2.96,-0.38
191504,1.43,-1.91
191604,1.81,-1.53
191704,3.28,-0.06
191804,5.68,2.34
191904,2.13,-1.21
192004,5.26,1.92
192104,2.57,-0.77
192204,4.53,1.19
192304,3.07,-0.27
192404,5.55,2.21
192504,2.18,-1.16
192604,2.5,-0.84
192704,1.27,-2.07
192804,6.27,2.93
192904,3.93,0.59
193004,2.32,-1.02
193104,3.12,-0.22
193204,1.78,-1.56
193304,2.16,-1.18
193404,2.98,-0.36
193504,3.15,-0.19
193604,7.49,4.15
193704,6.47,3.13
193804,6.35,3.01
193904,3.02,-0.32
194004,2.03,-1.31
194104,2.5,-0.84
194204,1.36,-1.98
194304,3.64,0.30
194404,4.85,1.51
194504,3.56,0.22
194604,3.66,0.32
194704,4.47,1.13
194804,3.35,0.01
194904,4.6,1.26
195004,1.39,-1.95
195104,3.08,-0.26
195204,3.15,-0.19
195304,1.95,-1.39
195404,2.84,-0.50
195504,4.57,1.23
195604,3.72,0.38
195704,2.45,-0.89
195804,6.75,3.41
195904,3.5,0.16
196004,2.83,-0.51
196104,6.75,3.41
196204,3.91,0.57
196304,3.22,-0.12
196404,4.91,1.57
196504,3.65,0.31
196604,2.73,-0.61
196704,2.33,-1.01
196804,2.97,-0.37
196904,4.64,1.30
197004,1.67,-1.67
197104,3.28,-0.06
197204,1.03,-2.31
197304,4.48,1.14
197404,2.94,-0.40
197504,3.46,0.12
197604,.78,-2.56
197704,1.69,-1.65
197804,3.57,0.23
197904,5.5,2.16
198004,2.66,-0.68
198104,1.66,-1.68
198204,5.42,2.08
198304,4.5,1.16
198404,4.73,1.39
198504,1.24,-2.10
198604,.78,-2.56
198704,1.72,-1.62
198804,3.73,0.39
198904,4.52,1.18
199004,1.67,-1.67
199104,4.5,1.16
199204,2.94,-0.40
199304,2.94,-0.40
199404,1.5,-1.84
199504,1.09,-2.25
199604,3.46,0.12
199704,4.79,1.45
199804,6.44,3.10
199904,3.95,0.61
200004,2.79,-0.55
200104,.96,-2.38
200204,1.84,-1.50
200304,6,2.66
200404,2.02,-1.32
200504,2.74,-0.60
200604,2.56,-0.78
200704,2.54,-0.80
200804,3.19,-0.15
200904,3.4,0.06
201004,1.34,-2.00
201104,2.87,-0.47
201204,2.55,-0.79
201304,4.7,1.36
201404,4.24,0.90
201504,4.47,1.13
