Kentucky, Precipitation, February
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189502,.86,-2.74
189602,3.29,-0.31
189702,6.42,2.82
189802,1.62,-1.98
189902,4.29,0.69
190002,4.62,1.02
190102,1.27,-2.33
190202,1.54,-2.06
190302,7.49,3.89
190402,2.37,-1.23
190502,2.53,-1.07
190602,1.76,-1.84
190702,3.16,-0.44
190802,5.58,1.98
190902,7.54,3.94
191002,4.36,0.76
191102,3.16,-0.44
191202,3.15,-0.45
191302,3.06,-0.54
191402,4.2,0.60
191502,1.88,-1.72
191602,2.81,-0.79
191702,3.35,-0.25
191802,1.98,-1.62
191902,1.84,-1.76
192002,2.45,-1.15
192102,3.37,-0.23
192202,3.93,0.33
192302,4.59,0.99
192402,2.75,-0.85
192502,3.95,0.35
192602,2.95,-0.65
192702,2.81,-0.79
192802,2.59,-1.01
192902,3.91,0.31
193002,3.54,-0.06
193102,3.32,-0.28
193202,3.59,-0.01
193302,4.46,0.86
193402,2.35,-1.25
193502,2.58,-1.02
193602,2.1,-1.50
193702,2.47,-1.13
193802,2.45,-1.15
193902,8.33,4.73
194002,4.69,1.09
194102,.69,-2.91
194202,2.7,-0.90
194302,1.91,-1.69
194402,5.19,1.59
194502,6.53,2.93
194602,5.22,1.62
194702,.65,-2.95
194802,5.16,1.56
194902,5.19,1.59
195002,5.14,1.54
195102,4.64,1.04
195202,2.68,-0.92
195302,2.19,-1.41
195402,2.23,-1.37
195502,7.19,3.59
195602,8.92,5.32
195702,4.33,0.73
195802,2.31,-1.29
195902,2.97,-0.63
196002,4.01,0.41
196102,4.57,0.97
196202,7.67,4.07
196302,1.81,-1.79
196402,2.91,-0.69
196502,3.67,0.07
196602,3.89,0.29
196702,2.4,-1.20
196802,.87,-2.73
196902,2.18,-1.42
197002,3.68,0.08
197102,4.78,1.18
197202,5.41,1.81
197302,2.27,-1.33
197402,2.14,-1.46
197502,4.84,1.24
197602,4.1,0.50
197702,1.48,-2.12
197802,1.11,-2.49
197902,4.59,0.99
198002,1.47,-2.13
198102,4.15,0.55
198202,3.24,-0.36
198302,2.1,-1.50
198402,3.55,-0.05
198502,2.62,-0.98
198602,4.57,0.97
198702,3.38,-0.22
198802,3.43,-0.17
198902,9.85,6.25
199002,6.36,2.76
199102,4.84,1.24
199202,2.44,-1.16
199302,3.74,0.14
199402,4.86,1.26
199502,3,-0.60
199602,2.4,-1.20
199702,3.28,-0.32
199802,3.22,-0.38
199902,2.87,-0.73
200002,4.68,1.08
200102,4.22,0.62
200202,1.6,-2.00
200302,6.81,3.21
200402,2.63,-0.97
200502,2.57,-1.03
200602,2.22,-1.38
200702,2.35,-1.25
200802,4.56,0.96
200902,2.47,-1.13
201002,2.25,-1.35
201102,4.88,1.28
201202,2.32,-1.28
201302,2.19,-1.41
201402,4.47,0.87
201502,3.28,-0.32
