Washington, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,7.53,1.47
189601,8.55,2.49
189701,5.53,-0.53
189801,3.2,-2.86
189901,8.34,2.28
190001,5.09,-0.97
190101,6.74,0.68
190201,4.24,-1.82
190301,7.14,1.08
190401,5.6,-0.46
190501,5.18,-0.88
190601,5.35,-0.71
190701,5.44,-0.62
190801,4.55,-1.51
190901,6.85,0.79
191001,6.28,0.22
191101,5.38,-0.68
191201,7.37,1.31
191301,7.16,1.10
191401,10.43,4.37
191501,4.04,-2.02
191601,4.41,-1.65
191701,4.49,-1.57
191801,6.29,0.23
191901,8.46,2.40
192001,5.74,-0.32
192101,8.61,2.55
192201,2.91,-3.15
192301,9.25,3.19
192401,4.97,-1.09
192501,7.91,1.85
192601,4.7,-1.36
192701,6,-0.06
192801,5.88,-0.18
192901,3.21,-2.85
193001,2.62,-3.44
193101,6.73,0.67
193201,5.64,-0.42
193301,7.43,1.37
193401,8.14,2.08
193501,8.73,2.67
193601,8.26,2.20
193701,3.16,-2.90
193801,4.09,-1.97
193901,6.29,0.23
194001,3.43,-2.63
194101,4.73,-1.33
194201,3.09,-2.97
194301,3.6,-2.46
194401,4,-2.06
194501,5.58,-0.48
194601,6.59,0.53
194701,5.93,-0.13
194801,5.33,-0.73
194901,1.35,-4.71
195001,7.37,1.31
195101,7.92,1.86
195201,5.16,-0.90
195301,14.09,8.03
195401,9.61,3.55
195501,3.12,-2.94
195601,8.23,2.17
195701,3.17,-2.89
195801,7.19,1.13
195901,8.61,2.55
196001,4.36,-1.70
196101,6.72,0.66
196201,3.39,-2.67
196301,1.94,-4.12
196401,9.57,3.51
196501,7.91,1.85
196601,6.77,0.71
196701,9.2,3.14
196801,7.08,1.02
196901,7.57,1.51
197001,9.19,3.13
197101,9.1,3.04
197201,7.72,1.66
197301,4.88,-1.18
197401,9.92,3.86
197501,7.98,1.92
197601,6.71,0.65
197701,1.96,-4.10
197801,4.89,-1.17
197901,2.23,-3.83
198001,5.34,-0.72
198101,2.17,-3.89
198201,7.57,1.51
198301,7.71,1.65
198401,5.7,-0.36
198501,.73,-5.33
198601,7.38,1.32
198701,5.57,-0.49
198801,4.32,-1.74
198901,5.32,-0.74
199001,9.18,3.12
199101,4.67,-1.39
199201,6.99,0.93
199301,4.09,-1.97
199401,4.15,-1.91
199501,6.4,0.34
199601,6.9,0.84
199701,7.47,1.41
199801,8.21,2.15
199901,7.53,1.47
200001,6.09,0.03
200101,2.98,-3.08
200201,7.33,1.27
200301,8.26,2.20
200401,6.2,0.14
200501,4.58,-1.48
200601,11.78,5.72
200701,5.11,-0.95
200801,5.79,-0.27
200901,6.23,0.17
201001,6.24,0.18
201101,6.53,0.47
201201,6.35,0.29
201301,3.97,-2.09
201401,4.42,-1.64
201501,4.96,-1.10
