Connecticut, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,4.43,0.30
189604,1.23,-2.90
189704,3.04,-1.09
189804,4.94,0.81
189904,2.17,-1.96
190004,2.18,-1.95
190104,10.05,5.92
190204,3.85,-0.28
190304,3.04,-1.09
190404,6.82,2.69
190504,3.27,-0.86
190604,4.33,0.20
190704,3.08,-1.05
190804,2.12,-2.01
190904,5.96,1.83
191004,3.9,-0.23
191104,3.28,-0.85
191204,4.69,0.56
191304,5.64,1.51
191404,4.65,0.52
191504,2.19,-1.94
191604,3.13,-1.00
191704,2.36,-1.77
191804,4.21,0.08
191904,3.74,-0.39
192004,5.66,1.53
192104,5.05,0.92
192204,2.58,-1.55
192304,4.83,0.70
192404,6.43,2.30
192504,2.55,-1.58
192604,3.12,-1.01
192704,2.43,-1.70
192804,4.74,0.61
192904,7.63,3.50
193004,2.08,-2.05
193104,3.18,-0.95
193204,2.47,-1.66
193304,5.5,1.37
193404,5.43,1.30
193504,2.6,-1.53
193604,3.99,-0.14
193704,4.62,0.49
193804,3.15,-0.98
193904,4.96,0.83
194004,5.91,1.78
194104,1.24,-2.89
194204,.89,-3.24
194304,3.58,-0.55
194404,4.43,0.30
194504,4.81,0.68
194604,2.26,-1.87
194704,4.74,0.61
194804,4.23,0.10
194904,3.86,-0.27
195004,3.02,-1.11
195104,3.45,-0.68
195204,5.99,1.86
195304,5.86,1.73
195404,4.51,0.38
195504,4.27,0.14
195604,3.84,-0.29
195704,4.51,0.38
195804,6.34,2.21
195904,4.15,0.02
196004,3.5,-0.63
196104,5.72,1.59
196204,3.67,-0.46
196304,1.38,-2.75
196404,4.93,0.80
196504,2.84,-1.29
196604,1.41,-2.72
196704,3.9,-0.23
196804,2.62,-1.51
196904,5.4,1.27
197004,4.09,-0.04
197104,2.37,-1.76
197204,3.78,-0.35
197304,6.57,2.44
197404,3.46,-0.67
197504,3.02,-1.11
197604,3.33,-0.80
197704,4.36,0.23
197804,2.07,-2.06
197904,5.63,1.50
198004,6.39,2.26
198104,3.75,-0.38
198204,5.1,0.97
198304,11.02,6.89
198404,5.39,1.26
198504,1.65,-2.48
198604,1.88,-2.25
198704,8.32,4.19
198804,2.33,-1.80
198904,4.17,0.04
199004,4.88,0.75
199104,3.05,-1.08
199204,2.76,-1.37
199304,4.88,0.75
199404,2.61,-1.52
199504,2.68,-1.45
199604,7.14,3.01
199704,4.44,0.31
199804,4.49,0.36
199904,1.35,-2.78
200004,5.02,0.89
200104,1.59,-2.54
200204,3.75,-0.38
200304,3.28,-0.85
200404,7.02,2.89
200504,5.5,1.37
200604,4.84,0.71
200704,8.57,4.44
200804,3.58,-0.55
200904,3.95,-0.18
201004,1.7,-2.43
201104,5.52,1.39
201204,3,-1.13
201304,1.49,-2.64
201404,4.38,0.25
201504,2.64,-1.49
