Texas, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,1.3,-0.19
189601,2.22,0.73
189701,1.71,0.22
189801,1.6,0.11
189901,1.3,-0.19
190001,2.23,0.74
190101,.46,-1.03
190201,.68,-0.81
190301,1.9,0.41
190401,.56,-0.93
190501,1.17,-0.32
190601,.86,-0.63
190701,.91,-0.58
190801,.88,-0.61
190901,.14,-1.35
191001,.65,-0.84
191101,.41,-1.08
191201,.41,-1.08
191301,1.25,-0.24
191401,.28,-1.21
191501,1.61,0.12
191601,2.08,0.59
191701,.83,-0.66
191801,.76,-0.73
191901,2.34,0.85
192001,3.11,1.62
192101,1.4,-0.09
192201,1.8,0.31
192301,1.48,-0.01
192401,1.24,-0.25
192501,1.14,-0.35
192601,2.46,0.97
192701,.98,-0.51
192801,.52,-0.97
192901,1.65,0.16
193001,1.52,0.03
193101,2.44,0.95
193201,3.74,2.25
193301,1.48,-0.01
193401,2.88,1.39
193501,1.23,-0.26
193601,.65,-0.84
193701,1.76,0.27
193801,2.48,0.99
193901,2.89,1.40
194001,.72,-0.77
194101,1.54,0.05
194201,.53,-0.96
194301,1.02,-0.47
194401,3.01,1.52
194501,1.72,0.23
194601,3.11,1.62
194701,2.25,0.76
194801,1.21,-0.28
194901,3.52,2.03
195001,1.48,-0.01
195101,.95,-0.54
195201,.74,-0.75
195301,.57,-0.92
195401,.96,-0.53
195501,1.48,-0.01
195601,1.16,-0.33
195701,.92,-0.57
195801,2.88,1.39
195901,.45,-1.04
196001,1.94,0.45
196101,2.4,0.91
196201,.97,-0.52
196301,.5,-0.99
196401,1.59,0.10
196501,1.49,0.00
196601,1.68,0.19
196701,.51,-0.98
196801,3.66,2.17
196901,.71,-0.78
197001,.84,-0.65
197101,.16,-1.33
197201,1.4,-0.09
197301,2.58,1.09
197401,1.99,0.50
197501,1.18,-0.31
197601,.48,-1.01
197701,1.59,0.10
197801,1.65,0.16
197901,2.46,0.97
198001,1.67,0.18
198101,1.18,-0.31
198201,.99,-0.50
198301,1.51,0.02
198401,1.49,0.00
198501,1.49,0.00
198601,.48,-1.01
198701,1.15,-0.34
198801,.59,-0.90
198901,2.34,0.85
199001,2.23,0.74
199101,3.53,2.04
199201,3.15,1.66
199301,2.16,0.67
199401,1.48,-0.01
199501,1.61,0.12
199601,.49,-1.00
199701,1.24,-0.25
199801,2.16,0.67
199901,1.72,0.23
200001,1.05,-0.44
200101,2.35,0.86
200201,.96,-0.53
200301,.58,-0.91
200401,2.17,0.68
200501,1.89,0.40
200601,1.06,-0.43
200701,3.55,2.06
200801,.94,-0.55
200901,.4,-1.09
201001,2.37,0.88
201101,1.55,0.06
201201,2.27,0.78
201301,2.46,0.97
201401,.37,-1.12
201501,2.67,1.18
