Alabama, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,3.58,-1.23
189604,3.54,-1.27
189704,4.1,-0.71
189804,4.49,-0.32
189904,2.45,-2.36
190004,8.69,3.88
190104,5.19,0.38
190204,2.36,-2.45
190304,2.73,-2.08
190404,2.32,-2.49
190504,3.84,-0.97
190604,1.08,-3.73
190704,6.66,1.85
190804,6.3,1.49
190904,6.18,1.37
191004,3.53,-1.28
191104,7.65,2.84
191204,10.08,5.27
191304,2.5,-2.31
191404,3.96,-0.85
191504,.47,-4.34
191604,2.86,-1.95
191704,3.64,-1.17
191804,7.47,2.66
191904,3.3,-1.51
192004,9.34,4.53
192104,6.85,2.04
192204,4.38,-0.43
192304,5.93,1.12
192404,5.7,0.89
192504,1.53,-3.28
192604,2.35,-2.46
192704,2.29,-2.52
192804,10.12,5.31
192904,4.5,-0.31
193004,1.47,-3.34
193104,3.21,-1.60
193204,3.27,-1.54
193304,6.24,1.43
193404,3.48,-1.33
193504,5.43,0.62
193604,6.41,1.60
193704,6.64,1.83
193804,9.6,4.79
193904,3.49,-1.32
194004,3.7,-1.11
194104,2.88,-1.93
194204,1.84,-2.97
194304,3.64,-1.17
194404,9.49,4.68
194504,7.61,2.80
194604,2.86,-1.95
194704,6.85,2.04
194804,3.9,-0.91
194904,5.19,0.38
195004,3.48,-1.33
195104,5.02,0.21
195204,2.95,-1.86
195304,7.72,2.91
195404,3.56,-1.25
195504,7.39,2.58
195604,4.62,-0.19
195704,7.15,2.34
195804,5.12,0.31
195904,4.1,-0.71
196004,3.86,-0.95
196104,4.95,0.14
196204,6.11,1.30
196304,4.1,-0.71
196404,11.5,6.69
196504,2.54,-2.27
196604,4.46,-0.35
196704,2.31,-2.50
196804,5.05,0.24
196904,5.43,0.62
197004,4.74,-0.07
197104,4.04,-0.77
197204,2.39,-2.42
197304,6.87,2.06
197404,5.9,1.09
197504,6.77,1.96
197604,1.68,-3.13
197704,4.32,-0.49
197804,3.83,-0.98
197904,10.89,6.08
198004,7.65,2.84
198104,2.95,-1.86
198204,7.57,2.76
198304,9.44,4.63
198404,5.42,0.61
198504,2.93,-1.88
198604,.72,-4.09
198704,.92,-3.89
198804,3.99,-0.82
198904,4.43,-0.38
199004,3.39,-1.42
199104,6.85,2.04
199204,2.91,-1.90
199304,3.26,-1.55
199404,4.4,-0.41
199504,5.07,0.26
199604,4.65,-0.16
199704,6.03,1.22
199804,5.39,0.58
199904,2.57,-2.24
200004,4.83,0.02
200104,3.88,-0.93
200204,2.19,-2.62
200304,6.41,1.60
200404,3.37,-1.44
200504,7.6,2.79
200604,3.07,-1.74
200704,3.91,-0.90
200804,4.53,-0.28
200904,4.45,-0.36
201004,2.82,-1.99
201104,5.08,0.27
201204,1.89,-2.92
201304,5.71,0.90
201404,9.67,4.86
201504,7.14,2.33
