Arkansas, Precipitation, February
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189502,.75,-2.97
189602,3.28,-0.44
189702,2.64,-1.08
189802,2.07,-1.65
189902,2.13,-1.59
190002,4.86,1.14
190102,2.66,-1.06
190202,2.6,-1.12
190302,7.78,4.06
190402,2.53,-1.19
190502,2.78,-0.94
190602,2.16,-1.56
190702,2.91,-0.81
190802,5.37,1.65
190902,5.55,1.83
191002,3.92,0.20
191102,4.37,0.65
191202,2.86,-0.86
191302,3.84,0.12
191402,4.09,0.37
191502,4.63,0.91
191602,1.82,-1.90
191702,1.92,-1.80
191802,1.12,-2.60
191902,3.23,-0.49
192002,1.49,-2.23
192102,3.74,0.02
192202,3.97,0.25
192302,4.68,0.96
192402,2.28,-1.44
192502,3.3,-0.42
192602,1.89,-1.83
192702,2.7,-1.02
192802,2.2,-1.52
192902,4.02,0.30
193002,3.93,0.21
193102,4.74,1.02
193202,4.87,1.15
193302,3.79,0.07
193402,2.22,-1.50
193502,2.37,-1.35
193602,1.75,-1.97
193702,2.19,-1.53
193802,5.97,2.25
193902,8.65,4.93
194002,3.32,-0.40
194102,2.89,-0.83
194202,2.9,-0.82
194302,1,-2.72
194402,7.68,3.96
194502,7.75,4.03
194602,5.13,1.41
194702,.91,-2.81
194802,6.39,2.67
194902,3.74,0.02
195002,6.46,2.74
195102,4.99,1.27
195202,3.89,0.17
195302,3.38,-0.34
195402,2.36,-1.36
195502,4.53,0.81
195602,8.52,4.80
195702,5.08,1.36
195802,1.99,-1.73
195902,4.51,0.79
196002,3.22,-0.50
196102,4.77,1.05
196202,5.28,1.56
196302,1.38,-2.34
196402,2.86,-0.86
196502,5.28,1.56
196602,5.69,1.97
196702,2.05,-1.67
196802,1.87,-1.85
196902,3.45,-0.27
197002,3.39,-0.33
197102,3.65,-0.07
197202,1.15,-2.57
197302,3.36,-0.36
197402,2.81,-0.91
197502,5.46,1.74
197602,3.11,-0.61
197702,2.33,-1.39
197802,2.02,-1.70
197902,4.94,1.22
198002,1.59,-2.13
198102,3.3,-0.42
198202,2.8,-0.92
198302,3.5,-0.22
198402,4.5,0.78
198502,3.96,0.24
198602,3.19,-0.53
198702,6.57,2.85
198802,2.87,-0.85
198902,8.57,4.85
199002,6.93,3.21
199102,3.74,0.02
199202,3.28,-0.44
199302,2.97,-0.75
199402,3.87,0.15
199502,2.05,-1.67
199602,1.63,-2.09
199702,6.02,2.30
199802,4.77,1.05
199902,1.33,-2.39
200002,2.66,-1.06
200102,8.07,4.35
200202,2.73,-0.99
200302,6.05,2.33
200402,4.1,0.38
200502,2.84,-0.88
200602,2.51,-1.21
200702,2.44,-1.28
200802,4.67,0.95
200902,2.71,-1.01
201002,3.32,-0.40
201102,4.12,0.40
201202,3.03,-0.69
201302,4.07,0.35
201402,2.67,-1.05
201502,3.18,-0.54
