Michigan, Precipitation, December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189512,3.68,1.67
189612,1,-1.01
189712,2.49,0.48
189812,1.76,-0.25
189912,2.6,0.59
190012,.74,-1.27
190112,2.22,0.21
190212,2.22,0.21
190312,1.93,-0.08
190412,2.04,0.03
190512,1.51,-0.50
190612,2.44,0.43
190712,2.48,0.47
190812,1.98,-0.03
190912,3.13,1.12
191012,1.49,-0.52
191112,1.96,-0.05
191212,1.69,-0.32
191312,.63,-1.38
191412,1.56,-0.45
191512,1.54,-0.47
191612,2.07,0.06
191712,1.15,-0.86
191812,2.67,0.66
191912,.88,-1.13
192012,3.12,1.11
192112,2.51,0.50
192212,1.29,-0.72
192312,2.06,0.05
192412,2.12,0.11
192512,1.56,-0.45
192612,1.53,-0.48
192712,2.74,0.73
192812,1.43,-0.58
192912,1.96,-0.05
193012,.82,-1.19
193112,1.82,-0.19
193212,2.39,0.38
193312,1.92,-0.09
193412,1.55,-0.46
193512,1.28,-0.73
193612,2.14,0.13
193712,1.46,-0.55
193812,2.16,0.15
193912,1.39,-0.62
194012,2.14,0.13
194112,1.82,-0.19
194212,2.85,0.84
194312,.67,-1.34
194412,1.45,-0.56
194512,1.63,-0.38
194612,2.51,0.50
194712,1.6,-0.41
194812,1.86,-0.15
194912,2.86,0.85
195012,2.26,0.25
195112,2.65,0.64
195212,1.88,-0.13
195312,1.9,-0.11
195412,1.63,-0.38
195512,1.52,-0.49
195612,1.54,-0.47
195712,2.05,0.04
195812,1.1,-0.91
195912,2.26,0.25
196012,.79,-1.22
196112,1.71,-0.30
196212,1.68,-0.33
196312,1.64,-0.37
196412,1.9,-0.11
196512,3.06,1.05
196612,2.75,0.74
196712,2.8,0.79
196812,3.32,1.31
196912,1.15,-0.86
197012,2.13,0.12
197112,4.07,2.06
197212,3.76,1.75
197312,2.65,0.64
197412,1.7,-0.31
197512,2.53,0.52
197612,1.24,-0.77
197712,2.88,0.87
197812,2.34,0.33
197912,1.92,-0.09
198012,2.42,0.41
198112,1.62,-0.39
198212,3.61,1.60
198312,2.59,0.58
198412,3.14,1.13
198512,2.18,0.17
198612,1.22,-0.79
198712,2.99,0.98
198812,1.89,-0.12
198912,1.33,-0.68
199012,2.33,0.32
199112,1.9,-0.11
199212,2.28,0.27
199312,1.06,-0.95
199412,.96,-1.05
199512,1.71,-0.30
199612,3,0.99
199712,1.13,-0.88
199812,1.71,-0.30
199912,2.19,0.18
200012,2.53,0.52
200112,1.97,-0.04
200212,1.14,-0.87
200312,1.93,-0.08
200412,2.92,0.91
200512,1.96,-0.05
200612,2.85,0.84
200712,2.62,0.61
200812,4.23,2.22
200912,2.34,0.33
201012,1.43,-0.58
201112,1.87,-0.14
201212,2.45,0.44
201312,2.19,0.18
201412,1.77,-0.24
201512,3.74,1.73
