New Hampshire, Precipitation, March
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189503,1.8,-1.72
189603,6.69,3.17
189703,3.91,0.39
189803,1.41,-2.11
189903,6.48,2.96
190003,5.59,2.07
190103,4.83,1.31
190203,5.95,2.43
190303,5.75,2.23
190403,2.51,-1.01
190503,2.86,-0.66
190603,3.67,0.15
190703,2.42,-1.10
190803,2.46,-1.06
190903,2.84,-0.68
191003,1.43,-2.09
191103,3.76,0.24
191203,4.82,1.30
191303,6.22,2.70
191403,4.53,1.01
191503,.19,-3.33
191603,2.85,-0.67
191703,3.2,-0.32
191803,2.31,-1.21
191903,4.6,1.08
192003,4.21,0.69
192103,3.34,-0.18
192203,4.94,1.42
192303,2.76,-0.76
192403,1.31,-2.21
192503,4.81,1.29
192603,2.44,-1.08
192703,1.56,-1.96
192803,2.36,-1.16
192903,3.88,0.36
193003,4.7,1.18
193103,3.38,-0.14
193203,3.54,0.02
193303,5.07,1.55
193403,3.24,-0.28
193503,1.79,-1.73
193603,9.16,5.64
193703,3.6,0.08
193803,2.5,-1.02
193903,3.73,0.21
194003,4.4,0.88
194103,2.19,-1.33
194203,5.73,2.21
194303,2.69,-0.83
194403,3.74,0.22
194503,1.98,-1.54
194603,1.52,-2.00
194703,3.43,-0.09
194803,2.91,-0.61
194903,2.07,-1.45
195003,3.73,0.21
195103,4.77,1.25
195203,3.12,-0.40
195303,8.04,4.52
195403,4.02,0.50
195503,4.1,0.58
195603,4.82,1.30
195703,1.56,-1.96
195803,2.58,-0.94
195903,3.67,0.15
196003,2.55,-0.97
196103,2.55,-0.97
196203,2.02,-1.50
196303,3.17,-0.35
196403,4.21,0.69
196503,1.06,-2.46
196603,2.96,-0.56
196703,1.98,-1.54
196803,4.4,0.88
196903,2.98,-0.54
197003,3.31,-0.21
197103,3.37,-0.15
197203,5.21,1.69
197303,2.93,-0.59
197403,4.46,0.94
197503,3.35,-0.17
197603,3.38,-0.14
197703,5.34,1.82
197803,2.61,-0.91
197903,3.35,-0.17
198003,4.78,1.26
198103,1.17,-2.35
198203,2.97,-0.55
198303,6.72,3.20
198403,4.06,0.54
198503,3.2,-0.32
198603,4.17,0.65
198703,2.88,-0.64
198803,1.69,-1.83
198903,2.76,-0.76
199003,2.23,-1.29
199103,3.9,0.38
199203,4.04,0.52
199303,4.36,0.84
199403,4.95,1.43
199503,2.73,-0.79
199603,2.29,-1.23
199703,4.2,0.68
199803,4,0.48
199903,5.08,1.56
200003,3.76,0.24
200103,6.06,2.54
200203,3.93,0.41
200303,3.2,-0.32
200403,1.8,-1.72
200503,3.98,0.46
200603,1.42,-2.10
200703,3.54,0.02
200803,5.17,1.65
200903,2.84,-0.68
201003,7.42,3.90
201103,4.87,1.35
201203,1.95,-1.57
201303,2.29,-1.23
201403,4.11,0.59
201503,1.65,-1.87
