New Mexico, Precipitation, February
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189502,.87,0.23
189602,.32,-0.32
189702,.47,-0.17
189802,.32,-0.32
189902,.4,-0.24
190002,.42,-0.22
190102,1.02,0.38
190202,.23,-0.41
190302,1.23,0.59
190402,.23,-0.41
190502,2.12,1.48
190602,.82,0.18
190702,.32,-0.32
190802,1.01,0.37
190902,.48,-0.16
191002,.33,-0.31
191102,1.9,1.26
191202,.87,0.23
191302,1.07,0.43
191402,.32,-0.32
191502,1.04,0.40
191602,.21,-0.43
191702,.41,-0.23
191802,.59,-0.05
191902,.64,0.00
192002,.9,0.26
192102,.45,-0.19
192202,.41,-0.23
192302,1.16,0.52
192402,.39,-0.25
192502,.18,-0.46
192602,.13,-0.51
192702,.79,0.15
192802,1.16,0.52
192902,.67,0.03
193002,.23,-0.41
193102,1.63,0.99
193202,.93,0.29
193302,.7,0.06
193402,.5,-0.14
193502,.81,0.17
193602,.67,0.03
193702,.93,0.29
193802,.98,0.34
193902,.55,-0.09
194002,1.16,0.52
194102,.97,0.33
194202,.54,-0.10
194302,.2,-0.44
194402,.57,-0.07
194502,.22,-0.42
194602,.14,-0.50
194702,.21,-0.43
194802,1.66,1.02
194902,.67,0.03
195002,.3,-0.34
195102,.39,-0.25
195202,.41,-0.23
195302,.64,0.00
195402,.1,-0.54
195502,.31,-0.33
195602,.66,0.02
195702,.6,-0.04
195802,.75,0.11
195902,.33,-0.31
196002,.53,-0.11
196102,.29,-0.35
196202,.41,-0.23
196302,.89,0.25
196402,.71,0.07
196502,.59,-0.05
196602,.41,-0.23
196702,.31,-0.33
196802,.84,0.20
196902,.58,-0.06
197002,.4,-0.24
197102,.35,-0.29
197202,.08,-0.56
197302,1.11,0.47
197402,.2,-0.44
197502,.9,0.26
197602,.65,0.01
197702,.44,-0.20
197802,.88,0.24
197902,.56,-0.08
198002,1.05,0.41
198102,.29,-0.35
198202,.84,0.20
198302,.84,0.20
198402,.11,-0.53
198502,.48,-0.16
198602,1.02,0.38
198702,1.33,0.69
198802,.7,0.06
198902,.69,0.05
199002,.77,0.13
199102,.45,-0.19
199202,.53,-0.11
199302,.95,0.31
199402,.42,-0.22
199502,.49,-0.15
199602,.45,-0.19
199702,.94,0.30
199802,.78,0.14
199902,.05,-0.59
200002,.16,-0.48
200102,.7,0.06
200202,.33,-0.31
200302,1.07,0.43
200402,1.07,0.43
200502,1.85,1.21
200602,.11,-0.53
200702,.53,-0.11
200802,.56,-0.08
200902,.19,-0.45
201002,1.18,0.54
201102,.34,-0.30
201202,.36,-0.28
201302,.39,-0.25
201402,.17,-0.47
201502,.72,0.08
