Minnesota, Precipitation, February
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189502,.42,-0.27
189602,.47,-0.22
189702,1.48,0.79
189802,.96,0.27
189902,.74,0.05
190002,.54,-0.15
190102,.41,-0.28
190202,.68,-0.01
190302,.64,-0.05
190402,.89,0.20
190502,.49,-0.20
190602,.26,-0.43
190702,.51,-0.18
190802,1.27,0.58
190902,1.12,0.43
191002,.51,-0.18
191102,1.02,0.33
191202,.26,-0.43
191302,.44,-0.25
191402,.47,-0.22
191502,1.46,0.77
191602,.48,-0.21
191702,.81,0.12
191802,.41,-0.28
191902,1.29,0.60
192002,.44,-0.25
192102,.59,-0.10
192202,1.98,1.29
192302,.62,-0.07
192402,.52,-0.17
192502,.65,-0.04
192602,.62,-0.07
192702,.71,0.02
192802,.64,-0.05
192902,.55,-0.14
193002,1.22,0.53
193102,.4,-0.29
193202,.61,-0.08
193302,.67,-0.02
193402,.29,-0.40
193502,.32,-0.37
193602,1.34,0.65
193702,.95,0.26
193802,.8,0.11
193902,1.44,0.75
194002,.81,0.12
194102,.57,-0.12
194202,.31,-0.38
194302,.84,0.15
194402,.69,0.00
194502,1.12,0.43
194602,1.03,0.34
194702,.4,-0.29
194802,1.29,0.60
194902,.42,-0.27
195002,.38,-0.31
195102,1.28,0.59
195202,.59,-0.10
195302,.91,0.22
195402,.87,0.18
195502,1.26,0.57
195602,.32,-0.37
195702,.68,-0.01
195802,.23,-0.46
195902,.52,-0.17
196002,.21,-0.48
196102,.55,-0.14
196202,1.44,0.75
196302,.55,-0.14
196402,.2,-0.49
196502,.87,0.18
196602,.93,0.24
196702,.73,0.04
196802,.13,-0.56
196902,.64,-0.05
197002,.28,-0.41
197102,1.5,0.81
197202,.61,-0.08
197302,.36,-0.33
197402,.7,0.01
197502,.52,-0.17
197602,.58,-0.11
197702,1.02,0.33
197802,.34,-0.35
197902,1.29,0.60
198002,.64,-0.05
198102,1.25,0.56
198202,.32,-0.37
198302,.48,-0.21
198402,.93,0.24
198502,.41,-0.28
198602,.71,0.02
198702,.39,-0.30
198802,.18,-0.51
198902,.42,-0.27
199002,.55,-0.14
199102,.78,0.09
199202,.65,-0.04
199302,.3,-0.39
199402,.57,-0.12
199502,.51,-0.18
199602,.72,0.03
199702,.3,-0.39
199802,1.08,0.39
199902,.44,-0.25
200002,1.03,0.34
200102,1.3,0.61
200202,.58,-0.11
200302,.44,-0.25
200402,.82,0.13
200502,.75,0.06
200602,.54,-0.15
200702,1.08,0.39
200802,.4,-0.29
200902,1.04,0.35
201002,.58,-0.11
201102,.68,-0.01
201202,1.18,0.49
201302,1.16,0.47
201402,.86,0.17
201502,.47,-0.22
