Pennsylvania, Precipitation, March
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189503,2.29,-1.20
189603,4.18,0.69
189703,3.54,0.05
189803,4.58,1.09
189903,4.65,1.16
190003,3.59,0.10
190103,4.1,0.61
190203,4.07,0.58
190303,4.46,0.97
190403,4.27,0.78
190503,4.01,0.52
190603,4.48,0.99
190703,4.17,0.68
190803,5.09,1.60
190903,3.01,-0.48
191003,.62,-2.87
191103,2.73,-0.76
191203,4.96,1.47
191303,5.41,1.92
191403,2.71,-0.78
191503,1.27,-2.22
191603,4.35,0.86
191703,3.65,0.16
191803,2.71,-0.78
191903,3.44,-0.05
192003,2.85,-0.64
192103,3.33,-0.16
192203,4.29,0.80
192303,2.46,-1.03
192403,2.78,-0.71
192503,2.64,-0.85
192603,1.93,-1.56
192703,2.9,-0.59
192803,3.23,-0.26
192903,2.84,-0.65
193003,3.07,-0.42
193103,2.86,-0.63
193203,4.23,0.74
193303,5.28,1.79
193403,3.04,-0.45
193503,2.69,-0.80
193603,7.15,3.66
193703,1.94,-1.55
193803,3.23,-0.26
193903,3.71,0.22
194003,4.88,1.39
194103,2.09,-1.40
194203,4.6,1.11
194303,2.78,-0.71
194403,4.54,1.05
194503,4.05,0.56
194603,3.18,-0.31
194703,2.28,-1.21
194803,3.73,0.24
194903,1.93,-1.56
195003,4.49,1.00
195103,4.61,1.12
195203,4.3,0.81
195303,4.5,1.01
195403,4.3,0.81
195503,4.78,1.29
195603,4.51,1.02
195703,2.43,-1.06
195803,3.03,-0.46
195903,2.84,-0.65
196003,2.06,-1.43
196103,3.83,0.34
196203,2.9,-0.59
196303,4.07,0.58
196403,3.95,0.46
196503,3.46,-0.03
196603,2.42,-1.07
196703,5.14,1.65
196803,3.31,-0.18
196903,1.61,-1.88
197003,3.11,-0.38
197103,2.61,-0.88
197203,3.28,-0.21
197303,3.03,-0.46
197403,4.81,1.32
197503,3.84,0.35
197603,2.88,-0.61
197703,5.29,1.80
197803,2.63,-0.86
197903,2.65,-0.84
198003,5.02,1.53
198103,1.42,-2.07
198203,2.7,-0.79
198303,3.99,0.50
198403,3.7,0.21
198503,3.77,0.28
198603,2.55,-0.94
198703,2.31,-1.18
198803,2.2,-1.29
198903,4.05,0.56
199003,1.69,-1.80
199103,3.88,0.39
199203,4.08,0.59
199303,5.38,1.89
199403,5.77,2.28
199503,1.66,-1.83
199603,3.55,0.06
199703,4.19,0.70
199803,3.65,0.16
199903,3.46,-0.03
200003,3.52,0.03
200103,4.04,0.55
200203,3.98,0.49
200303,2.84,-0.65
200403,2.84,-0.65
200503,3.6,0.11
200603,1.48,-2.01
200703,4.01,0.52
200803,5.38,1.89
200903,2.11,-1.38
201003,3.57,0.08
201103,5.79,2.30
201203,2.89,-0.60
201303,2.14,-1.35
201403,2.6,-0.89
201503,3.18,-0.31
