Maine, Precipitation, February
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189502,1.42,-1.36
189602,4.34,1.56
189702,2.15,-0.63
189802,6.46,3.68
189902,2.48,-0.30
190002,6.89,4.11
190102,1.74,-1.04
190202,2.23,-0.55
190302,4.16,1.38
190402,2.07,-0.71
190502,1.66,-1.12
190602,2.21,-0.57
190702,2.37,-0.41
190802,4.37,1.59
190902,4.91,2.13
191002,3.41,0.63
191102,2.21,-0.57
191202,3.06,0.28
191302,2.21,-0.57
191402,2.05,-0.73
191502,3.88,1.10
191602,3.43,0.65
191702,2.29,-0.49
191802,3.02,0.24
191902,2.14,-0.64
192002,5.52,2.74
192102,2.45,-0.33
192202,2.66,-0.12
192302,1.68,-1.10
192402,2.14,-0.64
192502,2.99,0.21
192602,3.07,0.29
192702,2.98,0.20
192802,2.08,-0.70
192902,2.09,-0.69
193002,1.86,-0.92
193102,1.93,-0.85
193202,1.91,-0.87
193302,2.74,-0.04
193402,2.91,0.13
193502,2.25,-0.53
193602,2.77,-0.01
193702,2.87,0.09
193802,2.73,-0.05
193902,3.13,0.35
194002,1.94,-0.84
194102,1.68,-1.10
194202,3.09,0.31
194302,2.61,-0.17
194402,2.85,0.07
194502,2.78,0.00
194602,2.91,0.13
194702,3.73,0.95
194802,1.35,-1.43
194902,2.39,-0.39
195002,2.55,-0.23
195102,4.45,1.67
195202,4.33,1.55
195302,3.16,0.38
195402,4.12,1.34
195502,5.29,2.51
195602,2.57,-0.21
195702,1.66,-1.12
195802,3.08,0.30
195902,2.18,-0.60
196002,5.56,2.78
196102,3.17,0.39
196202,1.88,-0.90
196302,2.97,0.19
196402,1.34,-1.44
196502,3.56,0.78
196602,2.34,-0.44
196702,2.78,0.00
196802,1.61,-1.17
196902,4.49,1.71
197002,4.87,2.09
197102,4.39,1.61
197202,3.73,0.95
197302,3.21,0.43
197402,2.33,-0.45
197502,1.8,-0.98
197602,3.87,1.09
197702,2.88,0.10
197802,1.06,-1.72
197902,2.3,-0.48
198002,.96,-1.82
198102,3.64,0.86
198202,2.68,-0.10
198302,2.76,-0.02
198402,4.11,1.33
198502,2.88,0.10
198602,1.46,-1.32
198702,.53,-2.25
198802,2.93,0.15
198902,2.15,-0.63
199002,2.24,-0.54
199102,1.27,-1.51
199202,2.97,0.19
199302,3.21,0.43
199402,1.41,-1.37
199502,2.6,-0.18
199602,3.73,0.95
199702,2.61,-0.17
199802,3.57,0.79
199902,2.22,-0.56
200002,3.11,0.33
200102,2.69,-0.09
200202,3.25,0.47
200302,2.66,-0.12
200402,1.44,-1.34
200502,2.53,-0.25
200602,2.51,-0.27
200702,2.06,-0.72
200802,5.36,2.58
200902,2.65,-0.13
201002,2.67,-0.11
201102,2.95,0.17
201202,1.76,-1.02
201302,3.06,0.28
201402,2.85,0.07
201502,1.74,-1.04
