New York, Precipitation, September
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189509,2.53,-1.18
189609,4.94,1.23
189709,2.22,-1.49
189809,3.22,-0.49
189909,4.05,0.34
190009,2.47,-1.24
190109,3.64,-0.07
190209,3.88,0.17
190309,1.57,-2.14
190409,4.62,0.91
190509,4.2,0.49
190609,3.01,-0.70
190709,6.21,2.50
190809,1.48,-2.23
190909,2.91,-0.80
191009,3.83,0.12
191109,3.62,-0.09
191209,5.23,1.52
191309,2.6,-1.11
191409,1.69,-2.02
191509,3.23,-0.48
191609,4.03,0.32
191709,2.14,-1.57
191809,5.71,2.00
191909,3.16,-0.55
192009,4.31,0.60
192109,2.74,-0.97
192209,1.92,-1.79
192309,3.45,-0.26
192409,6.67,2.96
192509,5.04,1.33
192609,4.12,0.41
192709,2,-1.71
192809,2.38,-1.33
192909,3.26,-0.45
193009,2.84,-0.87
193109,3.91,0.20
193209,1.74,-1.97
193309,3.84,0.13
193409,5.07,1.36
193509,3.56,-0.15
193609,3.09,-0.62
193709,2.58,-1.13
193809,7.39,3.68
193909,3.16,-0.55
194009,3.43,-0.28
194109,2.28,-1.43
194209,5.06,1.35
194309,1.61,-2.10
194409,4.62,0.91
194509,6.61,2.90
194609,3.93,0.22
194709,2.83,-0.88
194809,1.19,-2.52
194909,3.93,0.22
195009,3.25,-0.46
195109,3.52,-0.19
195209,3.47,-0.24
195309,3.33,-0.38
195409,4.12,0.41
195509,2.65,-1.06
195609,4.29,0.58
195709,3.23,-0.48
195809,5.02,1.31
195909,2.08,-1.63
196009,4.21,0.50
196109,1.77,-1.94
196209,3.69,-0.02
196309,2.18,-1.53
196409,1.17,-2.54
196509,3.7,-0.01
196609,4.4,0.69
196709,3.34,-0.37
196809,3.42,-0.29
196909,2.35,-1.36
197009,4.21,0.50
197109,3.4,-0.31
197209,2.61,-1.10
197309,3.59,-0.12
197409,4.71,1.00
197509,6.42,2.71
197609,3.75,0.04
197709,7.68,3.97
197809,3.55,-0.16
197909,5.59,1.88
198009,3.61,-0.10
198109,5.56,1.85
198209,3.17,-0.54
198309,2.58,-1.13
198409,2.84,-0.87
198509,4.9,1.19
198609,3.73,0.02
198709,5.75,2.04
198809,2.44,-1.27
198909,5.1,1.39
199009,2.96,-0.75
199109,3.91,0.20
199209,4.03,0.32
199309,4.91,1.20
199409,3.32,-0.39
199509,3.21,-0.50
199609,5.25,1.54
199709,3.86,0.15
199809,2.78,-0.93
199909,7.09,3.38
200009,3.69,-0.02
200109,4.13,0.42
200209,4.6,0.89
200309,5.43,1.72
200409,5.32,1.61
200509,3.88,0.17
200609,4.44,0.73
200709,3.31,-0.40
200809,3.39,-0.32
200909,2.49,-1.22
201009,3.3,-0.41
201109,7.12,3.41
201209,4.91,1.20
201309,3.5,-0.21
201409,2.12,-1.59
201509,4.75,1.04
