New Mexico, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,.15,-0.60
189604,.34,-0.41
189704,.79,0.04
189804,1.06,0.31
189904,.32,-0.43
190004,1.5,0.75
190104,.9,0.15
190204,.1,-0.65
190304,.58,-0.17
190404,.18,-0.57
190504,2.78,2.03
190604,1.71,0.96
190704,1.41,0.66
190804,1.48,0.73
190904,.27,-0.48
191004,.69,-0.06
191104,1.1,0.35
191204,.76,0.01
191304,1.18,0.43
191404,1.21,0.46
191504,2.82,2.07
191604,1.39,0.64
191704,.38,-0.37
191804,.37,-0.38
191904,2.03,1.28
192004,.6,-0.15
192104,.24,-0.51
192204,1.16,0.41
192304,1.1,0.35
192404,.73,-0.02
192504,.19,-0.56
192604,1.59,0.84
192704,.39,-0.36
192804,.73,-0.02
192904,.19,-0.56
193004,.63,-0.12
193104,2.22,1.47
193204,.63,-0.12
193304,.44,-0.31
193404,.49,-0.26
193504,.65,-0.10
193604,.34,-0.41
193704,.36,-0.39
193804,.43,-0.32
193904,.88,0.13
194004,.66,-0.09
194104,1.87,1.12
194204,2.43,1.68
194304,.23,-0.52
194404,.81,0.06
194504,.6,-0.15
194604,.39,-0.36
194704,.38,-0.37
194804,.29,-0.46
194904,1.03,0.28
195004,.27,-0.48
195104,.73,-0.02
195204,1.28,0.53
195304,.62,-0.13
195404,.28,-0.47
195504,.46,-0.29
195604,.15,-0.60
195704,.91,0.16
195804,1.25,0.50
195904,.69,-0.06
196004,.17,-0.58
196104,.54,-0.21
196204,.38,-0.37
196304,.29,-0.46
196404,.59,-0.16
196504,.74,-0.01
196604,.56,-0.19
196704,.13,-0.62
196804,.44,-0.31
196904,.73,-0.02
197004,.45,-0.30
197104,.49,-0.26
197204,.04,-0.71
197304,.58,-0.17
197404,.26,-0.49
197504,.54,-0.21
197604,.62,-0.13
197704,1.3,0.55
197804,.2,-0.55
197904,.57,-0.18
198004,.85,0.10
198104,.72,-0.03
198204,.24,-0.51
198304,.69,-0.06
198404,.55,-0.20
198504,1.61,0.86
198604,.54,-0.21
198704,.45,-0.30
198804,1.24,0.49
198904,.11,-0.64
199004,1.07,0.32
199104,.06,-0.69
199204,.62,-0.13
199304,.32,-0.43
199404,.72,-0.03
199504,.64,-0.11
199604,.2,-0.55
199704,1.87,1.12
199804,.56,-0.19
199904,1.45,0.70
200004,.34,-0.41
200104,.41,-0.34
200204,.26,-0.49
200304,.16,-0.59
200404,2.61,1.86
200504,.84,0.09
200604,.29,-0.46
200704,.77,0.02
200804,.16,-0.59
200904,.46,-0.29
201004,.87,0.12
201104,.25,-0.50
201204,.39,-0.36
201304,.18,-0.57
201404,.37,-0.38
201504,.74,-0.01
