California, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,1.25,-0.38
189604,4.28,2.65
189704,.62,-1.01
189804,.52,-1.11
189904,.71,-0.92
190004,2.11,0.48
190104,2.29,0.66
190204,2.11,0.48
190304,1.06,-0.57
190404,2.23,0.60
190504,.95,-0.68
190604,1.74,0.11
190704,1.11,-0.52
190804,.61,-1.02
190904,.12,-1.51
191004,.54,-1.09
191104,1.64,0.01
191204,2.83,1.20
191304,1.3,-0.33
191404,1.98,0.35
191504,1.73,0.10
191604,.55,-1.08
191704,1.52,-0.11
191804,.61,-1.02
191904,.88,-0.75
192004,2.04,0.41
192104,.49,-1.14
192204,.63,-1.00
192304,3.41,1.78
192404,.75,-0.88
192504,2.82,1.19
192604,3.88,2.25
192704,1.98,0.35
192804,1.5,-0.13
192904,1.82,0.19
193004,1.51,-0.12
193104,1.25,-0.38
193204,1.49,-0.14
193304,.58,-1.05
193404,.6,-1.03
193504,4.31,2.68
193604,1.38,-0.25
193704,1.49,-0.14
193804,1.85,0.22
193904,.55,-1.08
194004,1.24,-0.39
194104,3.82,2.19
194204,3.57,1.94
194304,2.08,0.45
194404,1.9,0.27
194504,.59,-1.04
194604,.33,-1.30
194704,.76,-0.87
194804,4.38,2.75
194904,.21,-1.42
195004,1.34,-0.29
195104,1.6,-0.03
195204,1.5,-0.13
195304,2.23,0.60
195404,1.67,0.04
195504,2.42,0.79
195604,1.83,0.20
195704,1.71,0.08
195804,3.96,2.33
195904,.55,-1.08
196004,1.42,-0.21
196104,.97,-0.66
196204,.47,-1.16
196304,4.39,2.76
196404,.74,-0.89
196504,3.94,2.31
196604,.71,-0.92
196704,4.44,2.81
196804,.52,-1.11
196904,1.74,0.11
197004,.68,-0.95
197104,1.18,-0.45
197204,1.41,-0.22
197304,.41,-1.22
197404,1.77,0.14
197504,2.08,0.45
197604,1.49,-0.14
197704,.23,-1.40
197804,3.48,1.85
197904,1.12,-0.51
198004,1.68,0.05
198104,.97,-0.66
198204,3.64,2.01
198304,3.12,1.49
198404,1.21,-0.42
198504,.24,-1.39
198604,1,-0.63
198704,.4,-1.23
198804,2.42,0.79
198904,.83,-0.80
199004,.83,-0.80
199104,.75,-0.88
199204,1.03,-0.60
199304,1.45,-0.18
199404,1.36,-0.27
199504,2.69,1.06
199604,2.1,0.47
199704,.89,-0.74
199804,2.17,0.54
199904,1.87,0.24
200004,1.8,0.17
200104,1.75,0.12
200204,.88,-0.75
200304,3.98,2.35
200404,.7,-0.93
200504,1.79,0.16
200604,4.16,2.53
200704,1.27,-0.36
200804,.34,-1.29
200904,.57,-1.06
201004,3.47,1.84
201104,1.1,-0.53
201204,2.48,0.85
201304,.71,-0.92
201404,1.06,-0.57
201504,1.06,-0.57
