Tennessee, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,2.88,-1.35
189606,5.1,0.87
189706,3.09,-1.14
189806,3.65,-0.58
189906,2.7,-1.53
190006,10.59,6.36
190106,3.24,-0.99
190206,4.29,0.06
190306,4.49,0.26
190406,3.7,-0.53
190506,6.42,2.19
190606,3.54,-0.69
190706,4.25,0.02
190806,4.44,0.21
190906,5.94,1.71
191006,5.32,1.09
191106,3.6,-0.63
191206,4.36,0.13
191306,2.54,-1.69
191406,2.64,-1.59
191506,3.78,-0.45
191606,6,1.77
191706,4.94,0.71
191806,4.42,0.19
191906,4.07,-0.16
192006,4.94,0.71
192106,3.11,-1.12
192206,4.33,0.10
192306,4.24,0.01
192406,3.58,-0.65
192506,2.82,-1.41
192606,4.7,0.47
192706,4.96,0.73
192806,10.57,6.34
192906,4.94,0.71
193006,1.42,-2.81
193106,1.93,-2.30
193206,4.23,0.00
193306,1.82,-2.41
193406,5.55,1.32
193506,4.88,0.65
193606,1.18,-3.05
193706,3.67,-0.56
193806,5.21,0.98
193906,6.38,2.15
194006,4.11,-0.12
194106,3.32,-0.91
194206,3.68,-0.55
194306,3.18,-1.05
194406,2.01,-2.22
194506,5.29,1.06
194606,3.14,-1.09
194706,3.77,-0.46
194806,3.26,-0.97
194906,6.78,2.55
195006,4.63,0.40
195106,6.16,1.93
195206,2.06,-2.17
195306,2.78,-1.45
195406,2.64,-1.59
195506,3.58,-0.65
195606,3.23,-1.00
195706,6.15,1.92
195806,3.13,-1.10
195906,3.75,-0.48
196006,5.29,1.06
196106,5.29,1.06
196206,5.19,0.96
196306,3.87,-0.36
196406,2.22,-2.01
196506,4.25,0.02
196606,1.89,-2.34
196706,3.74,-0.49
196806,2.65,-1.58
196906,4.41,0.18
197006,6.08,1.85
197106,3.83,-0.40
197206,3.45,-0.78
197306,4.65,0.42
197406,5.35,1.12
197506,3.23,-1.00
197606,5.53,1.30
197706,5.01,0.78
197806,3.8,-0.43
197906,3.61,-0.62
198006,2.97,-1.26
198106,5.51,1.28
198206,3.11,-1.12
198306,3.69,-0.54
198406,2.59,-1.64
198506,4.52,0.29
198606,3.6,-0.63
198706,3.88,-0.35
198806,.61,-3.62
198906,8.78,4.55
199006,2.91,-1.32
199106,4.48,0.25
199206,6.09,1.86
199306,3.37,-0.86
199406,5.94,1.71
199506,4.49,0.26
199606,4.63,0.40
199706,7.56,3.33
199806,8.09,3.86
199906,5.64,1.41
200006,4.19,-0.04
200106,4.36,0.13
200206,2.45,-1.78
200306,5.15,0.92
200406,5.83,1.60
200506,4.22,-0.01
200606,3.38,-0.85
200706,2.86,-1.37
200806,2.48,-1.75
200906,3.66,-0.57
201006,3.33,-0.90
201106,5.68,1.45
201206,2.15,-2.08
201306,5.83,1.60
201406,6.81,2.58
201506,4.76,0.53
