South Carolina, Precipitation, March
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189503,5.4,1.12
189603,2.28,-2.00
189703,4.59,0.31
189803,3.28,-1.00
189903,4.02,-0.26
190003,4.42,0.14
190103,4.39,0.11
190203,4.23,-0.05
190303,6.22,1.94
190403,3.39,-0.89
190503,2.26,-2.02
190603,5.3,1.02
190703,1.57,-2.71
190803,4.53,0.25
190903,4.8,0.52
191003,1.38,-2.90
191103,2.29,-1.99
191203,6.8,2.52
191303,6.92,2.64
191403,2.72,-1.56
191503,2.69,-1.59
191603,1.98,-2.30
191703,5.14,0.86
191803,1.8,-2.48
191903,2.99,-1.29
192003,6.37,2.09
192103,2.32,-1.96
192203,6.74,2.46
192303,5.03,0.75
192403,2.76,-1.52
192503,1.55,-2.73
192603,4.35,0.07
192703,3.33,-0.95
192803,3.99,-0.29
192903,6.71,2.43
193003,3.59,-0.69
193103,2.78,-1.50
193203,3.42,-0.86
193303,1.8,-2.48
193403,3.72,-0.56
193503,2.43,-1.85
193603,4.99,0.71
193703,2.52,-1.76
193803,1.91,-2.37
193903,3.24,-1.04
194003,3.14,-1.14
194103,4.35,0.07
194203,7.18,2.90
194303,5.9,1.62
194403,8.78,4.50
194503,2.08,-2.20
194603,3.6,-0.68
194703,5.41,1.13
194803,7.43,3.15
194903,1.9,-2.38
195003,4.18,-0.10
195103,4.67,0.39
195203,6.95,2.67
195303,4.46,0.18
195403,3.48,-0.80
195503,1.97,-2.31
195603,3.68,-0.60
195703,4.59,0.31
195803,4.73,0.45
195903,6.34,2.06
196003,4.71,0.43
196103,4.25,-0.03
196203,5.56,1.28
196303,3.74,-0.54
196403,5.93,1.65
196503,7.54,3.26
196603,3.81,-0.47
196703,2.4,-1.88
196803,2.39,-1.89
196903,4.54,0.26
197003,6.6,2.32
197103,6.79,2.51
197203,3.39,-0.89
197303,6.11,1.83
197403,2.84,-1.44
197503,6.06,1.78
197603,4.32,0.04
197703,6.89,2.61
197803,3.63,-0.65
197903,3.67,-0.61
198003,10.01,5.73
198103,2.84,-1.44
198203,1.71,-2.57
198303,8.43,4.15
198403,5.52,1.24
198503,1.02,-3.26
198603,3.19,-1.09
198703,5.25,0.97
198803,2.48,-1.80
198903,4.72,0.44
199003,3.71,-0.57
199103,6.36,2.08
199203,3.83,-0.45
199303,6.14,1.86
199403,5.15,0.87
199503,2.07,-2.21
199603,5.52,1.24
199703,3.26,-1.02
199803,5.1,0.82
199903,2.65,-1.63
200003,4.08,-0.20
200103,6.38,2.10
200203,4.28,0.00
200303,7.52,3.24
200403,.92,-3.36
200503,4.87,0.59
200603,1.24,-3.04
200703,2.57,-1.71
200803,3.44,-0.84
200903,5.11,0.83
201003,3.06,-1.22
201103,5.02,0.74
201203,3.64,-0.64
201303,3.35,-0.93
201403,4.34,0.06
201503,3.18,-1.10
