Massachusetts, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,4.51,0.61
189604,1.26,-2.64
189704,3.03,-0.87
189804,4.81,0.91
189904,1.84,-2.06
190004,2.04,-1.86
190104,7.57,3.67
190204,3.92,0.02
190304,3.2,-0.70
190404,7.04,3.14
190504,2.55,-1.35
190604,2.87,-1.03
190704,2.99,-0.91
190804,2.1,-1.80
190904,5.03,1.13
191004,3.01,-0.89
191104,2.62,-1.28
191204,4.09,0.19
191304,4.11,0.21
191404,5.09,1.19
191504,2.41,-1.49
191604,4.06,0.16
191704,2.49,-1.41
191804,3.55,-0.35
191904,2.78,-1.12
192004,5.69,1.79
192104,5,1.10
192204,2.4,-1.50
192304,4.83,0.93
192404,5.51,1.61
192504,2.92,-0.98
192604,2.57,-1.33
192704,1.84,-2.06
192804,4.75,0.85
192904,7.03,3.13
193004,1.71,-2.19
193104,2.97,-0.93
193204,2.04,-1.86
193304,6.23,2.33
193404,4.17,0.27
193504,3.76,-0.14
193604,3.72,-0.18
193704,4.61,0.71
193804,3.04,-0.86
193904,4.76,0.86
194004,5.77,1.87
194104,1.35,-2.55
194204,1.34,-2.56
194304,3.5,-0.40
194404,4.09,0.19
194504,4.16,0.26
194604,2.61,-1.29
194704,4.64,0.74
194804,3.39,-0.51
194904,4,0.10
195004,3.12,-0.78
195104,3.22,-0.68
195204,4.5,0.60
195304,5.66,1.76
195404,4.51,0.61
195504,4.06,0.16
195604,3.68,-0.22
195704,3.42,-0.48
195804,6.24,2.34
195904,3.93,0.03
196004,4.27,0.37
196104,5.27,1.37
196204,4.08,0.18
196304,1.35,-2.55
196404,4.08,0.18
196504,2.76,-1.14
196604,1.2,-2.70
196704,4.59,0.69
196804,2.33,-1.57
196904,4.82,0.92
197004,3.81,-0.09
197104,2.49,-1.41
197204,3.94,0.04
197304,6.37,2.47
197404,3.35,-0.55
197504,2.83,-1.07
197604,2.89,-1.01
197704,4.29,0.39
197804,2.1,-1.80
197904,4.99,1.09
198004,4.93,1.03
198104,3.74,-0.16
198204,4.43,0.53
198304,8.36,4.46
198404,4.51,0.61
198504,1.7,-2.20
198604,1.91,-1.99
198704,9.41,5.51
198804,2.9,-1.00
198904,4.36,0.46
199004,4.57,0.67
199104,3.51,-0.39
199204,2.9,-1.00
199304,5.04,1.14
199404,2.86,-1.04
199504,2.31,-1.59
199604,6.83,2.93
199704,5.15,1.25
199804,3.67,-0.23
199904,1.12,-2.78
200004,5.87,1.97
200104,1.75,-2.15
200204,3.77,-0.13
200304,4.09,0.19
200404,7.31,3.41
200504,4.86,0.96
200604,2.95,-0.95
200704,7.6,3.70
200804,3.91,0.01
200904,4.16,0.26
201004,1.6,-2.30
201104,5.36,1.46
201204,2.9,-1.00
201304,2.21,-1.69
201404,3.87,-0.03
201504,2.55,-1.35
