Maine, Precipitation, December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189512,4.04,0.51
189612,1.34,-2.19
189712,3.63,0.10
189812,2.09,-1.44
189912,2.86,-0.67
190012,1.65,-1.88
190112,7.14,3.61
190212,4.76,1.23
190312,3.19,-0.34
190412,1.94,-1.59
190512,3.2,-0.33
190612,3.51,-0.02
190712,3.41,-0.12
190812,3.2,-0.33
190912,2.54,-0.99
191012,2.71,-0.82
191112,3.26,-0.27
191212,3.33,-0.20
191312,3.4,-0.13
191412,1.95,-1.58
191512,3.54,0.01
191612,4.73,1.20
191712,2.99,-0.54
191812,3.16,-0.37
191912,1.71,-1.82
192012,5.32,1.79
192112,2.14,-1.39
192212,2.74,-0.79
192312,3.35,-0.18
192412,2.14,-1.39
192512,2.69,-0.84
192612,2.71,-0.82
192712,5.24,1.71
192812,3.5,-0.03
192912,3.72,0.19
193012,2,-1.53
193112,3.06,-0.47
193212,1.74,-1.79
193312,3.78,0.25
193412,3.21,-0.32
193512,1.97,-1.56
193612,5.52,1.99
193712,2.47,-1.06
193812,4.4,0.87
193912,3.8,0.27
194012,3.32,-0.21
194112,2.86,-0.67
194212,3.93,0.40
194312,1.17,-2.36
194412,3.28,-0.25
194512,3.27,-0.26
194612,3.98,0.45
194712,1.72,-1.81
194812,3.37,-0.16
194912,2.12,-1.41
195012,5.42,1.89
195112,4.71,1.18
195212,4.54,1.01
195312,4.31,0.78
195412,5.46,1.93
195512,1.28,-2.25
195612,2.97,-0.56
195712,5.63,2.10
195812,1.62,-1.91
195912,3.59,0.06
196012,4.36,0.83
196112,3.34,-0.19
196212,4.67,1.14
196312,1.8,-1.73
196412,3.82,0.29
196512,1.93,-1.60
196612,3.01,-0.52
196712,4.81,1.28
196812,5.45,1.92
196912,7.8,4.27
197012,3.96,0.43
197112,2.73,-0.80
197212,5.76,2.23
197312,9.04,5.51
197412,2.98,-0.55
197512,4.95,1.42
197612,4.16,0.63
197712,5.22,1.69
197812,2.92,-0.61
197912,2.68,-0.85
198012,2.29,-1.24
198112,4.59,1.06
198212,2.18,-1.35
198312,6.27,2.74
198412,3.26,-0.27
198512,2.16,-1.37
198612,3.05,-0.48
198712,3.37,-0.16
198812,1.39,-2.14
198912,1.94,-1.59
199012,5.61,2.08
199112,2.56,-0.97
199212,1.76,-1.77
199312,5.03,1.50
199412,2.74,-0.79
199512,3.16,-0.37
199612,5.99,2.46
199712,2.77,-0.76
199812,1.94,-1.59
199912,3,-0.53
200012,4.4,0.87
200112,2.1,-1.43
200212,3.1,-0.43
200312,6.33,2.80
200412,4.36,0.83
200512,5.3,1.77
200612,2.94,-0.59
200712,4.26,0.73
200812,5.32,1.79
200912,4.31,0.78
201012,6.31,2.78
201112,3.49,-0.04
201212,5.11,1.58
201312,3.76,0.23
201412,6.08,2.55
201512,5.46,1.93
