Tennessee, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,6.22,1.33
189601,2.46,-2.43
189701,3.7,-1.19
189801,9.15,4.26
189901,5.95,1.06
190001,3.03,-1.86
190101,4.03,-0.86
190201,5.18,0.29
190301,2.98,-1.91
190401,3.24,-1.65
190501,3.54,-1.35
190601,4.45,-0.44
190701,2.75,-2.14
190801,3.54,-1.35
190901,3.02,-1.87
191001,4.09,-0.80
191101,3.92,-0.97
191201,3.47,-1.42
191301,10.68,5.79
191401,2.02,-2.87
191501,5.38,0.49
191601,7.49,2.60
191701,6.65,1.76
191801,7.12,2.23
191901,5.41,0.52
192001,6.42,1.53
192101,3.23,-1.66
192201,4.22,-0.67
192301,6.16,1.27
192401,5.81,0.92
192501,3.49,-1.40
192601,4.39,-0.50
192701,3.95,-0.94
192801,2.88,-2.01
192901,5.02,0.13
193001,5.29,0.40
193101,1.87,-3.02
193201,8.44,3.55
193301,3.55,-1.34
193401,3.03,-1.86
193501,6.08,1.19
193601,4.88,-0.01
193701,14.53,9.64
193801,5.55,0.66
193901,6.39,1.50
194001,2.13,-2.76
194101,2.66,-2.23
194201,3.82,-1.07
194301,1.98,-2.91
194401,2.56,-2.33
194501,4.19,-0.70
194601,8.36,3.47
194701,8.26,3.37
194801,4.17,-0.72
194901,8.66,3.77
195001,12.94,8.05
195101,7.36,2.47
195201,5.7,0.81
195301,5.41,0.52
195401,9.92,5.03
195501,2.02,-2.87
195601,4.89,0.00
195701,9.11,4.22
195801,2.71,-2.18
195901,4.71,-0.18
196001,3.56,-1.33
196101,2.37,-2.52
196201,7.14,2.25
196301,2.15,-2.74
196401,4.62,-0.27
196501,3.9,-0.99
196601,4.18,-0.71
196701,2.3,-2.59
196801,4.48,-0.41
196901,4.57,-0.32
197001,1.96,-2.93
197101,4.33,-0.56
197201,6.83,1.94
197301,4.38,-0.51
197401,9.63,4.74
197501,5.3,0.41
197601,4.62,-0.27
197701,2.69,-2.20
197801,5.85,0.96
197901,7.02,2.13
198001,4.23,-0.66
198101,1.61,-3.28
198201,7.18,2.29
198301,2.45,-2.44
198401,2.18,-2.71
198501,3.03,-1.86
198601,.99,-3.90
198701,3.08,-1.81
198801,4.35,-0.54
198901,6.81,1.92
199001,4.9,0.01
199101,3.14,-1.75
199201,3.17,-1.72
199301,3.92,-0.97
199401,5.96,1.07
199501,5.51,0.62
199601,5.77,0.88
199701,4.96,0.07
199801,5.53,0.64
199901,8.75,3.86
200001,3.58,-1.31
200101,3.71,-1.18
200201,6.65,1.76
200301,2.1,-2.79
200401,3.33,-1.56
200501,4.29,-0.60
200601,6.37,1.48
200701,4.12,-0.77
200801,3.45,-1.44
200901,4.61,-0.28
201001,5.3,0.41
201101,3.18,-1.71
201201,4.88,-0.01
201301,8.64,3.75
201401,2.7,-2.19
201501,2.81,-2.08
