Alaska, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
192504,1.9,0.01
192604,2.64,0.75
192704,1.88,-0.01
192804,1.51,-0.38
192904,2.18,0.29
193004,1.96,0.07
193104,1.62,-0.27
193204,.84,-1.05
193304,1.73,-0.16
193404,2.27,0.38
193504,2.19,0.30
193604,1.4,-0.49
193704,2.33,0.44
193804,1.88,-0.01
193904,2.21,0.32
194004,1.7,-0.19
194104,3.03,1.14
194204,1.79,-0.10
194304,1.52,-0.37
194404,1.17,-0.72
194504,1.24,-0.65
194604,1.93,0.04
194704,1.91,0.02
194804,1.27,-0.62
194904,2.01,0.12
195004,1.63,-0.26
195104,2.12,0.23
195204,2.09,0.20
195304,1.46,-0.43
195404,.96,-0.93
195504,1.87,-0.02
195604,1.79,-0.10
195704,1.49,-0.40
195804,1.38,-0.51
195904,2.22,0.33
196004,1.88,-0.01
196104,2.7,0.81
196204,1.68,-0.21
196304,2.66,0.77
196404,2.6,0.71
196504,2.4,0.51
196604,1.43,-0.46
196704,2.22,0.33
196804,2.14,0.25
196904,1.19,-0.70
197004,2.39,0.50
197104,1.9,0.01
197204,1.67,-0.22
197304,1.89,0.00
197404,1.78,-0.11
197504,2.67,0.78
197604,2.02,0.13
197704,3.11,1.22
197804,1.49,-0.40
197904,1.97,0.08
198004,2.38,0.49
198104,1.43,-0.46
198204,2.08,0.19
198304,2.76,0.87
198404,1.56,-0.33
198504,1.79,-0.10
198604,1.61,-0.28
198704,1.78,-0.11
198804,1.94,0.05
198904,1.51,-0.38
199004,1.24,-0.65
199104,1.9,0.01
199204,1.43,-0.46
199304,1.13,-0.76
199404,1.8,-0.09
199504,1.91,0.02
199604,1.45,-0.44
199704,1.67,-0.22
199804,2.52,0.63
199904,2.7,0.81
200004,1.81,-0.08
200104,2.34,0.45
200204,1.88,-0.01
200304,1.34,-0.55
200404,2.49,0.60
200504,1.55,-0.34
200604,2.85,0.96
200704,1.74,-0.15
200804,2.51,0.62
200904,1.51,-0.38
201004,1.79,-0.10
201104,1.65,-0.24
201204,1.05,-0.84
201304,1.89,0.00
201404,1.42,-0.47
201504,2.73,0.84
