Illinois, Precipitation, May
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189505,2.21,-1.87
189605,5.69,1.61
189705,1.85,-2.23
189805,6.11,2.03
189905,5.99,1.91
190005,4.19,0.11
190105,1.87,-2.21
190205,3.94,-0.14
190305,3.33,-0.75
190405,3.45,-0.63
190505,4.48,0.40
190605,2.61,-1.47
190705,4.02,-0.06
190805,7.84,3.76
190905,4.06,-0.02
191005,4.99,0.91
191105,1.9,-2.18
191205,3.86,-0.22
191305,3.06,-1.02
191405,2.27,-1.81
191505,6.93,2.85
191605,4.69,0.61
191705,4.21,0.13
191805,5.22,1.14
191905,5.2,1.12
192005,4.79,0.71
192105,2.09,-1.99
192205,3.55,-0.53
192305,4.35,0.27
192405,3.52,-0.56
192505,1.32,-2.76
192605,2.25,-1.83
192705,6.91,2.83
192805,2.55,-1.53
192905,5.85,1.77
193005,1.84,-2.24
193105,4.27,0.19
193205,2.36,-1.72
193305,8.02,3.94
193405,.99,-3.09
193505,7.83,3.75
193605,2.08,-2.00
193705,3.2,-0.88
193805,5.15,1.07
193905,2.38,-1.70
194005,3.39,-0.69
194105,3.17,-0.91
194205,4.25,0.17
194305,8.72,4.64
194405,4.27,0.19
194505,5.37,1.29
194605,6.15,2.07
194705,4.34,0.26
194805,3.79,-0.29
194905,2.7,-1.38
195005,2.48,-1.60
195105,3.24,-0.84
195205,3.48,-0.60
195305,3.05,-1.03
195405,2.76,-1.32
195505,4.1,0.02
195605,4.08,0.00
195705,6.12,2.04
195805,2.72,-1.36
195905,4.36,0.28
196005,4.66,0.58
196105,5.17,1.09
196205,4.54,0.46
196305,2.95,-1.13
196405,1.9,-2.18
196505,2.82,-1.26
196605,4.51,0.43
196705,3.98,-0.10
196805,4.92,0.84
196905,2.87,-1.21
197005,5.35,1.27
197105,3.47,-0.61
197205,2.5,-1.58
197305,4.92,0.84
197405,7.01,2.93
197505,4.09,0.01
197605,3.57,-0.51
197705,3.23,-0.85
197805,4.86,0.78
197905,2.34,-1.74
198005,2.92,-1.16
198105,6.2,2.12
198205,4.5,0.42
198305,5.51,1.43
198405,4.92,0.84
198505,3.3,-0.78
198605,4.62,0.54
198705,2.6,-1.48
198805,1.7,-2.38
198905,3.46,-0.62
199005,7.91,3.83
199105,4.99,0.91
199205,1.28,-2.80
199305,3.29,-0.79
199405,2.15,-1.93
199505,8.89,4.81
199605,7.74,3.66
199705,4.03,-0.05
199805,4.78,0.70
199905,3.68,-0.40
200005,4.4,0.32
200105,4.35,0.27
200205,7.34,3.26
200305,5.5,1.42
200405,6.83,2.75
200505,1.74,-2.34
200605,3.58,-0.50
200705,2.24,-1.84
200805,5.36,1.28
200905,5.65,1.57
201005,5.4,1.32
201105,5.28,1.20
201205,2.47,-1.61
201305,6.57,2.49
201405,3.29,-0.79
201505,5.39,1.31
