Idaho, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,1.11,-0.83
189604,2.54,0.60
189704,1.51,-0.43
189804,1.21,-0.73
189904,1.73,-0.21
190004,2.77,0.83
190104,1.38,-0.56
190204,2.04,0.10
190304,1.77,-0.17
190404,1.86,-0.08
190504,1.68,-0.26
190604,1.36,-0.58
190704,1.79,-0.15
190804,1.09,-0.85
190904,.86,-1.08
191004,1.71,-0.23
191104,1.57,-0.37
191204,3.12,1.18
191304,1.37,-0.57
191404,2.22,0.28
191504,2,0.06
191604,1.42,-0.52
191704,2.6,0.66
191804,1.09,-0.85
191904,1.72,-0.22
192004,2.72,0.78
192104,2.89,0.95
192204,2.6,0.66
192304,2.69,0.75
192404,.78,-1.16
192504,2.55,0.61
192604,1.47,-0.47
192704,1.66,-0.28
192804,1.65,-0.29
192904,2.32,0.38
193004,2.13,0.19
193104,1.25,-0.69
193204,2.26,0.32
193304,1.25,-0.69
193404,.98,-0.96
193504,2.91,0.97
193604,1.49,-0.45
193704,2.64,0.70
193804,1.73,-0.21
193904,.9,-1.04
194004,2.74,0.80
194104,2.26,0.32
194204,1.99,0.05
194304,2.06,0.12
194404,2.88,0.94
194504,1.51,-0.43
194604,1.12,-0.82
194704,1.41,-0.53
194804,2.58,0.64
194904,.74,-1.20
195004,1.3,-0.64
195104,1.49,-0.45
195204,.93,-1.01
195304,2.28,0.34
195404,1.93,-0.01
195504,2.76,0.82
195604,1.15,-0.79
195704,2.08,0.14
195804,3.24,1.30
195904,1.3,-0.64
196004,1.84,-0.10
196104,1.65,-0.29
196204,1.39,-0.55
196304,3.19,1.25
196404,2.26,0.32
196504,3.42,1.48
196604,.95,-0.99
196704,2.79,0.85
196804,1.28,-0.66
196904,1.5,-0.44
197004,2.1,0.16
197104,2.4,0.46
197204,1.92,-0.02
197304,1.25,-0.69
197404,1.6,-0.34
197504,2.76,0.82
197604,2.42,0.48
197704,.39,-1.55
197804,3.29,1.35
197904,1.73,-0.21
198004,1.63,-0.31
198104,2.62,0.68
198204,2.8,0.86
198304,1.69,-0.25
198404,2.43,0.49
198504,1.11,-0.83
198604,2.35,0.41
198704,.92,-1.02
198804,2.43,0.49
198904,1.22,-0.72
199004,2.59,0.65
199104,2.57,0.63
199204,1.96,0.02
199304,3.24,1.30
199404,1.98,0.04
199504,2.39,0.45
199604,3.09,1.15
199704,2.68,0.74
199804,1.79,-0.15
199904,1.58,-0.36
200004,1.5,-0.44
200104,2.33,0.39
200204,1.98,0.04
200304,2.54,0.60
200404,1.37,-0.57
200504,2.23,0.29
200604,3.07,1.13
200704,1.59,-0.35
200804,1.2,-0.74
200904,1.84,-0.10
201004,2.64,0.70
201104,3.18,1.24
201204,2.12,0.18
201304,1.81,-0.13
201404,2.15,0.21
201504,1.23,-0.71
